,c,h,l,o,s,t,v
0,23.9649,24.0849,23.9649,23.9649,ok,1493769600,200
1,24.0562,24.0562,24.0562,24.0562,ok,1493856000,200
2,24.2639,24.2639,24.2639,24.2639,ok,1493942400,500
3,24.4265,24.4265,24.4265,24.4265,ok,1494201600,200
4,24.4361,24.4361,24.3561,24.3561,ok,1494288000,400
5,24.0418,24.4218,24.0418,24.4218,ok,1494374400,400
6,24.2149,24.2149,24.2149,24.2149,ok,1494460800,200
7,24.061,24.431,24.061,24.431,ok,1494806400,500
8,22.8503,22.8503,22.8503,22.8503,ok,1494979200,200
9,22.657,22.657,22.657,22.657,ok,1495065600,300
10,23.8427,23.8427,23.6297,23.6297,ok,1495152000,300
11,24.3505,24.4095,24.3505,24.4095,ok,1495584000,800
12,24.6765,24.6765,24.5165,24.5165,ok,1495670400,1000
13,24.8881,24.9681,24.8481,24.8481,ok,1495756800,1600
14,24.8602,24.8602,24.8602,24.8602,ok,1496102400,200
15,24.8881,24.8881,24.8881,24.8881,ok,1496188800,200
16,25.7795,25.7795,25.6325,25.7425,ok,1496361600,1700
17,25.6959,25.7459,25.6959,25.7459,ok,1496620800,300
18,24.9256,24.9256,24.9256,24.9256,ok,1496793600,200
19,25.6747,25.7967,25.6747,25.7967,ok,1497225600,400
20,26.4075,26.4075,26.4075,26.4075,ok,1497484800,200
21,26.3402,26.4102,26.3402,26.4102,ok,1497916800,1600
22,25.744,25.784,25.744,25.784,ok,1498003200,1300
23,25.6189,25.7789,25.6189,25.7789,ok,1498089600,600
24,25.8305,25.8305,25.8305,25.8305,ok,1498176000,400
25,25.4555,25.4555,25.4555,25.4555,ok,1498521600,100
26,26.0642,26.0642,26.0642,26.0642,ok,1498608000,100
27,25.4555,25.4555,25.4555,25.4555,ok,1498694400,400
28,26.1546,26.1576,25.7976,25.7976,ok,1498780800,800
29,26.4556,26.4556,26.4556,26.4556,ok,1499040000,200
30,26.3787,26.3787,26.3787,26.3787,ok,1499212800,800
31,26.446,26.446,26.446,26.446,ok,1499299200,200
32,26.0132,26.2132,25.7432,26.1632,ok,1499385600,1000
33,26.7922,26.7922,26.2122,26.2122,ok,1499644800,700
34,27.1095,27.1095,27.1095,27.1095,ok,1499817600,400
35,27.0326,27.0326,27.0226,27.0226,ok,1499904000,6900
36,27.2172,27.2172,27.2172,27.2172,ok,1500249600,100
37,27.2153,27.2153,27.2153,27.2153,ok,1500508800,900
38,26.446,26.448,26.366,26.366,ok,1500854400,1200
39,27.1095,27.1095,27.1095,27.1095,ok,1500940800,600
40,26.4902,26.4902,26.3442,26.3442,ok,1501027200,500
41,25.869,25.979,25.869,25.979,ok,1501113600,6200
42,25.869,25.869,25.869,25.869,ok,1501545600,100
43,25.8209,25.8209,25.8209,25.8209,ok,1501632000,300
44,26.3113,26.3113,26.1313,26.1313,ok,1501718400,800
45,26.3421,26.3421,26.3421,26.3421,ok,1502236800,500
46,25.6141,26.4691,25.6141,26.4691,ok,1502323200,900
47,26.0421,26.0421,25.6821,25.6821,ok,1502668800,1300
48,25.3208,25.3208,24.9408,24.9408,ok,1503964800,3200
49,26.2633,26.3773,26.2633,26.3773,ok,1504224000,300
50,26.2633,26.2633,26.2633,26.2633,ok,1504656000,200
51,25.2824,25.2824,25.2824,25.2824,ok,1504742400,200
52,25.7247,25.7247,25.7247,25.7247,ok,1504828800,200
53,26.4556,26.4556,26.4556,26.4556,ok,1505088000,100
54,26.6172,26.6172,26.6172,26.6172,ok,1505174400,200
55,26.6047,26.6347,26.6047,26.6347,ok,1505260800,400
56,26.9085,26.9085,26.8175,26.8175,ok,1505347200,300
57,27.2826,27.2826,27.2826,27.2826,ok,1505433600,100
58,27.7154,27.7314,27.7154,27.7314,ok,1505692800,300
59,28.4934,28.4934,28.4934,28.4934,ok,1505865600,600
60,28.8213,28.8413,28.6823,28.6823,ok,1505952000,600
61,28.9079,28.9579,28.9079,28.9579,ok,1506038400,500
62,29.1117,29.1297,29.1117,29.1297,ok,1506384000,500
63,29.0617,29.3617,29.0617,29.3617,ok,1506470400,1200
64,29.0184,29.0184,29.0184,29.0184,ok,1506556800,100
65,29.1002,29.2092,29.1002,29.2092,ok,1506643200,300
66,29.4464,29.4464,29.4464,29.4464,ok,1506902400,200
67,30.183,30.217,30.183,30.187,ok,1506988800,1200
68,30.3119,30.3119,30.1319,30.1319,ok,1507075200,700
69,30.4369,30.5169,30.4369,30.4999,ok,1507161600,900
70,30.385,30.385,30.385,30.385,ok,1507248000,500
71,30.1494,30.1494,30.1494,30.1494,ok,1507507200,100
72,30.3398,30.4408,30.3398,30.4408,ok,1507593600,400
73,30.7081,30.7501,30.6291,30.7501,ok,1507852800,800
74,30.5225,30.5225,30.4935,30.4935,ok,1508112000,400
75,30.2927,30.3727,30.2927,30.3727,ok,1508371200,1200
76,31.6198,31.6198,30.7908,30.8128,ok,1508457600,5700
77,31.264,31.534,31.169,31.534,ok,1508716800,4000
78,31.7256,31.7456,31.6856,31.7456,ok,1508803200,1800
79,30.6004,31.3304,30.6004,31.3304,ok,1508889600,3500
80,30.8793,31.1693,30.7293,31.1693,ok,1508976000,29300
81,30.7543,31.0443,30.7543,31.0443,ok,1509062400,2100
82,30.2157,30.5557,30.2157,30.4887,ok,1509321600,900
83,29.8128,30.1718,29.8128,30.0598,ok,1509408000,900
84,29.6291,30.0191,29.6291,30.0191,ok,1509494400,32800
85,29.6291,29.6291,29.6291,29.6291,ok,1509580800,100
86,30.1388,30.1438,30.1388,30.1438,ok,1509667200,300
87,30.2763,30.2763,30.2213,30.2233,ok,1509926400,400
88,30.2542,30.2542,30.1592,30.1942,ok,1510012800,2800
89,30.0715,30.1955,30.0715,30.1715,ok,1510099200,900
90,28.9271,28.9271,28.8471,28.8471,ok,1510185600,400
91,29.0829,29.0829,29.0309,29.0309,ok,1510272000,500
92,28.8502,28.8502,28.7952,28.7952,ok,1510531200,2200
93,28.5568,28.5798,28.3818,28.3818,ok,1510617600,600
94,28.8694,28.8694,28.6094,28.6794,ok,1511136000,5800
95,29.5522,29.5522,29.4922,29.4922,ok,1511308800,500
96,29.5474,29.7174,29.5474,29.7174,ok,1511481600,200
97,29.6291,29.9591,29.6291,29.9591,ok,1511740800,600
98,31.0043,31.0043,30.0643,30.0643,ok,1511827200,1000
99,31.639,31.639,31.449,31.449,ok,1511913600,3000
100,33.2354,33.4004,32.2354,32.2354,ok,1512000000,1300
101,32.1872,33.5272,30.9572,33.5272,ok,1512086400,21700
102,33.1777,34.2227,33.1777,33.8277,ok,1512345600,47900
103,32.1266,33.2196,32.1266,33.2196,ok,1512432000,5200
104,32.5045,32.5455,31.7845,31.7845,ok,1512518400,1600
105,33.0623,33.3323,31.8823,31.8823,ok,1512604800,8800
106,33.471,34.516,33.271,34.516,ok,1512691200,11700
107,33.3796,33.6696,33.2196,33.6696,ok,1512950400,7600
108,33.4277,33.7327,33.4277,33.6677,ok,1513036800,6100
109,34.0332,34.4332,33.6732,33.6732,ok,1513123200,12500
110,33.4451,34.2851,33.4051,34.2851,ok,1513209600,5500
111,33.6861,34.1401,33.4461,33.4461,ok,1513296000,9700
112,34.6213,35.3113,34.4313,35.3113,ok,1513555200,6800
113,34.7558,34.8278,34.3278,34.8278,ok,1513641600,4700
114,35.0576,35.3676,34.8876,35.0676,ok,1513728000,15100
115,35.0431,35.5881,34.7681,35.5881,ok,1513814400,13800
116,35.0605,35.6475,34.8025,35.6475,ok,1513900800,11400
117,35.1108,35.5658,35.1028,35.1708,ok,1514246400,13300
118,35.3478,35.4418,35.1378,35.2028,ok,1514332800,9800
119,35.5509,35.6209,35.1419,35.5279,ok,1514419200,8400
120,35.5374,35.7914,35.5374,35.6564,ok,1514505600,10300
121,35.9185,35.9695,35.2585,35.7985,ok,1514851200,12200
122,36.6441,36.6721,36.0091,36.2241,ok,1514937600,10100
123,37.3696,37.5396,36.8996,36.8996,ok,1515024000,7600
124,38.2499,38.2499,37.3849,37.8199,ok,1515110400,39900
125,38.7336,38.7336,38.1986,38.6936,ok,1515369600,29800
126,39.3817,39.6717,38.8767,39.2517,ok,1515456000,25400
127,39.2608,39.6508,38.8208,38.9058,ok,1515542400,56200
128,40.8038,40.8038,39.4338,39.4338,ok,1515628800,86000
129,41.8863,42.0473,41.2073,41.5973,ok,1515715200,54700
130,40.9102,43.1202,40.2502,43.1202,ok,1516060800,70400
