,c,h,l,o,s,t,v
0,23.5575,23.5575,23.5475,23.5475,ok,1533859200,400
1,23.5384,23.5684,23.5384,23.5584,ok,1534118400,2900
2,23.6337,23.6337,23.6337,23.6337,ok,1534204800,1800
3,23.5289,23.5289,23.5289,23.5289,ok,1534377600,1000
4,23.6051,23.6051,23.4051,23.4051,ok,1534464000,1000
5,23.567,23.587,23.567,23.587,ok,1534809600,800
6,23.5956,23.5956,23.5956,23.5956,ok,1534896000,100
7,23.5956,23.6356,23.5756,23.6056,ok,1534982400,600
8,23.6242,23.6242,23.6242,23.6242,ok,1535068800,500
9,23.7956,23.7956,23.7556,23.7556,ok,1535328000,1100
10,23.6623,23.6623,23.6623,23.6623,ok,1535587200,400
11,23.6242,23.6442,23.6242,23.6242,ok,1535673600,400
12,23.2908,23.2908,23.2908,23.2908,ok,1536105600,200
13,23.1669,23.1669,23.1469,23.1469,ok,1536278400,900
14,23.2336,23.2336,23.2336,23.2336,ok,1536624000,100
15,23.5384,23.5884,23.5184,23.5884,ok,1536796800,3200
16,24.0262,24.0262,24.0262,24.0262,ok,1538092800,400
17,23.5576,23.5576,23.5576,23.5576,ok,1538697600,2000
18,23.1463,23.2263,23.1463,23.2263,ok,1539129600,300
19,22.7063,22.7163,22.7063,22.7163,ok,1539561600,2200
20,22.9263,22.9263,22.8863,22.8863,ok,1539907200,1300
21,22.888,22.888,22.888,22.888,ok,1540166400,400
22,22.888,22.888,22.888,22.888,ok,1540339200,100
23,22.5055,22.5055,22.5055,22.5055,ok,1540425600,100
24,22.3907,22.3907,22.0907,22.0907,ok,1540512000,6900
25,22.802,22.842,22.802,22.842,ok,1540944000,1400
26,22.8211,22.8211,22.8211,22.8211,ok,1541030400,300
27,22.955,22.955,22.955,22.955,ok,1541462400,600
28,23.1463,23.1563,23.1463,23.1563,ok,1541721600,2000
29,23.0698,23.0898,23.0698,23.0898,ok,1541980800,800
30,23.0602,23.0602,23.0202,23.0202,ok,1542067200,2900
31,23.022,23.022,23.022,23.022,ok,1542153600,1100
32,22.9933,22.9933,22.8833,22.8833,ok,1542326400,1100
33,22.8976,22.8976,22.8876,22.8976,ok,1542585600,900
34,22.7637,22.7637,22.6737,22.6737,ok,1542931200,2300
35,23.0028,23.0028,22.9728,22.9828,ok,1543190400,1100
36,22.9454,22.9454,22.9454,22.9454,ok,1543363200,200
37,22.888,22.888,22.888,22.888,ok,1543536000,200
38,23.0698,23.0698,23.0698,23.0698,ok,1543795200,200
39,22.6202,22.7702,22.6202,22.7702,ok,1543881600,500
40,22.3046,22.3046,22.3046,22.3046,ok,1544054400,100
41,22.3333,22.3333,22.3333,22.3333,ok,1544140800,100
42,22.3237,22.3437,22.2437,22.2437,ok,1544400000,28800
43,22.5724,22.5724,22.5124,22.5124,ok,1544572800,100
44,22.5629,22.5629,22.5629,22.5629,ok,1544659200,100
45,22.3907,22.4507,22.3907,22.4507,ok,1544745600,100
46,22.209,22.359,22.209,22.349,ok,1545004800,1600
47,22.1803,22.2603,22.0803,22.2503,ok,1545091200,2000
48,22.0272,22.2372,21.9972,22.2372,ok,1545177600,700
49,21.8264,21.8264,21.7664,21.7664,ok,1545264000,100
50,21.5586,21.5886,21.5586,21.5886,ok,1545350400,283000
51,21.8967,21.8967,21.3267,21.4567,ok,1545782400,118100
52,21.7715,21.7715,21.4915,21.5815,ok,1545868800,1700
53,21.8389,21.8989,21.8389,21.8389,ok,1545955200,4600
54,21.8389,21.8389,21.8389,21.8389,ok,1546214400,200
55,21.8293,21.8293,21.8293,21.8293,ok,1546387200,400
