,c,h,l,o,s,t,v
0,32.3838,32.7038,32.3438,32.7038,ok,1420156800,123300
1,31.7198,32.3598,31.6398,32.3398,ok,1420416000,282100
2,31.4418,31.9218,31.3118,31.8118,ok,1420502400,193200
3,31.7352,31.8552,31.3652,31.5952,ok,1420588800,208900
4,32.1059,32.2359,31.7959,31.9859,ok,1420675200,284300
5,32.2217,32.3317,31.9517,32.3117,ok,1420761600,233800
6,31.9437,32.1737,31.8537,32.1737,ok,1421020800,318100
7,32.1754,32.5254,31.8554,32.2754,ok,1421107200,232300
8,32.1213,32.2013,31.7213,31.9513,ok,1421193600,114200
9,32.1445,32.5345,32.1345,32.4645,ok,1421280000,241700
10,32.6232,32.6732,31.9732,32.1232,ok,1421366400,249800
11,32.5769,32.7769,32.4269,32.6669,ok,1421712000,157100
12,32.9321,32.9821,32.5921,32.6221,ok,1421798400,167100
13,33.1328,33.2328,32.7328,32.8528,ok,1421884800,190500
14,32.9089,33.1689,32.8789,32.9289,ok,1421971200,162000
15,33.21,33.32,32.88,32.96,ok,1422230400,228900
16,33.1869,33.2669,32.9469,33.0169,ok,1422316800,155700
17,32.6386,33.3386,32.5686,33.3386,ok,1422403200,186400
18,32.8085,32.8185,32.4785,32.7885,ok,1422489600,124700
19,32.5614,33.1614,32.2914,32.4214,ok,1422576000,1025400
20,33.2718,33.3918,32.6818,32.7018,ok,1422835200,233900
21,34.5536,34.6636,33.3836,33.3836,ok,1422921600,310300
22,33.7196,34.2196,33.5496,34.1796,ok,1423008000,303500
23,34.1829,34.2729,33.8229,33.8229,ok,1423094400,164200
24,33.8432,34.2532,33.7432,34.1232,ok,1423180800,277100
25,34.0517,34.1817,33.6117,33.7517,ok,1423440000,134700
26,33.9127,34.3227,33.6727,34.3227,ok,1423526400,127800
27,33.6502,33.7401,33.2001,33.7401,ok,1423612800,126400
28,34.2679,34.3179,33.8379,33.8379,ok,1423699200,160800
29,34.6308,34.7508,34.4808,34.4908,ok,1423785600,156400
30,34.7929,34.9129,34.2629,34.6229,ok,1424131200,139400
31,34.5613,34.7313,34.3813,34.7013,ok,1424217600,174800
32,34.1134,34.4434,33.8334,34.3034,ok,1424304000,123100
