,c,h,l,o,s,t,v
0,8.75,9.05,8.6,8.75,ok,1420156800,11700
1,8.5,8.95,8.5,8.75,ok,1420416000,17000
2,8.45,8.7,8.25,8.65,ok,1420502400,12100
3,8.3,8.5,8.05,8.45,ok,1420588800,18400
4,8.25,8.5,8.2,8.5,ok,1420675200,10700
5,7.9,8.25,7.8,8.2,ok,1420761600,22600
6,7.65,8.0,7.65,8.0,ok,1421020800,12100
7,7.9,8.35,7.5,7.7,ok,1421107200,50600
8,7.9,8.0,7.55,7.75,ok,1421193600,35100
9,7.95,8.05,7.75,7.9,ok,1421280000,8900
10,7.65,7.9,7.6,7.9,ok,1421366400,9500
11,7.75,7.95,7.55,7.65,ok,1421712000,26400
12,7.65,7.8,7.55,7.7,ok,1421798400,5700
13,7.55,7.7,7.5,7.6,ok,1421884800,21500
14,7.25,7.5,7.1,7.3,ok,1421971200,24600
15,7.35,7.45,7.0,7.1,ok,1422230400,41700
16,7.35,7.45,7.1,7.35,ok,1422316800,30300
17,7.35,8.75,7.3,8.2,ok,1422403200,130200
18,7.2,7.5,6.55,7.5,ok,1422489600,76700
19,6.6,7.25,6.6,7.2,ok,1422576000,29700
20,6.85,7.0,6.6,6.65,ok,1422835200,17200
21,6.95,7.25,6.65,6.8,ok,1422921600,25800
22,6.8,7.05,6.75,6.9,ok,1423008000,13100
23,6.8,7.05,6.75,6.8,ok,1423094400,13000
24,6.75,6.9,6.35,6.75,ok,1423180800,31900
25,6.65,6.8,6.5,6.6,ok,1423440000,19100
26,6.5,6.65,6.4,6.6,ok,1423526400,17100
27,6.75,6.8,6.5,6.55,ok,1423612800,8100
28,6.85,7.2,6.7,6.85,ok,1423699200,48000
29,7.0,7.15,6.8,6.8,ok,1423785600,21800
30,7.0,7.3,6.9,6.95,ok,1424131200,22000
31,7.1,7.2,6.8,7.05,ok,1424217600,14600
32,7.9,8.15,6.95,6.95,ok,1424304000,67500
33,7.7,8.1,7.65,7.8,ok,1424390400,14700
34,7.5,7.95,7.5,7.8,ok,1424649600,13900
35,7.15,7.55,7.15,7.5,ok,1424736000,17800
36,7.05,7.45,7.05,7.15,ok,1424822400,17400
37,6.9,7.3,6.9,7.1,ok,1424908800,13300
38,7.05,7.25,6.95,6.95,ok,1424995200,11000
39,6.9,7.15,6.8,7.1,ok,1425254400,16900
40,6.95,7.25,6.8,6.8,ok,1425340800,5500
41,6.7,7.05,6.65,7.0,ok,1425427200,17500
42,6.7,6.8,6.6,6.8,ok,1425513600,13600
43,6.6,6.75,6.55,6.7,ok,1425600000,11200
44,6.5,6.8,6.5,6.6,ok,1425859200,9300
45,6.4,6.9,6.35,6.4,ok,1425945600,15100
46,6.4,6.5,6.3,6.35,ok,1426032000,10200
47,6.6,6.65,6.25,6.35,ok,1426118400,19800
48,6.5,6.8,6.35,6.55,ok,1426204800,9800
49,6.05,6.5,6.05,6.45,ok,1426464000,19000
50,6.25,6.3,6.0,6.1,ok,1426550400,16200
51,6.4,6.4,6.1,6.15,ok,1426636800,6300
52,6.7,6.75,6.35,6.45,ok,1426723200,11800
53,6.25,6.7,6.25,6.65,ok,1426809600,9200
54,6.6,6.7,6.3,6.3,ok,1427068800,3400
55,6.65,6.75,6.3,6.6,ok,1427155200,14400
56,6.85,6.9,6.45,6.7,ok,1427241600,17500
57,6.7,6.85,6.55,6.85,ok,1427328000,10100
58,6.6,6.75,6.4,6.75,ok,1427414400,4400
59,6.4,6.6,6.4,6.5,ok,1427673600,9200
60,6.5,6.75,6.35,6.45,ok,1427760000,3800
61,6.35,6.6,6.3,6.4,ok,1427846400,6100
62,6.3,6.4,6.15,6.4,ok,1427932800,9600
63,6.4,6.5,6.0,6.1,ok,1428278400,7000
64,6.35,6.55,6.2,6.4,ok,1428364800,10200
65,6.25,6.35,6.2,6.25,ok,1428451200,3300
66,6.35,6.35,6.15,6.25,ok,1428537600,6400
67,6.3,6.35,6.25,6.35,ok,1428624000,4600
68,6.45,6.45,6.3,6.4,ok,1428883200,5900
69,6.8,6.95,6.55,6.55,ok,1428969600,22200
70,6.75,7.1,6.6,7.0,ok,1429056000,20000
71,6.9,7.0,6.65,6.85,ok,1429142400,13400
72,7.3,7.35,6.65,6.9,ok,1429228800,34900
73,7.6,7.8,7.25,7.5,ok,1429488000,56100
74,7.65,7.9,7.4,7.75,ok,1429574400,31000
75,9.45,11.25,9.05,9.4,ok,1429660800,372200
76,9.7,10.15,9.4,9.6,ok,1429747200,85600
77,9.75,9.85,9.45,9.7,ok,1429833600,22000
78,9.65,9.9,9.35,9.9,ok,1430092800,18400
79,9.9,10.45,9.5,9.75,ok,1430179200,49300
80,9.55,9.85,9.5,9.75,ok,1430265600,23400
