,c,h,l,o,s,t,v
0,35.1437,35.6237,35.0137,35.5537,ok,1420156800,257000
1,34.5105,35.1405,34.4905,34.9605,ok,1420416000,355800
2,34.4124,34.8324,34.3524,34.5724,ok,1420502400,262300
3,34.5819,34.8319,34.5519,34.6719,ok,1420588800,373700
4,34.8137,34.9737,34.6937,34.8737,ok,1420675200,139900
5,34.6354,34.8854,34.5954,34.7454,ok,1420761600,78000
6,34.6086,34.6386,34.4386,34.5386,ok,1421020800,281200
7,34.3322,34.7722,34.2422,34.7022,ok,1421107200,712500
8,33.8328,34.0628,33.5128,33.8328,ok,1421193600,520800
9,33.4583,34.1083,33.4183,34.1083,ok,1421280000,316200
10,33.5742,33.6442,33.3742,33.4842,ok,1421366400,174600
11,33.7169,33.8369,33.5469,33.6669,ok,1421712000,169000
12,34.3946,34.4746,33.5746,33.6346,ok,1421798400,303100
13,35.3131,35.4831,34.5131,34.6431,ok,1421884800,370300
14,34.9296,35.4496,34.7397,35.3697,ok,1421971200,150100
15,34.9029,34.9229,34.6029,34.8329,ok,1422230400,54400
16,34.9832,35.0532,34.5532,34.6632,ok,1422316800,126900
17,34.7335,35.4935,34.6335,35.0835,ok,1422403200,269100
18,34.6086,34.8086,34.4086,34.6586,ok,1422489600,100400
19,33.9844,34.3544,33.8544,34.0344,ok,1422576000,226900
20,34.7156,34.8356,34.1556,34.2056,ok,1422835200,189800
21,35.3399,35.4899,34.7899,34.9099,ok,1422921600,250400
22,35.1972,35.4572,35.1272,35.3572,ok,1423008000,203300
23,35.6787,35.8487,35.3187,35.4387,ok,1423094400,212000
24,35.4023,36.2123,35.2923,35.8723,ok,1423180800,187600
25,35.5628,35.6328,35.4428,35.4428,ok,1423440000,155600
26,35.4469,35.6669,35.2269,35.4269,ok,1423526400,155700
27,35.1704,35.4704,34.7504,35.2204,ok,1423612800,175800
28,36.1335,36.3635,35.4435,35.4435,ok,1423699200,155300
29,36.5794,36.6094,36.1594,36.2694,ok,1423785600,216300
30,36.294,36.574,36.094,36.574,ok,1424131200,113600
31,36.4813,36.5513,36.1613,36.3213,ok,1424217600,75000
32,36.5348,36.7948,36.3648,36.3648,ok,1424304000,165900
33,36.7845,36.8745,36.4645,36.6345,ok,1424390400,225100
34,36.5883,36.7183,36.4283,36.6583,ok,1424649600,128200
35,36.5259,36.9059,36.4359,36.7259,ok,1424736000,132600
36,36.5972,36.8172,36.4272,36.6672,ok,1424822400,144300
37,36.4902,36.5702,36.3802,36.5302,ok,1424908800,67500
38,36.838,36.908,36.378,36.478,ok,1424995200,293300
39,36.4545,36.9245,36.2845,36.7745,ok,1425254400,195600
40,36.5705,36.7005,36.2605,36.3405,ok,1425340800,170000
41,36.517,36.577,36.087,36.547,ok,1425427200,274200
42,36.1335,36.6135,36.1335,36.3935,ok,1425513600,107800
43,35.652,36.292,35.442,36.022,ok,1425600000,283600
44,35.2507,35.5007,35.1007,35.3307,ok,1425859200,141400
45,34.564,35.174,34.554,34.954,ok,1425945600,133800
46,34.4124,34.6324,34.2824,34.5624,ok,1426032000,234600
47,34.7067,35.0467,34.6267,34.8267,ok,1426118400,182000
48,33.9755,34.6155,33.8455,34.6155,ok,1426204800,375300
49,34.1182,34.2982,33.9682,34.1782,ok,1426464000,179000
50,34.1182,34.4582,33.8982,34.0382,ok,1426550400,292800
51,34.7602,34.8802,33.8702,34.0502,ok,1426636800,414800
52,34.3946,34.6546,34.1946,34.5946,ok,1426723200,204700
53,34.9207,35.0607,34.6307,34.6407,ok,1426809600,225400
54,35.3577,35.4177,35.1477,35.2577,ok,1427068800,156500
55,35.7144,35.8044,35.3744,35.3744,ok,1427155200,222500
56,35.7233,36.1433,35.5933,35.8533,ok,1427241600,136200
57,35.3399,35.8199,35.2799,35.8199,ok,1427328000,248600
58,35.5004,35.6504,35.1704,35.4004,ok,1427414400,128100
59,35.6966,35.7366,35.2166,35.4066,ok,1427673600,168500
60,35.9284,35.9484,35.4884,35.4884,ok,1427760000,143000
61,36.5348,36.6448,36.1348,36.1548,ok,1427846400,180500
62,36.8826,37.0726,36.5226,36.7526,ok,1427932800,179300
63,37.382,37.412,37.012,37.032,ok,1428278400,635300
64,37.3998,37.4798,37.1898,37.2398,ok,1428364800,154900
65,37.3463,37.9563,37.2063,37.6963,ok,1428451200,186200
66,37.3552,38.0552,37.1652,37.4252,ok,1428537600,341900
67,37.1679,37.4679,36.9279,37.0579,ok,1428624000,216000
68,37.1055,37.5055,36.9555,37.0355,ok,1428883200,182900
69,37.2482,37.5882,36.9882,37.3782,ok,1428969600,189500
70,37.596,37.636,37.066,37.236,ok,1429056000,494800
71,37.8992,38.1492,37.3292,37.6792,ok,1429142400,335000
72,37.6762,37.9562,37.4562,37.8362,ok,1429228800,419700
73,37.266,37.586,37.136,37.586,ok,1429488000,267300
74,37.373,37.543,37.163,37.423,ok,1429574400,236100
75,37.3285,37.4285,37.0385,37.3585,ok,1429660800,329200
76,37.6762,37.7962,37.2662,37.2962,ok,1429747200,273700
77,38.0775,38.0975,37.6875,37.7075,ok,1429833600,345200
78,38.6482,38.8182,37.7682,38.0582,ok,1430092800,173100
79,38.5323,39.0523,38.4623,38.8823,ok,1430179200,223400
80,37.9259,38.4959,37.8259,38.2459,ok,1430265600,309700
81,37.6495,38.0595,37.5195,38.0595,ok,1430352000,532200
82,38.024,38.154,37.214,37.624,ok,1430438400,63100
83,37.6762,37.9662,37.4962,37.8962,ok,1430697600,119600
84,38.2648,38.3248,37.7648,37.8148,ok,1430784000,231300
85,38.4699,38.5599,38.2299,38.4799,ok,1430870400,440500
86,38.5947,38.6447,38.2247,38.5647,ok,1430956800,97000
87,38.9247,39.2747,38.7947,38.9247,ok,1431043200,229000
88,39.0049,39.1149,38.7549,38.8749,ok,1431302400,312200
89,39.0674,39.2474,38.7574,39.0074,ok,1431388800,189300
90,38.9158,39.2758,38.6958,39.2758,ok,1431475200,404100
91,39.2546,39.3746,39.0346,39.1746,ok,1431561600,213500
92,39.4419,39.4819,38.8519,38.9919,ok,1431648000,426400
93,39.1209,40.0509,38.8809,39.2809,ok,1431907200,196300
94,38.3986,38.9286,38.3885,38.9186,ok,1431993600,578900
95,38.1489,38.5589,38.0189,38.3389,ok,1432080000,151800
96,38.1667,38.2767,38.0267,38.0967,ok,1432166400,158100
97,37.9081,38.0981,37.4081,38.0781,ok,1432252800,325900
98,37.48,37.8801,37.2601,37.7601,ok,1432598400,464500
99,37.4176,37.4676,36.8376,37.3876,ok,1432684800,302300
100,37.2393,37.4193,36.9793,37.1793,ok,1432771200,330400
101,36.7934,37.4834,36.6734,37.4734,ok,1432857600,1236200
102,36.3119,37.1019,36.1519,37.1019,ok,1433116800,448100
103,36.1157,36.6457,36.0457,36.4657,ok,1433203200,723700
104,35.866,36.206,35.856,35.926,ok,1433289600,289400
105,35.4736,35.9636,35.2936,35.8336,ok,1433376000,380900
106,35.3042,35.4342,34.8142,35.0642,ok,1433462400,518100
107,35.3666,35.6066,35.2166,35.3766,ok,1433721600,307100
108,35.3131,35.7031,35.1031,35.6331,ok,1433808000,300700
109,35.6698,36.0298,35.4798,35.7498,ok,1433894400,282200
110,35.6787,35.7387,35.3687,35.6987,ok,1433980800,306800
111,35.6609,35.8509,35.5309,35.6709,ok,1434067200,311500
112,35.2329,35.4629,35.0429,35.4029,ok,1434326400,209600
113,35.322,35.382,34.942,35.382,ok,1434412800,163100
114,35.1972,35.4872,34.8972,35.0972,ok,1434499200,224300
115,35.2329,35.6029,35.0929,35.4729,ok,1434585600,136000
116,34.5819,35.4319,34.5819,34.8019,ok,1434672000,326600
117,35.0813,35.3613,35.0213,35.0413,ok,1434931200,135000
118,35.5004,35.7604,34.9804,35.0104,ok,1435017600,390700
119,35.1883,35.4583,34.9983,35.2583,ok,1435104000,151800
120,34.6681,35.6981,34.5681,35.3981,ok,1435190400,781800
121,34.6771,34.6871,34.3471,34.5371,ok,1435276800,308300
122,33.8357,34.5557,33.7257,34.0557,ok,1435536000,130500
123,34.4871,34.5371,33.8571,34.0371,ok,1435622400,186300
124,34.0076,34.7776,33.9676,34.7776,ok,1435708800,189200
125,34.2519,34.3819,33.9819,33.9819,ok,1435795200,170800
126,33.4286,34.2786,33.3186,33.8786,ok,1436140800,236700
127,33.0667,33.2667,32.3667,33.2067,ok,1436227200,266100
128,32.4877,33.0877,32.4577,32.5177,ok,1436313600,226500
129,32.9944,33.4344,32.9244,33.1444,ok,1436400000,118500
130,33.881,34.071,33.171,33.421,ok,1436486400,191600
131,34.0529,34.3929,33.9629,33.9629,ok,1436745600,347200
132,34.4419,34.6919,33.9719,34.0219,ok,1436832000,283100
133,34.1886,34.5986,34.0986,34.3686,ok,1436918400,168000
134,34.3967,34.6667,34.0466,34.3567,ok,1437004800,109000
135,34.2519,34.4119,34.1119,34.1619,ok,1437091200,268900
136,34.1976,34.2476,33.8376,34.0576,ok,1437350400,146500
137,34.1071,34.1771,33.6371,33.9471,ok,1437436800,105200
138,33.5281,33.9681,33.3581,33.8181,ok,1437523200,403600
139,33.1391,33.6691,33.0591,33.6591,ok,1437609600,219500
140,32.723,33.143,32.613,33.073,ok,1437696000,275900
141,32.0083,32.3683,31.9183,32.3483,ok,1437955200,270600
142,32.0173,32.4873,31.9273,32.4373,ok,1438041600,230300
143,32.1982,32.2982,31.8882,32.0582,ok,1438128000,204800
144,31.6645,32.0045,31.4945,31.9145,ok,1438214400,284100
145,32.3158,32.5258,31.4258,31.7958,ok,1438300800,495500
146,31.8997,32.2397,31.6197,32.2397,ok,1438560000,295200
147,31.7911,32.1511,31.6311,32.0111,ok,1438646400,340300
148,31.963,32.163,31.803,32.073,ok,1438732800,100900
149,32.0083,32.1283,31.6883,31.6883,ok,1438819200,91600
150,32.4063,32.4763,32.0463,32.0563,ok,1438905600,675500
151,32.732,32.792,32.232,32.372,ok,1439164800,251900
152,31.954,32.684,31.844,32.674,ok,1439251200,124000
153,31.8816,31.8816,31.3716,31.6916,ok,1439337600,214100
154,31.1759,31.8759,31.1659,31.6859,ok,1439424000,231400
155,31.2483,31.2983,31.1183,31.1583,ok,1439510400,253200
156,30.8683,31.2483,30.7983,30.9483,ok,1439769600,69200
157,30.7779,30.8379,30.2279,30.7379,ok,1439856000,136100
158,30.6693,30.7693,30.3293,30.4693,ok,1439942400,558400
159,30.7779,30.8479,30.0079,30.1379,ok,1440028800,270800
160,29.9546,30.6246,29.8646,30.5546,ok,1440115200,965000
161,28.8961,29.4361,26.4561,29.4061,ok,1440374400,167100
162,29.0589,30.2389,28.9489,29.4489,ok,1440460800,657700
163,29.9546,29.9946,29.2146,29.2246,ok,1440547200,261000
164,31.4835,31.6135,29.6935,29.8735,ok,1440633600,403900
165,31.3297,31.5697,30.9297,31.2197,ok,1440720000,153600
166,31.6916,31.7216,30.5916,30.8216,ok,1440979200,155600
167,31.2393,31.4293,30.8393,31.1093,ok,1441065600,734700
168,31.4021,31.5121,31.0321,31.5121,ok,1441152000,519000
169,31.764,31.974,31.164,31.624,ok,1441238400,470700
170,30.995,31.495,30.865,31.375,ok,1441324800,108600
171,30.9407,31.5907,30.9007,31.5207,ok,1441670400,131500
172,30.6964,31.4164,30.6964,31.2864,ok,1441756800,209200
173,31.1397,31.1997,29.3797,30.1997,ok,1441843200,104100
174,30.9769,31.2369,30.9369,31.1769,ok,1441929600,112800
175,31.0583,31.0783,30.6383,31.0183,ok,1442188800,240800
176,31.3297,31.4497,30.8397,30.8397,ok,1442275200,101700
177,32.1801,32.2701,31.5601,31.7001,ok,1442361600,133900
178,32.2525,32.5825,31.7125,31.9825,ok,1442448000,256700
179,31.6464,32.0964,31.5564,31.9364,ok,1442534400,227600
180,31.4383,31.7983,31.3083,31.7883,ok,1442793600,99400
181,30.2803,30.7803,30.1303,30.7103,ok,1442880000,828800
182,29.5656,30.5656,29.4656,30.4656,ok,1442966400,360800
183,29.9727,30.1227,29.1827,29.4627,ok,1443052800,613000
184,29.9184,30.5584,29.7784,30.3584,ok,1443139200,106300
185,29.0499,29.9199,28.9299,29.9099,ok,1443398400,912600
186,29.258,29.628,29.088,29.168,ok,1443484800,472800
187,29.8189,29.9289,29.6089,29.7189,ok,1443571200,269400
188,29.7646,30.0546,29.6246,30.0546,ok,1443657600,420700
189,30.4612,30.5112,29.4412,29.6012,ok,1443744000,206300
190,31.2212,31.2412,30.4212,30.4212,ok,1444003200,439900
191,31.6464,31.6864,31.0864,31.0864,ok,1444089600,556300
192,32.0897,32.1497,31.5797,31.7597,ok,1444176000,704300
193,32.1259,32.1259,31.4359,31.6659,ok,1444262400,277000
194,32.2977,32.5577,32.0677,32.4677,ok,1444348800,229100
195,32.4968,33.2668,32.4168,32.6468,ok,1444608000,239700
196,31.8092,32.0992,31.6492,31.9692,ok,1444694400,262400
197,31.8092,32.0792,31.6792,31.8792,ok,1444780800,109400
198,32.1711,32.1911,31.8611,32.0011,ok,1444867200,207200
199,32.3792,32.3792,32.0392,32.2292,ok,1444953600,229500
200,31.6916,32.1116,31.6616,32.1116,ok,1445212800,295400
201,31.6554,31.7754,31.4854,31.6054,ok,1445299200,88700
202,31.375,31.575,31.335,31.455,ok,1445385600,102700
203,32.0263,32.1063,31.1963,31.5663,ok,1445472000,159100
204,32.3882,32.4682,31.9282,32.2082,ok,1445558400,204400
205,32.3611,32.7811,32.3411,32.6811,ok,1445817600,433200
206,32.0354,32.4354,31.8954,32.4354,ok,1445904000,214600
207,32.0897,32.2997,31.7997,31.9697,ok,1445990400,413200
208,31.6916,32.0116,31.6016,31.8316,ok,1446076800,512600
209,31.5649,31.6549,31.4049,31.6249,ok,1446163200,207700
210,31.6735,31.7935,31.3535,31.3535,ok,1446422400,201000
211,32.2254,32.2254,31.3454,31.6054,ok,1446508800,353100
212,31.9178,32.2578,31.7678,32.2578,ok,1446595200,189500
213,31.6102,31.9302,31.5602,31.9102,ok,1446681600,177300
214,31.2393,31.5493,31.2393,31.5493,ok,1446768000,454300
215,30.7417,31.4117,30.7117,31.2317,ok,1447027200,235100
216,30.6874,30.9674,30.5674,30.9674,ok,1447113600,120300
217,30.7598,30.9798,30.7598,30.9798,ok,1447200000,79800
218,30.4883,30.7483,30.3983,30.5483,ok,1447286400,205000
219,30.2169,30.4869,30.0869,30.4869,ok,1447372800,694700
220,30.2169,30.4169,29.8269,29.9369,ok,1447632000,99600
221,29.7374,30.2774,29.6474,30.2274,ok,1447718400,1119100
222,30.0179,30.0279,29.5479,29.6179,ok,1447804800,212000
223,30.1446,30.3946,30.1246,30.1846,ok,1447891200,523100
224,30.615,30.685,30.395,30.405,ok,1447977600,118400
225,30.0179,30.5679,29.9779,30.5179,ok,1448236800,532300
226,30.0179,30.2079,29.8379,30.1179,ok,1448323200,685400
227,29.8098,30.0498,29.6998,30.0098,ok,1448409600,194500
228,29.4208,29.9708,29.3608,29.8208,ok,1448582400,148600
229,29.3484,29.6684,29.0584,29.5684,ok,1448841600,450700
230,29.1494,29.4494,29.0894,29.3194,ok,1448928000,203700
231,28.8689,29.3089,28.8289,29.2489,ok,1449014400,210400
232,29.0951,29.3051,28.8651,29.1751,ok,1449100800,264800
233,29.1132,29.1732,28.8432,29.0532,ok,1449187200,246100
234,28.679,29.059,28.669,29.049,ok,1449446400,79700
235,28.3442,28.4142,28.1342,28.3042,ok,1449532800,77100
236,28.5704,28.8704,28.4604,28.5404,ok,1449619200,277700
237,28.4256,28.7156,28.3956,28.6256,ok,1449705600,216600
238,28.0638,28.3738,27.9638,28.2838,ok,1449792000,128100
239,27.919,28.029,27.559,28.029,ok,1450051200,203800
240,28.3442,28.4642,28.2342,28.3442,ok,1450137600,335000
241,28.9413,29.1213,28.4813,28.4813,ok,1450224000,429000
242,29.2127,29.5727,29.0427,29.3827,ok,1450310400,490300
243,29.0861,29.5261,28.9961,29.4661,ok,1450396800,332800
244,29.2994,29.5594,29.1694,29.2394,ok,1450656000,214500
245,29.1996,29.2996,29.0696,29.2796,ok,1450742400,112500
246,29.7716,29.8216,29.2016,29.4016,ok,1450828800,476300
247,29.481,29.751,29.361,29.551,ok,1450915200,281700
248,29.3539,29.4239,29.1439,29.2239,ok,1451260800,274700
249,29.3539,29.6139,29.2739,29.5739,ok,1451347200,96700
250,29.1723,29.5723,29.1723,29.5723,ok,1451433600,158500
251,28.9817,29.2317,28.9617,29.0717,ok,1451520000,338300
252,28.6639,28.8539,28.2539,28.6839,ok,1451865600,282000
253,28.8727,28.9627,28.6527,28.7527,ok,1451952000,124200
254,28.6457,28.9457,28.5457,28.6557,ok,1452038400,474500
255,27.647,27.937,27.627,27.937,ok,1452124800,166200
256,27.2747,28.0547,27.2647,28.0347,ok,1452211200,311600
257,27.2656,27.5556,27.2356,27.5556,ok,1452470400,122600
258,27.2021,27.5021,27.1021,27.4521,ok,1452556800,195200
259,27.4018,27.8218,27.3418,27.6218,ok,1452643200,129000
260,27.5834,27.6734,27.2334,27.4234,ok,1452729600,148000
