,c,h,l,o,s,t,v
0,19.6502,19.9302,19.6502,19.9302,ok,1566518400,900
1,19.8381,19.8471,19.7771,19.7771,ok,1566777600,5000
2,19.9797,20.0317,19.9547,20.0317,ok,1566864000,1300
3,19.9925,20.0345,19.9925,20.0345,ok,1566950400,1200
4,20.1095,20.1095,20.0705,20.1025,ok,1567036800,1700
5,20.1508,20.1518,20.1418,20.1518,ok,1567123200,1800
6,20.377,20.378,20.368,20.378,ok,1567468800,600
7,20.437,20.437,20.437,20.437,ok,1567555200,100
8,20.2708,20.2998,20.2568,20.2598,ok,1567641600,900
9,20.1754,20.1754,20.1754,20.1754,ok,1567728000,100
10,19.9679,19.9949,19.9599,19.9949,ok,1567987200,2000
11,20.1253,20.1693,20.1253,20.1563,ok,1568246400,400
12,20.618,20.684,20.618,20.684,ok,1569283200,300
13,20.6927,20.7327,20.6927,20.7327,ok,1569801600,300
14,20.6141,20.6741,20.6141,20.6741,ok,1569888000,1300
15,20.3583,20.3583,20.3583,20.3583,ok,1570752000,200
16,20.2108,20.2608,20.2108,20.2608,ok,1571097600,400
17,20.262,20.262,20.191,20.191,ok,1571270400,1100
18,20.3583,20.3583,20.3583,20.3583,ok,1571356800,100
19,20.496,20.496,20.465,20.465,ok,1571788800,1100
20,20.5354,20.5354,20.5354,20.5354,ok,1571875200,100
21,20.3583,20.3583,20.3583,20.3583,ok,1571961600,100
22,20.0839,20.4229,20.0839,20.4229,ok,1572220800,1000
23,20.1125,20.1125,20.0525,20.0525,ok,1572307200,200
24,20.2236,20.2606,20.2236,20.2606,ok,1572393600,600
25,20.3652,20.3652,20.3072,20.3282,ok,1572480000,1300
26,20.321,20.339,20.319,20.339,ok,1572566400,1600
27,20.0879,20.2729,20.0879,20.2729,ok,1572825600,1100
28,19.9404,19.9854,19.9404,19.9854,ok,1572912000,100
29,19.9826,19.9946,19.9816,19.9946,ok,1572998400,5500
30,19.7201,19.7201,19.6691,19.6691,ok,1573084800,600
31,19.6827,19.6827,19.6597,19.6597,ok,1573171200,900
32,19.6748,19.6918,19.6748,19.6918,ok,1573516800,1500
33,19.9777,20.0147,19.9777,20.0147,ok,1573689600,100
34,20.0348,20.0348,19.9838,19.9838,ok,1573776000,400
35,20.0741,20.2131,20.0741,20.1931,ok,1574035200,1500
36,20.0928,20.1528,20.0928,20.1528,ok,1574121600,1500
37,20.1852,20.1852,20.1812,20.1812,ok,1574208000,100
38,20.1921,20.1921,20.1411,20.1411,ok,1574294400,400
39,20.0898,20.1059,20.0828,20.1059,ok,1574640000,1300
40,20.1577,20.1577,20.1317,20.1317,ok,1574726400,200
41,20.1793,20.1793,20.1713,20.1713,ok,1574812800,200
42,20.14,20.192,20.14,20.192,ok,1574985600,100
43,20.0731,20.0731,20.0731,20.0731,ok,1575331200,100
44,20.1833,20.1833,20.1833,20.1833,ok,1575504000,100
45,20.1715,20.1715,20.1715,20.1715,ok,1575590400,100
46,20.1843,20.2213,20.1843,20.2213,ok,1575936000,400
47,20.1715,20.1715,20.1715,20.1715,ok,1576108800,200
48,20.3399,20.3399,20.3399,20.3399,ok,1576195200,100
49,20.5371,20.5371,20.4281,20.4281,ok,1576454400,1300
50,20.5777,20.5777,20.5777,20.5777,ok,1576540800,100
51,20.6837,20.6837,20.5267,20.5267,ok,1576627200,2600
52,20.6678,20.6758,20.6468,20.6468,ok,1576713600,800
53,20.8056,20.8056,20.8056,20.8056,ok,1576800000,100
54,20.7045,20.7045,20.7045,20.7045,ok,1577145600,100
55,20.758,20.765,20.702,20.748,ok,1577404800,4300
56,20.7441,20.7561,20.7001,20.7561,ok,1577664000,2500
57,20.8442,20.8442,20.7522,20.7812,ok,1577750400,2000
58,20.5916,20.5916,20.5376,20.5376,ok,1577923200,200
