,c,h,l,o,s,t,v
0,23.7457,24.0357,23.6457,24.0257,ok,1420156800,147000
1,23.3362,23.5862,23.1862,23.5862,ok,1420416000,385900
2,23.479,23.689,23.329,23.529,ok,1420502400,659000
3,24.0696,24.1396,23.8496,23.9096,ok,1420588800,284400
4,24.4791,24.5791,24.2791,24.2791,ok,1420675200,141800
5,24.3363,24.5663,24.2963,24.4463,ok,1420761600,181600
6,24.1934,24.2934,24.1234,24.2934,ok,1421020800,113000
7,24.2982,24.6182,24.1382,24.4282,ok,1421107200,143500
8,24.2601,24.3301,24.0301,24.0901,ok,1421193600,170500
9,24.0601,24.5301,24.0301,24.3801,ok,1421280000,228800
10,24.3172,24.3172,24.0472,24.0772,ok,1421366400,163400
11,24.2982,24.3982,24.1482,24.2282,ok,1421712000,506500
12,24.8697,24.9197,24.5297,24.5297,ok,1421798400,269800
13,25.3459,25.3559,24.8159,24.9759,ok,1421884800,253900
14,24.9935,25.1635,24.9535,25.1535,ok,1421971200,388400
15,25.0983,25.1483,24.9283,24.9383,ok,1422230400,921100
16,24.8506,24.9406,24.6806,24.7906,ok,1422316800,841000
17,24.6411,24.9611,24.5811,24.9211,ok,1422403200,226600
18,24.8316,24.8716,24.5616,24.8116,ok,1422489600,181000
19,24.403,24.6729,24.3429,24.4929,ok,1422576000,446600
20,24.622,24.692,24.412,24.482,ok,1422835200,166000
21,24.9459,24.9959,24.6959,24.8359,ok,1422921600,201700
22,24.6982,24.9582,24.6582,24.7282,ok,1423008000,179300
23,25.0887,25.1087,24.7687,24.8187,ok,1423094400,680400
24,24.7839,24.9639,24.7139,24.8839,ok,1423180800,275600
25,24.7077,24.7477,24.6077,24.6377,ok,1423440000,140000
26,24.6601,24.7001,24.5201,24.6201,ok,1423526400,183600
27,24.3839,24.4839,24.2439,24.4139,ok,1423612800,165800
28,24.8506,24.9006,24.4706,24.4706,ok,1423699200,138300
29,24.9363,24.9863,24.8063,24.8563,ok,1423785600,182800
30,25.1268,25.1368,24.8768,24.9268,ok,1424131200,107100
31,25.1364,25.1664,24.9764,25.0264,ok,1424217600,327200
32,25.0792,25.1992,24.9392,25.0392,ok,1424304000,188900
33,25.2411,25.2711,24.9111,24.9611,ok,1424390400,134400
34,25.2602,25.2602,25.1502,25.2102,ok,1424649600,125600
35,25.5174,25.5674,25.1474,25.2274,ok,1424736000,336800
36,25.3935,25.4335,25.3035,25.3435,ok,1424822400,302100
37,25.3554,25.3554,25.2854,25.2954,ok,1424908800,136000
38,25.2221,25.3421,25.1421,25.2521,ok,1424995200,188100
39,24.9459,25.0459,24.9059,25.0159,ok,1425254400,183800
40,24.8887,24.9787,24.8387,24.8787,ok,1425340800,203700
41,24.622,24.682,24.382,24.652,ok,1425427200,272400
42,24.603,24.803,24.503,24.653,ok,1425513600,153200
43,24.241,24.461,24.151,24.431,ok,1425600000,183700
44,24.1077,24.2477,24.0577,24.1977,ok,1425859200,220500
45,23.66,23.88,23.64,23.82,ok,1425945600,150000
46,23.9362,23.9462,23.7162,23.7262,ok,1426032000,229700
47,23.9267,24.1067,23.8767,24.0467,ok,1426118400,139800
48,23.5457,23.6757,23.3857,23.6757,ok,1426204800,157000
49,23.7553,23.7853,23.6353,23.7253,ok,1426464000,289800
50,23.841,23.881,23.621,23.671,ok,1426550400,172100
51,24.3839,24.4739,23.6839,23.7839,ok,1426636800,150200
52,24.0696,24.2296,23.9696,24.1696,ok,1426723200,139600
53,24.6315,24.7015,24.2415,24.4615,ok,1426809600,120300
54,24.7077,24.7677,24.6077,24.6977,ok,1427068800,111900
55,24.9459,24.9859,24.8659,24.8759,ok,1427155200,112600
56,24.6696,25.0497,24.6297,25.0497,ok,1427241600,187000
57,24.5268,24.6968,24.3868,24.6968,ok,1427328000,95800
58,24.6792,24.7592,24.5492,24.5492,ok,1427414400,133400
59,25.003,25.083,24.813,24.853,ok,1427673600,198900
60,25.1745,25.2445,24.9645,25.0245,ok,1427760000,313400
61,25.5459,25.5859,25.2959,25.4159,ok,1427846400,158000
62,25.8984,25.9084,25.6784,25.6884,ok,1427932800,102500
63,26.3079,26.4679,26.0379,26.0879,ok,1428278400,155700
64,26.2698,26.4198,26.2598,26.3398,ok,1428364800,204100
65,26.7651,26.8451,26.6651,26.7051,ok,1428451200,175400
66,27.0414,27.1314,26.9114,27.0114,ok,1428537600,159800
67,26.8604,26.9404,26.7604,26.8504,ok,1428624000,122000
68,26.5746,26.8946,26.5746,26.8346,ok,1428883200,185200
69,26.527,26.567,26.347,26.437,ok,1428969600,151600
70,26.4127,26.4927,26.2427,26.4127,ok,1429056000,210400
71,26.7175,26.7675,26.4275,26.5575,ok,1429142400,132100
72,26.0698,26.2098,25.9498,26.2098,ok,1429228800,113100
73,25.8698,25.9898,25.8098,25.9498,ok,1429488000,172100
74,26.1651,26.2651,26.0351,26.0351,ok,1429574400,111600
75,26.2508,26.3108,26.1408,26.2308,ok,1429660800,139600
76,26.4603,26.5703,26.1103,26.1703,ok,1429747200,350100
77,26.5461,26.6161,26.5061,26.5061,ok,1429833600,115100
78,26.4984,26.6384,26.3984,26.5184,ok,1430092800,397300
79,26.4794,26.6194,26.4494,26.5294,ok,1430179200,155200
80,26.3079,26.4179,26.2179,26.3579,ok,1430265600,175200
81,25.7364,25.9864,25.7364,25.9764,ok,1430352000,194600
82,25.8031,25.8531,25.6431,25.8331,ok,1430438400,96400
83,25.9174,25.9874,25.8174,25.8174,ok,1430697600,122800
84,25.8793,26.0393,25.8393,25.9193,ok,1430784000,116700
85,25.7841,26.0741,25.7141,26.0741,ok,1430870400,141700
86,25.8126,25.8326,25.7026,25.8226,ok,1430956800,150700
87,26.1841,26.2641,26.0341,26.0341,ok,1431043200,121700
88,25.8412,26.1612,25.8212,26.1212,ok,1431302400,142400
89,25.7555,25.8255,25.5855,25.7055,ok,1431388800,119000
90,25.9269,26.1269,25.8669,26.0069,ok,1431475200,150700
91,26.2603,26.3803,26.1403,26.2003,ok,1431561600,140600
92,26.4508,26.4708,26.1908,26.2608,ok,1431648000,97500
93,26.2127,26.3227,26.1827,26.3227,ok,1431907200,148900
94,26.0984,26.1984,26.0984,26.1984,ok,1431993600,136200
95,26.1079,26.1879,26.0179,26.1479,ok,1432080000,97700
96,26.0031,26.0131,25.9131,26.0031,ok,1432166400,190600
97,26.1555,26.2555,26.1355,26.1355,ok,1432252800,97300
98,25.565,25.905,25.475,25.855,ok,1432598400,147900
99,25.6412,25.6612,25.3512,25.4712,ok,1432684800,155200
100,25.4221,25.4521,25.2521,25.3121,ok,1432771200,129400
101,25.184,25.364,25.174,25.344,ok,1432857600,88100
102,25.184,25.314,25.134,25.314,ok,1433116800,222200
103,25.0983,25.2883,24.9283,25.0483,ok,1433203200,423600
104,24.6792,24.9092,24.6792,24.8392,ok,1433289600,8312100
105,24.4696,24.6796,24.4296,24.5396,ok,1433376000,205900
106,24.5268,24.5868,24.2968,24.2968,ok,1433462400,246800
107,24.4696,24.5696,24.4196,24.5096,ok,1433721600,114900
108,24.4506,24.4906,24.3306,24.4506,ok,1433808000,134800
109,24.8411,24.9011,24.7611,24.7611,ok,1433894400,215000
110,24.8982,24.9282,24.7282,24.7982,ok,1433980800,107900
111,24.9173,24.9373,24.8073,24.8273,ok,1434067200,107900
112,24.603,24.713,24.523,24.663,ok,1434326400,88300
113,24.7935,24.8135,24.6235,24.6435,ok,1434412800,142500
114,25.0125,25.0625,24.6925,24.7525,ok,1434499200,133800
115,25.0602,25.1502,25.0002,25.0602,ok,1434585600,129600
116,24.8506,25.0206,24.8306,25.0106,ok,1434672000,472500
117,25.1745,25.2545,25.1145,25.1845,ok,1434931200,117700
118,25.3078,25.3078,25.1778,25.2178,ok,1435017600,103700
119,25.1554,25.3654,25.1454,25.2854,ok,1435104000,102500
120,25.0792,25.2492,25.0392,25.2492,ok,1435190400,104000
121,24.9459,25.0559,24.9159,24.9659,ok,1435276800,686400
122,24.3839,24.6139,24.3639,24.6139,ok,1435536000,159700
123,24.822,24.892,24.732,24.822,ok,1435622400,181800
124,24.7173,24.9973,24.6173,24.9973,ok,1435708800,168700
125,24.8982,24.9782,24.8382,24.8482,ok,1435795200,100300
126,24.3839,24.4639,24.1439,24.3939,ok,1436140800,74200
127,24.0219,24.072,23.5219,24.042,ok,1436227200,104300
128,23.4028,23.5928,23.3828,23.5828,ok,1436313600,258300
129,23.9743,24.2343,23.9743,24.2143,ok,1436400000,265800
130,24.403,24.4429,24.1729,24.2829,ok,1436486400,86100
131,24.6887,24.7087,24.3987,24.4987,ok,1436745600,188800
132,24.7935,24.8135,24.6535,24.6535,ok,1436832000,105100
133,24.5553,24.7253,24.5153,24.6753,ok,1436918400,148500
134,24.7649,24.8449,24.6949,24.7749,ok,1437004800,69200
135,24.7935,24.9635,24.7135,24.8835,ok,1437091200,58700
136,24.6887,24.7287,24.5687,24.6587,ok,1437350400,103200
137,24.6982,24.7982,24.6482,24.6682,ok,1437436800,101800
138,24.3744,24.5644,24.3544,24.5644,ok,1437523200,101600
139,24.2029,24.3929,24.1429,24.3629,ok,1437609600,77900
140,23.7171,23.9872,23.6171,23.9872,ok,1437696000,114000
141,23.2504,23.3904,23.1804,23.3804,ok,1437955200,119900
142,23.3933,23.4233,23.2033,23.3933,ok,1438041600,104400
143,23.6695,23.7195,23.3595,23.3595,ok,1438128000,87700
144,23.5362,23.5562,23.3862,23.5362,ok,1438214400,107100
145,23.7457,23.8457,23.6757,23.6957,ok,1438300800,122200
146,23.4886,23.6486,23.3986,23.6086,ok,1438560000,117400
147,23.7648,23.8648,23.6248,23.6648,ok,1438646400,121200
148,23.7457,23.9757,23.7057,23.8857,ok,1438732800,189300
149,23.5648,23.6748,23.5048,23.6648,ok,1438819200,129400
150,23.3552,23.4852,23.3252,23.4152,ok,1438905600,79100
151,23.641,23.691,23.311,23.311,ok,1439164800,154600
152,23.0123,23.2723,22.8623,23.2723,ok,1439251200,113800
153,22.5265,22.6865,22.3465,22.6865,ok,1439337600,795200
154,22.7361,22.8261,22.5661,22.6761,ok,1439424000,134700
155,22.5837,22.6637,22.5537,22.5937,ok,1439510400,103300
156,22.4218,22.4618,22.3318,22.3818,ok,1439769600,173800
157,22.2598,22.3498,22.1398,22.2098,ok,1439856000,114600
158,21.9931,22.2531,21.8231,22.1131,ok,1439942400,190700
159,21.7074,21.8174,21.6074,21.8074,ok,1440028800,369100
160,21.0978,21.5278,21.0578,21.4778,ok,1440115200,263700
161,20.3167,20.8367,18.9867,19.5867,ok,1440374400,882100
162,20.612,21.582,20.612,21.362,ok,1440460800,2784300
163,21.1454,21.1854,20.5854,21.0154,ok,1440547200,594000
164,21.8217,21.8517,21.2617,21.3317,ok,1440633600,474100
165,21.6598,21.7898,21.5498,21.5998,ok,1440720000,423300
166,21.6312,21.6312,21.2312,21.3712,ok,1440979200,235800
167,20.8025,21.1725,20.7725,20.9725,ok,1441065600,213500
168,21.1835,21.2135,20.9135,21.2035,ok,1441152000,258900
169,21.3454,21.5454,21.1154,21.1154,ok,1441238400,227100
170,20.7168,21.1368,20.5968,21.1068,ok,1441324800,181700
171,21.1168,21.2468,20.9668,21.1368,ok,1441670400,202500
172,20.8597,21.3697,20.8297,21.3497,ok,1441756800,421500
173,21.0787,21.1787,20.7387,20.7387,ok,1441843200,114300
174,21.0406,21.0706,20.9006,20.9806,ok,1441929600,303400
175,21.0406,21.0406,20.9206,21.0206,ok,1442188800,197200
176,21.2597,21.2997,21.0397,21.0397,ok,1442275200,116200
177,21.8217,21.8617,21.4817,21.4817,ok,1442361600,240800
178,21.8884,22.2584,21.5684,21.5684,ok,1442448000,104600
179,21.2883,21.6683,21.2383,21.5683,ok,1442534400,163700
180,21.3169,21.4469,21.2569,21.3669,ok,1442793600,234000
181,20.8692,20.8792,20.5292,20.7892,ok,1442880000,227000
182,20.4501,20.8201,20.4501,20.8201,ok,1442966400,232200
183,20.4977,20.5177,20.0277,20.1277,ok,1443052800,189300
184,20.5072,20.8872,20.4872,20.7972,ok,1443139200,241400
185,19.9738,20.3938,19.9038,20.3938,ok,1443398400,215000
186,20.1834,20.2634,20.0234,20.0834,ok,1443484800,158900
187,20.6882,20.7382,20.5682,20.5682,ok,1443571200,211900
188,20.6787,20.8187,20.5287,20.7287,ok,1443657600,166200
189,21.3454,21.3554,20.5354,20.6254,ok,1443744000,154300
190,21.7836,21.7936,21.4236,21.4236,ok,1444003200,247400
191,21.8884,21.9884,21.7884,21.7884,ok,1444089600,144600
192,22.1455,22.3555,22.0155,22.1455,ok,1444176000,126900
193,22.4313,22.4513,22.0513,22.1113,ok,1444262400,88000
194,22.3741,22.5741,22.2941,22.4141,ok,1444348800,83800
195,22.1932,22.3832,22.1732,22.3832,ok,1444608000,99400
196,21.7741,22.1241,21.7341,21.9741,ok,1444694400,197300
197,21.9074,21.9974,21.7574,21.9074,ok,1444780800,250600
198,22.4884,22.5084,22.0384,22.0384,ok,1444867200,4755000
199,22.4884,22.5184,22.2284,22.3584,ok,1444953600,264300
200,22.2313,22.2513,22.1113,22.2513,ok,1445212800,241200
201,22.2027,22.3027,22.0927,22.1727,ok,1445299200,180800
202,21.9741,22.1641,21.9341,22.1641,ok,1445385600,116800
203,22.5265,22.6265,22.2265,22.2565,ok,1445472000,369200
204,22.6027,22.6527,22.4427,22.5727,ok,1445558400,136200
205,22.7075,22.8875,22.6675,22.8275,ok,1445817600,188600
206,22.6694,22.7394,22.5294,22.6494,ok,1445904000,137800
207,22.517,22.977,22.377,22.727,ok,1445990400,184700
208,22.1836,22.3236,22.1436,22.2536,ok,1446076800,160700
209,22.2503,22.3403,22.2003,22.3103,ok,1446163200,83900
210,22.6408,22.6408,22.3308,22.3708,ok,1446422400,127700
211,22.9647,23.0147,22.4147,22.4447,ok,1446508800,115900
212,22.6504,23.0304,22.5704,22.9704,ok,1446595200,139300
213,22.7456,22.8056,22.5856,22.7456,ok,1446681600,74800
214,22.6027,22.6027,22.3027,22.4127,ok,1446768000,111200
215,22.1455,22.4555,22.0255,22.4555,ok,1447027200,558500
216,22.2027,22.2427,22.0027,22.1027,ok,1447113600,227000
217,22.4122,22.4922,22.3022,22.4422,ok,1447200000,115000
218,22.1551,22.3751,22.1251,22.2551,ok,1447286400,143300
219,21.6407,21.8407,21.5507,21.8407,ok,1447372800,150700
220,21.936,21.966,21.586,21.656,ok,1447632000,91000
221,22.0122,22.2122,21.9522,22.0922,ok,1447718400,220400
222,22.317,22.317,21.907,21.937,ok,1447804800,772500
223,22.4599,22.5499,22.3299,22.3799,ok,1447891200,88700
224,22.7742,22.8642,22.6742,22.6742,ok,1447977600,126900
225,22.7456,22.8556,22.6856,22.7456,ok,1448236800,239800
226,22.7075,22.7675,22.5675,22.6175,ok,1448323200,232600
227,22.4694,22.5594,22.4494,22.5394,ok,1448409600,214100
228,21.9646,22.3146,21.9646,22.3046,ok,1448582400,104000
229,21.936,22.076,21.826,21.976,ok,1448841600,150600
230,22.0217,22.0217,21.8617,21.9617,ok,1448928000,673000
231,21.7931,21.9531,21.7131,21.8731,ok,1449014400,116900
232,21.5931,21.9531,21.5231,21.9531,ok,1449100800,241600
233,21.6407,21.7107,21.3607,21.3907,ok,1449187200,175600
234,21.3454,21.6154,21.3154,21.5354,ok,1449446400,1318600
235,21.1359,21.1459,20.9059,20.9459,ok,1449532800,237200
236,20.9359,21.3059,20.7959,21.0859,ok,1449619200,2066400
237,20.5644,20.8944,20.5544,20.8944,ok,1449705600,1074000
238,19.8881,20.1281,19.8681,20.1281,ok,1449792000,360500
239,20.3834,20.3934,20.0634,20.2434,ok,1450051200,605200
240,20.7358,20.8058,20.6558,20.6658,ok,1450137600,2190600
241,21.1454,21.2054,20.7154,20.7154,ok,1450224000,659400
242,20.8597,21.2897,20.8597,21.1697,ok,1450310400,690800
243,20.612,20.822,20.602,20.722,ok,1450396800,595400
