,c,h,l,o,s,t,v
0,8.3,10.0,7.0,7.0,ok,1527811200,55700
1,8.6,10.5,7.17,7.55,ok,1528070400,41500
2,7.61,8.6,7.06,8.27,ok,1528156800,34100
3,7.55,8.24,6.648,7.57,ok,1528243200,59800
4,7.63,7.87,7.01,7.6,ok,1528329600,21100
5,7.43,7.58,6.98,7.0,ok,1528416000,8600
6,7.59,7.59,7.1,7.4,ok,1528675200,9300
7,8.25,8.25,7.11,7.59,ok,1528761600,19700
8,8.0,8.38,7.651,7.98,ok,1528848000,23100
9,8.601,8.788,7.81,8.006,ok,1528934400,28900
10,8.16,9.464,8.16,8.99,ok,1529020800,18100
11,8.01,8.6,7.854,8.6,ok,1529280000,4300
12,8.298,8.3,7.975,8.25,ok,1529366400,9200
13,8.35,9.75,8.0,8.24,ok,1529452800,46300
14,8.17,8.77,8.04,8.21,ok,1529539200,5400
15,9.305,10.49,8.25,8.59,ok,1529625600,45500
16,8.22,9.48,8.08,8.801,ok,1529884800,25700
17,7.95,9.0,7.8,8.3,ok,1529971200,27000
18,8.22,8.5,8.04,8.31,ok,1530057600,7500
19,8.2,8.45,8.04,8.175,ok,1530144000,10100
20,8.35,8.79,8.26,8.26,ok,1530230400,4400
21,8.31,8.47,8.203,8.34,ok,1530489600,3600
22,8.47,8.88,8.4,8.45,ok,1530576000,2300
23,8.25,8.3,8.25,8.3,ok,1530748800,1200
24,8.25,8.44,8.25,8.44,ok,1530835200,1500
25,8.25,8.25,8.25,8.25,ok,1531094400,1400
26,8.35,8.44,8.05,8.25,ok,1531180800,3500
27,7.615,8.08,7.42,8.05,ok,1531267200,24000
28,7.975,8.1,7.85,7.85,ok,1531353600,10200
29,7.94,8.099,7.876,7.876,ok,1531440000,3100
30,7.96,8.09,7.96,8.09,ok,1531699200,3300
31,7.89,8.05,7.8,8.014,ok,1531785600,1000
32,7.65,8.0,7.65,7.89,ok,1531872000,1700
33,7.45,7.67,7.45,7.67,ok,1531958400,8800
34,7.8,7.88,7.45,7.45,ok,1532044800,4700
35,7.83,7.99,7.83,7.97,ok,1532304000,2800
36,7.82,7.98,7.82,7.823,ok,1532390400,2700
37,7.99,8.0,7.82,8.0,ok,1532476800,6100
38,7.82,8.0,7.82,8.0,ok,1532563200,5500
39,7.8,7.89,7.8,7.82,ok,1532649600,1600
40,7.45,7.99,7.45,7.99,ok,1532908800,10400
41,7.54,7.68,7.54,7.68,ok,1532995200,600
42,7.51,7.6,7.5,7.575,ok,1533081600,1400
43,7.51,7.6,7.51,7.56,ok,1533168000,1000
44,7.24,7.486,7.21,7.21,ok,1533254400,800
