,c,h,l,o,s,t,v
0,1.909,1.924,1.909,1.919,ok,1420156800,5400
1,1.9247,1.9297,1.8797,1.9047,ok,1420416000,23400
2,2.0468,2.0468,1.8818,1.8818,ok,1420502400,64400
3,2.157,2.157,2.027,2.042,ok,1420588800,53200
4,2.157,2.172,2.142,2.142,ok,1420675200,18800
5,2.1648,2.1748,2.0648,2.1648,ok,1420761600,33400
6,2.2436,2.3936,2.1686,2.3336,ok,1421020800,22800
7,2.2829,2.2829,2.1629,2.1629,ok,1421107200,8000
8,2.2199,2.2499,2.2149,2.2499,ok,1421193600,20000
9,1.9011,2.0961,1.6311,1.9911,ok,1421280000,97800
10,1.7319,1.8919,1.7019,1.8819,ok,1421366400,55200
11,1.7358,1.7758,1.6958,1.7758,ok,1421712000,5800
12,1.6925,1.7475,1.6275,1.7375,ok,1421798400,34000
13,1.6807,1.7607,1.6457,1.7607,ok,1421884800,10400
14,1.661,1.786,1.636,1.741,ok,1421971200,38200
15,1.7083,1.7283,1.5883,1.5983,ok,1422230400,7200
16,1.7319,1.7419,1.6269,1.6269,ok,1422316800,29600
17,1.6768,1.7568,1.6768,1.7568,ok,1422403200,5200
18,1.6413,1.7263,1.6413,1.7263,ok,1422489600,8000
19,1.6846,1.6846,1.6096,1.6196,ok,1422576000,8000
20,1.6846,1.6846,1.6446,1.6796,ok,1422835200,2400
21,1.6689,1.6889,1.6589,1.6889,ok,1422921600,3400
22,1.6689,1.6689,1.6539,1.6539,ok,1423008000,1800
23,1.6571,1.6871,1.4771,1.6571,ok,1423094400,86400
24,1.6217,1.6517,1.5767,1.6517,ok,1423180800,7400
25,1.6925,1.7275,1.6225,1.6325,ok,1423440000,13800
26,1.6531,1.6931,1.6481,1.6931,ok,1423526400,14800
27,1.7122,1.7122,1.6372,1.6372,ok,1423612800,1200
28,1.6964,1.7014,1.6664,1.6664,ok,1423699200,3800
29,1.6453,1.7003,1.6403,1.6903,ok,1423785600,12200
30,1.665,1.7,1.665,1.695,ok,1424131200,9000
31,1.7043,1.7393,1.7043,1.7393,ok,1424217600,1800
32,1.6768,1.7018,1.6768,1.7018,ok,1424304000,1400
33,1.661,1.721,1.661,1.676,ok,1424390400,11000
34,1.7043,1.7043,1.6493,1.6493,ok,1424649600,6000
35,1.7515,1.7515,1.7015,1.7465,ok,1424736000,3600
36,1.7004,1.7354,1.7004,1.7354,ok,1424822400,2200
37,1.6768,1.6968,1.6718,1.6718,ok,1424908800,10400
38,1.6964,1.7514,1.6964,1.7464,ok,1424995200,1200
39,1.7161,1.7161,1.6611,1.6611,ok,1425340800,1000
40,1.7043,1.7043,1.6943,1.6943,ok,1425427200,1400
