,c,h,l,o,s,t,v
0,9.3225,9.3625,9.2625,9.3225,ok,1420156800,176900
1,9.3293,9.3493,9.2393,9.2893,ok,1420416000,87500
2,9.2677,9.3577,9.1977,9.3477,ok,1420502400,118500
3,9.2404,9.3304,9.2004,9.3304,ok,1420588800,179900
4,9.2746,9.2946,9.2346,9.2746,ok,1420675200,138100
5,9.2746,9.3246,9.2646,9.2946,ok,1420761600,135100
6,9.2951,9.3551,9.2651,9.2951,ok,1421020800,150200
7,9.3225,9.3425,9.2825,9.3125,ok,1421107200,132700
8,9.2336,9.3736,9.2235,9.3135,ok,1421193600,262200
9,9.2062,9.2962,9.1762,9.2762,ok,1421280000,201400
10,9.2472,9.2472,9.1672,9.1872,ok,1421366400,212900
11,9.2336,9.2936,9.1936,9.2936,ok,1421712000,234600
12,9.2814,9.2814,9.2014,9.2414,ok,1421798400,182300
13,9.2746,9.2846,9.2346,9.2646,ok,1421884800,195100
14,9.2814,9.3314,9.2614,9.2814,ok,1421971200,180900
15,9.2883,9.2983,9.2683,9.2683,ok,1422230400,108300
16,9.2883,9.2983,9.2483,9.2483,ok,1422316800,73200
17,9.2336,9.3535,9.2336,9.3336,ok,1422403200,145400
18,9.2541,9.2641,9.1941,9.2341,ok,1422489600,91400
19,9.2541,9.3141,9.2341,9.2341,ok,1422576000,87100
20,9.2951,9.2951,9.2051,9.2651,ok,1422835200,149200
21,9.3293,9.3393,9.2193,9.2793,ok,1422921600,150500
22,9.2951,9.3551,9.2851,9.2951,ok,1423008000,114400
23,9.3156,9.3556,9.3056,9.3156,ok,1423094400,90300
24,9.3293,9.3493,9.3093,9.3193,ok,1423180800,145700
25,9.4182,9.4682,9.2782,9.2882,ok,1423440000,213500
26,9.4524,9.4524,9.3024,9.3924,ok,1423526400,277600
27,9.5071,9.5071,9.4271,9.4271,ok,1423612800,104600
28,9.5413,9.5613,9.5013,9.5513,ok,1423699200,118300
29,9.5824,9.5824,9.5324,9.5624,ok,1423785600,79100
30,9.5687,9.6187,9.5487,9.5987,ok,1424131200,92400
31,9.6017,9.6217,9.5417,9.5817,ok,1424217600,140100
32,9.6499,9.6499,9.5299,9.5899,ok,1424304000,103300
33,9.7049,9.7149,9.5949,9.6349,ok,1424390400,124700
34,9.8149,9.8349,9.6749,9.6749,ok,1424649600,214800
35,9.8631,9.8931,9.8031,9.8131,ok,1424736000,159400
36,9.8493,9.9193,9.8193,9.8893,ok,1424822400,182800
37,9.7874,9.8874,9.7574,9.8274,ok,1424908800,172000
38,9.8149,9.8449,9.7649,9.8049,ok,1424995200,174100
39,9.8424,9.8824,9.7924,9.8124,ok,1425254400,110100
40,9.8768,9.8768,9.7868,9.8268,ok,1425340800,113600
41,9.9112,9.9312,9.8312,9.8612,ok,1425427200,229200
42,9.8768,9.9668,9.8768,9.9368,ok,1425513600,132300
43,9.8837,9.9437,9.8337,9.8937,ok,1425600000,143600
44,9.9525,9.9625,9.8525,9.8625,ok,1425859200,117600
45,9.9319,9.9619,9.9019,9.9519,ok,1425945600,118800
46,9.925,9.965,9.925,9.945,ok,1426032000,110900
47,9.8906,9.9606,9.8906,9.9506,ok,1426118400,69900
48,9.925,9.935,9.875,9.905,ok,1426204800,127200
49,9.9043,9.9743,9.8943,9.9643,ok,1426464000,138700
50,9.8768,9.9468,9.8768,9.9368,ok,1426550400,110300
51,9.8424,9.9024,9.8124,9.8724,ok,1426636800,138400
52,9.8424,9.8724,9.8124,9.8624,ok,1426723200,95000
53,9.9102,9.9302,9.8502,9.8802,ok,1426809600,108500
54,10.0001,10.0101,9.8801,9.8901,ok,1427068800,115700
55,9.9794,10.0794,9.9794,10.0194,ok,1427155200,144300
56,10.007,10.037,9.987,9.997,ok,1427241600,163200
57,9.9794,10.0894,9.9794,10.0294,ok,1427328000,139500
58,9.9932,10.0932,9.9732,10.0032,ok,1427414400,132100
59,9.9863,10.0463,9.9763,10.0063,ok,1427673600,87700
60,9.9932,10.0632,9.9732,10.0132,ok,1427760000,137400
61,10.0139,10.0539,10.0039,10.0139,ok,1427846400,98700
62,10.007,10.047,9.987,10.017,ok,1427932800,148100
63,10.0278,10.0578,9.9978,10.0178,ok,1428278400,90400
64,10.0831,10.1031,10.0031,10.0131,ok,1428364800,92500
65,10.1384,10.1584,10.0684,10.0684,ok,1428451200,143000
66,10.1453,10.1853,10.1253,10.1553,ok,1428537600,113400
67,10.1523,10.1623,10.1223,10.1423,ok,1428624000,103200
68,10.1523,10.1723,10.0923,10.1723,ok,1428883200,96300
69,10.1523,10.1523,10.1123,10.1323,ok,1428969600,70500
70,10.1453,10.1653,10.0753,10.1653,ok,1429056000,145500
71,10.1384,10.1584,10.1084,10.1284,ok,1429142400,118900
72,10.1177,10.1577,10.0977,10.1577,ok,1429228800,135800
73,10.1799,10.1999,10.1199,10.1399,ok,1429488000,127300
74,10.1785,10.2385,10.1485,10.2185,ok,1429574400,88600
75,10.1577,10.2177,10.1377,10.1877,ok,1429660800,63900
76,10.2828,10.3228,10.1528,10.1628,ok,1429747200,221800
77,10.2481,10.3981,10.2381,10.3281,ok,1429833600,170400
78,10.2272,10.3372,10.2272,10.2872,ok,1430092800,90100
79,10.2898,10.2998,10.2298,10.2498,ok,1430179200,109700
80,10.3037,10.3237,10.2137,10.2837,ok,1430265600,59300
81,10.2203,10.3503,10.2203,10.3403,ok,1430352000,94400
82,10.1785,10.2885,10.1785,10.2485,ok,1430438400,119400
83,10.1716,10.2616,10.1516,10.2116,ok,1430697600,166100
84,10.1299,10.1799,10.0999,10.1599,ok,1430784000,104300
85,10.1438,10.1538,10.1038,10.1338,ok,1430870400,78800
86,10.109,10.189,10.079,10.139,ok,1430956800,131700
87,10.0951,10.1451,10.0751,10.1251,ok,1431043200,107700
88,10.0882,10.1182,10.0782,10.0782,ok,1431302400,67300
89,10.0464,10.1164,9.9764,10.1064,ok,1431388800,173200
90,9.9839,10.0539,9.9739,10.0439,ok,1431475200,139600
91,9.9769,10.1069,9.9669,9.9669,ok,1431561600,123300
92,10.0047,10.1347,9.9747,9.9947,ok,1431648000,143800
93,10.0325,10.0525,10.0025,10.0025,ok,1431907200,98200
94,10.0534,10.0834,9.9934,10.0534,ok,1431993600,143400
95,10.017,10.127,10.007,10.127,ok,1432080000,63800
96,10.1708,10.1808,10.0108,10.0108,ok,1432166400,98500
97,10.1708,10.2008,10.1208,10.2008,ok,1432252800,71200
98,10.0869,10.2069,10.0569,10.2069,ok,1432598400,93800
99,10.1568,10.1568,10.0768,10.1068,ok,1432684800,69300
100,10.08,10.19,10.08,10.19,ok,1432771200,76900
101,10.024,10.164,9.994,10.144,ok,1432857600,83200
102,9.9961,10.0661,9.9761,10.0661,ok,1433116800,75600
103,10.01,10.07,9.99,9.99,ok,1433203200,70100
104,10.08,10.09,9.99,10.01,ok,1433289600,69800
105,9.9891,10.0991,9.9591,10.0991,ok,1433376000,115400
106,10.045,10.065,9.895,9.975,ok,1433462400,106200
107,10.1219,10.1519,9.9719,9.9919,ok,1433721600,127100
108,10.0939,10.2039,10.0839,10.1339,ok,1433808000,111700
109,10.024,10.184,10.014,10.174,ok,1433894400,99500
110,10.038,10.068,9.988,10.058,ok,1433980800,84400
111,9.9821,10.0821,9.9621,10.0821,ok,1434067200,51700
112,9.9401,10.0601,9.9301,10.0301,ok,1434326400,109600
113,9.9192,9.9592,9.8892,9.9292,ok,1434412800,80400
114,9.9611,9.9911,9.9211,9.9211,ok,1434499200,62800
115,9.9471,9.9771,9.9271,9.9671,ok,1434585600,49900
116,9.9246,9.9946,9.9046,9.9946,ok,1434672000,53300
117,9.9106,9.9906,9.9106,9.9706,ok,1434931200,95200
118,9.9528,9.9928,9.8828,9.8928,ok,1435017600,77900
119,9.9176,9.9876,9.8976,9.9876,ok,1435104000,90700
120,9.8614,9.9914,9.8614,9.9414,ok,1435190400,108200
121,9.763,9.933,9.733,9.933,ok,1435276800,131500
122,9.6365,9.7865,9.6065,9.7865,ok,1435536000,168600
123,9.6646,9.7746,9.6146,9.6446,ok,1435622400,180100
124,9.7067,9.7467,9.6967,9.7467,ok,1435708800,105900
125,9.7208,9.7408,9.7008,9.7108,ok,1435795200,46100
126,9.7349,9.7449,9.6949,9.7249,ok,1436140800,62200
127,9.7349,9.7449,9.6449,9.7449,ok,1436227200,88700
128,9.6786,9.7486,9.6486,9.7486,ok,1436313600,111000
129,9.6716,9.7516,9.6716,9.7116,ok,1436400000,71700
130,9.6857,9.7457,9.6457,9.7357,ok,1436486400,80900
131,9.6786,9.7886,9.6786,9.7186,ok,1436745600,96000
132,9.7419,9.7719,9.6419,9.6419,ok,1436832000,107400
133,9.8333,9.8333,9.6733,9.7233,ok,1436918400,81800
134,9.8895,9.8995,9.7795,9.8095,ok,1437004800,110700
135,9.8122,9.9622,9.8122,9.9222,ok,1437091200,64800
136,9.7278,9.8978,9.6878,9.8978,ok,1437350400,138400
137,9.777,9.777,9.687,9.717,ok,1437436800,76700
138,9.7403,9.8103,9.7403,9.7503,ok,1437523200,61200
139,9.7756,9.8056,9.7256,9.7256,ok,1437609600,43700
140,9.6908,9.7808,9.6308,9.7708,ok,1437696000,148800
141,9.6696,9.7196,9.6096,9.6196,ok,1437955200,197000
142,9.6131,9.7031,9.5931,9.7031,ok,1438041600,311300
143,9.7049,9.7349,9.5849,9.5949,ok,1438128000,70800
144,9.7332,9.7632,9.6232,9.6832,ok,1438214400,82300
145,9.712,9.772,9.692,9.772,ok,1438300800,61300
146,9.6908,9.7708,9.6808,9.7308,ok,1438560000,94000
147,9.712,9.752,9.632,9.632,ok,1438646400,75200
148,9.6908,9.7608,9.6708,9.7308,ok,1438732800,85200
149,9.6625,9.7325,9.6025,9.7125,ok,1438819200,190000
150,9.5706,9.7006,9.5706,9.6806,ok,1438905600,83600
151,9.5565,9.6365,9.5565,9.5565,ok,1439164800,106300
152,9.6555,9.6955,9.5255,9.5355,ok,1439251200,286900
153,9.6272,9.6972,9.4972,9.4972,ok,1439337600,222500
154,9.6555,9.7155,9.5955,9.5955,ok,1439424000,114200
155,9.6625,9.6925,9.6025,9.6125,ok,1439510400,94800
156,9.6555,9.7155,9.6255,9.6455,ok,1439769600,122900
157,9.6837,9.6937,9.6537,9.6537,ok,1439856000,80500
158,9.6837,9.7037,9.6337,9.6537,ok,1439942400,104000
159,9.5828,9.6928,9.5728,9.6228,ok,1440028800,90400
160,9.5117,9.6017,9.4417,9.5817,ok,1440115200,165300
161,9.4477,9.4777,8.1677,9.2377,ok,1440374400,414800
162,9.6894,9.7794,9.3094,9.3694,ok,1440460800,674200
163,9.7889,9.7889,9.6589,9.7189,ok,1440547200,126100
164,9.7036,9.8736,9.7036,9.8736,ok,1440633600,135200
165,9.7392,9.8192,9.6592,9.6592,ok,1440720000,113400
166,9.7605,9.7905,9.6705,9.7005,ok,1440979200,132800
167,9.7463,9.7663,9.6663,9.6763,ok,1441065600,72900
168,9.7747,9.7947,9.7247,9.7447,ok,1441152000,49200
