,c,h,l,o,s,t,v
0,9.06,9.33,8.88,9.24,ok,1420156800,1167700
1,8.84,9.22,8.71,9.01,ok,1420416000,570400
2,8.66,8.95,8.54,8.84,ok,1420502400,420600
3,8.77,8.78,8.59,8.72,ok,1420588800,360400
4,8.91,8.94,8.65,8.84,ok,1420675200,716200
5,8.72,8.96,8.67,8.92,ok,1420761600,458700
6,8.7,8.88,8.45,8.69,ok,1421020800,469000
7,9.15,9.16,8.72,8.76,ok,1421107200,863000
8,9.09,9.3,8.9,9.05,ok,1421193600,789000
9,8.75,9.14,8.71,9.14,ok,1421280000,774100
10,9.13,9.14,8.68,8.72,ok,1421366400,603000
11,8.93,9.15,8.88,9.11,ok,1421712000,591800
12,8.69,8.89,8.62,8.85,ok,1421798400,456000
13,8.8,8.94,8.47,8.72,ok,1421884800,799700
14,8.16,8.5,7.57,8.18,ok,1421971200,2115300
15,7.93,8.27,7.9,8.13,ok,1422230400,801800
16,7.95,8.16,7.75,7.79,ok,1422316800,827200
17,7.94,8.0,7.84,8.0,ok,1422403200,726900
18,7.84,7.96,7.76,7.93,ok,1422489600,770800
19,7.71,7.85,7.7,7.79,ok,1422576000,941300
20,7.97,8.01,7.66,7.7,ok,1422835200,889500
21,7.97,8.07,7.89,8.04,ok,1422921600,602200
22,8.1,8.13,7.86,7.9,ok,1423008000,604800
23,7.98,8.17,7.92,8.15,ok,1423094400,537700
24,7.9,8.04,7.79,7.96,ok,1423180800,734400
25,7.64,7.88,7.62,7.88,ok,1423440000,1071700
26,7.72,7.79,7.47,7.73,ok,1423526400,1080400
27,7.86,7.87,7.66,7.7,ok,1423612800,447200
28,7.93,7.98,7.89,7.94,ok,1423699200,475300
29,7.96,8.01,7.88,7.96,ok,1423785600,507900
30,7.85,7.98,7.85,7.94,ok,1424131200,306700
31,7.7,7.88,7.55,7.78,ok,1424217600,795800
32,7.68,7.85,7.65,7.7,ok,1424304000,601000
33,7.62,7.71,7.54,7.7,ok,1424390400,545100
34,7.51,7.58,7.34,7.56,ok,1424649600,605500
35,7.64,7.72,7.48,7.53,ok,1424736000,411100
36,7.42,7.67,7.38,7.66,ok,1424822400,597300
37,7.41,7.52,7.39,7.41,ok,1424908800,504200
38,7.41,7.5,7.33,7.39,ok,1424995200,539800
39,7.75,7.8,7.44,7.56,ok,1425254400,778100
40,7.66,7.9,7.6,7.71,ok,1425340800,475200
41,7.44,7.65,7.34,7.63,ok,1425427200,833900
42,7.51,7.65,7.39,7.5,ok,1425513600,794000
43,7.12,7.43,7.12,7.43,ok,1425600000,1102500
44,7.06,7.23,7.04,7.15,ok,1425859200,648600
45,7.18,7.38,7.0,7.0,ok,1425945600,828600
46,7.27,7.39,7.14,7.21,ok,1426032000,474000
47,7.23,7.42,7.13,7.36,ok,1426118400,753100
48,7.27,7.3,7.05,7.2,ok,1426204800,528200
49,7.5,7.56,7.25,7.3,ok,1426464000,915900
50,7.55,7.69,7.47,7.47,ok,1426550400,498600
51,7.95,8.0,7.47,7.55,ok,1426636800,931800
52,7.84,7.95,7.79,7.9,ok,1426723200,378600
53,8.17,8.39,7.83,7.91,ok,1426809600,2943700
54,8.71,8.73,8.12,8.15,ok,1427068800,1329400
55,8.78,8.82,8.63,8.67,ok,1427155200,895400
56,8.51,8.84,8.49,8.83,ok,1427241600,574000
57,8.38,8.5,8.32,8.46,ok,1427328000,428600
58,8.41,8.45,8.27,8.37,ok,1427414400,295700
