,c,h,l,o,s,t,v
0,302.55,303.9,292.65,292.65,ok,1420156800,14200
1,289.65,310.35,288.0,303.9,ok,1420416000,18200
2,254.55,292.05,245.25,288.75,ok,1420502400,35800
3,258.9,266.7,255.0,256.2,ok,1420588800,17400
4,263.25,264.75,256.95,262.5,ok,1420675200,12200
5,279.0,285.0,255.0,258.6,ok,1420761600,15700
6,275.25,285.3,270.0,285.3,ok,1421020800,14800
7,270.6,283.35,263.25,277.5,ok,1421107200,10700
8,277.2,278.25,255.15,262.05,ok,1421193600,13700
9,256.65,278.7,255.0,276.3,ok,1421280000,13500
10,270.0,270.75,254.7,254.7,ok,1421366400,7200
11,265.8,277.05,259.65,271.5,ok,1421712000,6500
12,258.9,267.75,255.0,266.4,ok,1421798400,9300
13,245.25,260.25,238.2,260.25,ok,1421884800,19200
14,255.45,258.45,246.15,246.45,ok,1421971200,14100
15,266.55,272.85,255.45,255.75,ok,1422230400,19400
16,270.9,275.07,255.15,263.25,ok,1422316800,13600
17,259.5,271.35,258.45,271.35,ok,1422403200,6400
18,266.85,269.1,250.35,259.65,ok,1422489600,9500
19,255.45,273.75,253.95,266.55,ok,1422576000,19100
20,252.45,256.65,237.6,255.45,ok,1422835200,22000
21,240.15,255.0,231.15,255.0,ok,1422921600,16400
22,235.5,245.4,226.35,237.15,ok,1423008000,12300
23,241.05,245.4,231.0,237.15,ok,1423094400,12200
24,239.55,248.25,236.55,242.4,ok,1423180800,11000
25,235.5,244.65,234.9,237.15,ok,1423440000,17200
26,237.75,239.55,232.65,236.55,ok,1423526400,7800
27,249.0,256.335,237.765,238.65,ok,1423612800,18100
28,247.5,254.1,240.765,251.25,ok,1423699200,6700
29,246.75,251.55,244.35,247.5,ok,1423785600,10900
30,246.3,249.45,240.9,245.7,ok,1424131200,24400
31,247.05,249.0,243.15,247.2,ok,1424217600,16900
32,244.8,254.55,241.65,245.7,ok,1424304000,23300
33,244.5,247.8,242.7,246.0,ok,1424390400,17200
34,253.5,258.45,242.4,244.5,ok,1424649600,32600
35,254.85,259.5,248.25,255.45,ok,1424736000,27100
36,268.5,270.0,250.5,256.05,ok,1424822400,40400
37,266.7,275.4,259.2,267.75,ok,1424908800,22700
38,272.25,277.5,257.4,266.7,ok,1424995200,52500
39,283.8,285.6,273.0,276.9,ok,1425254400,38300
40,282.0,287.85,270.9,283.95,ok,1425340800,25900
41,294.525,296.805,274.65,282.0,ok,1425427200,22200
42,321.9,343.5,310.8,334.35,ok,1425513600,152600
43,360.0,388.05,333.75,337.95,ok,1425600000,242900
44,373.35,385.35,360.9,372.0,ok,1425859200,130600
45,379.2,392.4,354.0,369.75,ok,1425945600,90800
46,389.85,392.25,371.25,382.65,ok,1426032000,54600
47,384.45,393.0,368.4,389.85,ok,1426118400,52300
48,400.35,414.9,384.6,385.05,ok,1426204800,54800
49,396.9,419.85,390.75,408.6,ok,1426464000,64800
50,374.55,402.015,371.25,401.7,ok,1426550400,89100
51,348.9,375.45,346.8,372.0,ok,1426636800,72900
52,408.9,411.9,351.15,351.15,ok,1426723200,154900
53,394.2,423.75,382.5,421.8,ok,1426809600,93500
54,388.35,392.55,375.0,390.0,ok,1427068800,44900
55,367.95,391.35,363.9,388.05,ok,1427155200,45300
56,327.0,382.35,322.95,379.65,ok,1427241600,96800
57,307.5,326.4,295.8,323.7,ok,1427328000,163600
58,316.35,326.565,305.25,307.5,ok,1427414400,103100
59,325.05,333.3,315.0,330.15,ok,1427673600,97700
60,284.1,320.235,283.2,300.0,ok,1427760000,189000
61,254.55,291.75,252.3,283.8,ok,1427846400,167700
62,265.95,269.325,252.45,254.1,ok,1427932800,99900
63,266.85,285.0,262.8,271.5,ok,1428278400,124700
64,273.9,279.45,264.9,279.45,ok,1428364800,87200
65,262.8,279.75,258.15,271.8,ok,1428451200,87600
66,255.9,271.86,245.55,262.65,ok,1428537600,83000
67,258.15,263.7,252.465,257.1,ok,1428624000,53200
68,283.05,299.7,254.55,258.45,ok,1428883200,157300
69,273.0,288.0,268.5,283.05,ok,1428969600,88500
70,270.0,282.48,266.25,274.95,ok,1429056000,92300
71,257.25,270.6,255.15,270.6,ok,1429142400,76100
72,247.875,257.25,245.25,256.05,ok,1429228800,102500
73,235.05,258.0,234.15,255.6,ok,1429488000,113500
74,245.4,248.25,228.15,236.85,ok,1429574400,76500
75,203.85,248.82,201.9,244.35,ok,1429660800,178400
76,209.1,219.0,190.5,201.15,ok,1429747200,114900
77,205.2,215.43,196.65,210.45,ok,1429833600,86800
78,39.6,45.0,38.85,43.875,ok,1430092800,2156000
79,40.95,42.6,40.2,41.25,ok,1430179200,392900
80,38.55,41.25,37.5,41.25,ok,1430265600,213300
81,40.65,41.4,37.8,38.4,ok,1430352000,274200
82,39.3,41.1,39.0,40.05,ok,1430438400,96500
83,39.15,39.75,38.55,39.3,ok,1430697600,108000
84,37.65,39.15,36.915,39.15,ok,1430784000,131500
85,37.65,40.05,36.9,37.8,ok,1430870400,115600
86,35.4,37.935,34.725,37.2,ok,1430956800,134900
87,37.2,38.1,35.1,35.85,ok,1431043200,101200
88,36.75,37.5,35.85,37.5,ok,1431302400,56500
89,36.0,36.75,35.55,36.3,ok,1431388800,49700
90,36.0,36.75,35.7,36.0,ok,1431475200,49500
91,35.25,36.3,35.1,36.0,ok,1431561600,59000
92,32.7,34.65,32.7,34.35,ok,1431648000,134000
93,33.3,34.2,31.8,32.25,ok,1431907200,127300
94,30.6,33.15,30.15,33.0,ok,1431993600,116800
95,34.8,36.6,30.3,30.45,ok,1432080000,238200
96,32.325,34.5,31.215,33.75,ok,1432166400,100600
97,31.65,33.0,31.5,32.1,ok,1432252800,28100
98,31.2,31.8,30.45,31.5,ok,1432598400,48400
99,32.4,32.55,30.9,31.2,ok,1432684800,42500
100,33.6,33.9,31.8,32.4,ok,1432771200,64200
101,34.65,35.4,33.3,33.6,ok,1432857600,86100
102,34.65,39.75,34.5,38.4,ok,1433116800,194600
103,33.75,35.85,33.45,34.65,ok,1433203200,53600
