,c,h,l,o,s,t,v
0,7.76,8.09,7.0,7.0,ok,1491436800,3695000
1,7.4,7.658,7.36,7.6,ok,1491523200,360600
2,7.68,7.76,7.32,7.43,ok,1491782400,148100
3,7.73,7.91,7.63,7.76,ok,1491868800,228200
4,7.7,7.81,7.667,7.75,ok,1491955200,63000
5,7.59,7.75,7.4,7.75,ok,1492041600,71800
6,8.08,8.13,7.578,7.85,ok,1492387200,99200
7,8.05,8.5,8.04,8.2,ok,1492473600,133800
8,8.16,8.8,8.089,8.8,ok,1492560000,128400
9,8.29,8.433,8.174,8.2,ok,1492646400,119800
10,8.11,8.4,8.11,8.25,ok,1492732800,105500
11,8.24,8.5,8.147,8.3,ok,1492992000,100400
12,8.67,8.86,8.143,8.43,ok,1493078400,144500
13,8.45,8.771,8.45,8.71,ok,1493164800,64100
14,8.14,8.5,8.14,8.33,ok,1493251200,93700
15,8.25,8.39,8.11,8.13,ok,1493337600,105300
16,8.0,8.45,7.94,8.34,ok,1493596800,142600
17,7.64,8.01,7.59,8.0,ok,1493683200,168700
18,7.65,7.931,7.5,7.68,ok,1493769600,154200
19,7.83,8.0,7.649,7.74,ok,1493856000,103400
20,7.98,8.08,7.63,7.83,ok,1493942400,193200
21,7.93,8.187,7.8,8.05,ok,1494201600,171100
22,8.05,8.19,7.69,8.07,ok,1494288000,90300
23,7.99,8.24,7.98,8.05,ok,1494374400,50600
24,8.08,8.18,7.907,8.0,ok,1494460800,33800
25,7.99,8.08,7.98,8.07,ok,1494547200,181300
26,7.85,8.09,7.85,7.98,ok,1494806400,268100
27,7.88,8.015,7.85,7.89,ok,1494892800,141000
28,7.81,7.905,7.78,7.84,ok,1494979200,128700
29,7.54,7.783,7.51,7.78,ok,1495065600,159700
30,7.48,7.83,7.48,7.54,ok,1495152000,155000
31,7.64,7.795,7.48,7.5,ok,1495411200,107300
32,7.49,7.61,7.49,7.61,ok,1495497600,136800
33,7.59,7.866,7.5,7.71,ok,1495584000,136800
34,7.3,7.69,7.25,7.62,ok,1495670400,192400
35,7.19,7.47,7.19,7.34,ok,1495756800,171200
36,7.14,7.35,6.8,7.2,ok,1496102400,141600
37,7.0,7.2,6.91,7.12,ok,1496188800,134600
38,7.19,7.42,6.9,6.9,ok,1496275200,175600
39,7.1,7.29,7.07,7.24,ok,1496361600,142000
40,7.1,7.2,7.0,7.03,ok,1496620800,69000
41,7.31,7.4,7.06,7.07,ok,1496707200,79600
42,7.33,7.48,7.16,7.26,ok,1496793600,73800
43,7.44,7.65,7.32,7.35,ok,1496880000,90100
44,7.5,7.58,7.395,7.43,ok,1496966400,107500
45,7.75,7.85,7.44,7.47,ok,1497225600,476800
46,8.17,8.376,7.66,7.73,ok,1497312000,204900
47,8.46,8.51,8.1,8.1,ok,1497398400,169600
48,8.7,8.98,8.32,8.45,ok,1497484800,204300
49,8.38,8.95,8.38,8.73,ok,1497571200,354800
50,8.19,8.56,8.04,8.41,ok,1497830400,160900
51,8.09,8.36,7.95,8.19,ok,1497916800,242400
52,8.29,8.62,7.97,8.16,ok,1498003200,134700
53,7.84,8.34,7.63,8.27,ok,1498089600,175000
54,8.04,8.56,7.58,7.89,ok,1498176000,1648100
55,8.25,8.47,8.07,8.13,ok,1498435200,176400
56,8.18,8.64,8.15,8.29,ok,1498521600,180300
57,8.23,8.49,8.15,8.18,ok,1498608000,140600
58,8.05,8.42,7.96,8.27,ok,1498694400,119400
59,7.92,8.06,7.9,8.01,ok,1498780800,90400
60,7.9,8.05,7.73,7.97,ok,1499040000,99500
61,7.8,8.0,7.76,7.92,ok,1499212800,193900
62,7.88,8.15,7.65,7.8,ok,1499299200,294000
63,8.07,8.1,7.78,7.96,ok,1499385600,271200
64,8.06,8.1,7.74,8.05,ok,1499644800,214600
65,8.21,8.35,7.92,8.01,ok,1499731200,162800
66,8.44,8.64,8.24,8.3,ok,1499817600,153300
67,8.65,8.67,8.27,8.35,ok,1499904000,100700
68,9.38,9.475,8.55,8.56,ok,1499990400,218600
69,8.94,9.422,8.8,9.4,ok,1500249600,161300
70,8.63,8.94,8.55,8.94,ok,1500336000,115600
71,8.59,8.85,8.41,8.64,ok,1500422400,230600
72,8.21,8.62,8.1,8.58,ok,1500508800,206900
73,8.1,8.3,8.01,8.3,ok,1500595200,146500
74,8.33,8.39,8.03,8.09,ok,1500854400,55700
75,8.44,8.64,8.33,8.33,ok,1500940800,56400
76,8.31,8.46,8.24,8.46,ok,1501027200,102100
77,8.21,8.328,8.1,8.31,ok,1501113600,71200
78,8.31,8.69,8.185,8.27,ok,1501200000,113000
79,8.23,8.52,8.19,8.31,ok,1501459200,326700
80,8.07,9.21,7.5,9.05,ok,1501545600,684400
81,8.04,8.05,7.775,7.9,ok,1501632000,240700
82,8.01,8.11,7.875,8.02,ok,1501718400,168900
83,7.93,8.09,7.76,8.09,ok,1501804800,208700
84,7.55,7.96,7.5,7.9,ok,1502064000,233600
85,7.42,7.67,7.31,7.5,ok,1502150400,238400
86,7.22,7.46,7.2,7.38,ok,1502236800,216900
87,7.09,7.26,6.91,7.26,ok,1502323200,241100
88,7.02,7.19,6.9,6.99,ok,1502409600,258900
89,7.17,7.3,7.04,7.15,ok,1502668800,237400
