,c,h,l,o,s,t,v
0,17.5293,17.7293,17.5293,17.7293,ok,1420156800,300
1,17.3102,17.3402,17.3102,17.3302,ok,1420416000,4500
2,17.3493,17.5393,17.3493,17.3693,ok,1420502400,600
3,17.185,17.305,17.165,17.225,ok,1420588800,2700
4,17.2945,17.4845,17.2945,17.4645,ok,1420675200,1600
5,17.3337,17.3337,17.3337,17.3337,ok,1421020800,100
6,17.4354,17.5054,17.4354,17.5054,ok,1421280000,1100
7,17.3258,17.3258,17.2158,17.2158,ok,1421366400,1400
8,17.3258,17.3258,17.3258,17.3258,ok,1421712000,2200
9,17.5528,17.5528,17.5528,17.5528,ok,1421884800,200
10,17.4276,17.4276,17.3576,17.4276,ok,1421971200,2500
11,17.3024,17.3024,17.2524,17.2524,ok,1422316800,1100
12,17.4041,17.6041,17.4041,17.4241,ok,1422489600,1600
13,17.365,17.365,17.365,17.365,ok,1422576000,400
14,17.3493,17.3493,17.3493,17.3493,ok,1422835200,600
15,17.4119,17.6819,17.3419,17.3419,ok,1422921600,17700
16,17.4041,17.4041,17.4041,17.4041,ok,1423094400,30900
17,17.318,17.318,17.318,17.318,ok,1423180800,100
18,17.3806,17.3806,17.2906,17.3006,ok,1423440000,7600
19,17.2789,17.4389,17.2289,17.4389,ok,1423526400,700
20,17.318,17.318,17.238,17.238,ok,1423612800,400
21,17.3415,17.3615,17.1815,17.1915,ok,1423699200,2200
22,17.3728,17.3828,17.3728,17.3828,ok,1423785600,300
23,17.451,17.451,17.241,17.441,ok,1424131200,2200
24,17.2945,17.3145,17.2945,17.3145,ok,1424304000,3900
25,17.2163,17.2163,17.2163,17.2163,ok,1424390400,800
26,17.3415,17.3415,17.1615,17.1715,ok,1424649600,700
27,17.3415,17.5515,17.3415,17.5515,ok,1424822400,500
28,17.1571,17.1571,17.0071,17.0071,ok,1425600000,600
29,17.055,17.055,17.005,17.005,ok,1425859200,700
30,16.8666,16.8666,16.8666,16.8666,ok,1425945600,7300
31,16.9765,17.0165,16.9765,17.0165,ok,1426118400,1000
32,16.7645,16.8445,16.7445,16.8445,ok,1426464000,24400
33,16.8116,16.8116,16.8116,16.8116,ok,1426550400,100
34,16.9451,16.9451,16.7551,16.8051,ok,1426636800,400
35,17.0786,17.1286,17.0386,17.1086,ok,1426723200,65000
36,17.2042,17.2042,17.2042,17.2042,ok,1426809600,100
37,17.3534,17.3634,17.2534,17.2534,ok,1427068800,7600
38,17.4084,17.4084,17.4084,17.4084,ok,1427155200,500
39,17.4869,17.4869,17.4869,17.4869,ok,1427241600,100
40,17.3691,17.4191,17.1791,17.4191,ok,1427328000,4300
41,17.3377,17.3377,17.3377,17.3377,ok,1427414400,100
42,17.3456,17.3456,17.0656,17.1956,ok,1427760000,800
43,17.3337,17.3337,17.3337,17.3337,ok,1427846400,100
44,17.3101,17.3101,17.3101,17.3101,ok,1427932800,400
45,17.6331,17.6331,17.6331,17.6331,ok,1428278400,100
46,17.4125,17.4125,17.4125,17.4125,ok,1428364800,200
47,17.4992,17.4992,17.4992,17.4992,ok,1428883200,300
48,17.7119,17.7119,17.7119,17.7119,ok,1429056000,200
49,17.4992,17.7992,17.4992,17.7992,ok,1429142400,300
50,17.5465,17.5465,17.3765,17.5265,ok,1429488000,1900
51,17.5071,17.5071,17.4371,17.4371,ok,1429574400,800
52,17.6568,17.6568,17.3868,17.5568,ok,1429660800,1100
53,17.578,17.668,17.578,17.668,ok,1429747200,400
54,17.6016,17.7016,17.5616,17.7016,ok,1430265600,500
55,17.57,17.57,17.57,17.57,ok,1430697600,200
56,17.5384,17.5984,17.5384,17.5384,ok,1430784000,1100
57,17.9021,17.9021,17.9021,17.9021,ok,1430870400,200
58,17.7519,17.7519,17.4118,17.4118,ok,1431043200,1200
59,17.7914,17.7914,17.7914,17.7914,ok,1431648000,400
60,17.5463,17.6163,17.5463,17.6163,ok,1432252800,600
61,17.3644,17.3644,17.3644,17.3644,ok,1432598400,100
62,17.3328,17.3428,17.3228,17.3428,ok,1432684800,2800
63,17.5384,17.5384,17.5384,17.5384,ok,1432771200,300
64,17.4225,17.4225,17.4225,17.4225,ok,1433203200,600
65,17.0812,17.0812,17.0812,17.0812,ok,1433721600,300
66,17.0653,17.3753,17.0353,17.3753,ok,1433808000,1100
67,17.1367,17.1367,17.1367,17.1367,ok,1433894400,300
68,17.0812,17.2512,17.0812,17.1112,ok,1433980800,900
69,17.224,17.224,17.044,17.044,ok,1434326400,900
70,17.0812,17.2412,17.0812,17.2412,ok,1434499200,600
71,17.224,17.374,17.214,17.374,ok,1434585600,400
72,17.359,17.359,17.359,17.359,ok,1434931200,100
73,17.2082,17.2082,17.2082,17.2082,ok,1435017600,200
74,17.3749,17.3749,17.0749,17.2349,ok,1435276800,800
75,17.097,17.257,17.097,17.097,ok,1435622400,400
76,17.0524,17.0524,17.0524,17.0524,ok,1436140800,100
77,17.2915,17.2915,16.9615,17.0815,ok,1436227200,600
78,17.2038,17.2038,17.0738,17.0838,ok,1436486400,3900
79,17.3233,17.3233,17.3233,17.3233,ok,1436832000,300
