,c,h,l,o,s,t,v
0,56.2056,56.8756,56.2056,56.3856,ok,1420156800,1500
1,55.8907,56.6807,55.8807,56.6807,ok,1420416000,2600
2,55.2923,56.1923,55.2923,56.0523,ok,1420502400,4600
3,55.7253,56.1953,55.7253,55.9553,ok,1420588800,4100
4,56.1583,56.4283,55.7283,56.1283,ok,1420675200,10300
5,56.0717,56.5217,55.6317,55.7817,ok,1420761600,9700
6,55.8749,56.1249,55.8649,56.0049,ok,1421020800,3600
7,55.6544,56.0644,55.6544,56.0644,ok,1421107200,15200
8,55.497,55.907,55.007,55.867,ok,1421193600,12800
9,55.497,55.617,55.107,55.587,ok,1421280000,35100
10,55.434,55.744,55.174,55.584,ok,1421366400,4700
11,55.4734,55.9934,55.1033,55.5134,ok,1421712000,6100
12,55.3631,56.1031,55.2431,55.8032,ok,1421798400,12200
13,56.0559,56.296,55.466,55.5359,ok,1421884800,22400
14,56.2922,56.2922,55.2422,55.9522,ok,1421971200,7200
15,55.9365,56.5365,55.2065,56.0765,ok,1422230400,18200
16,56.0392,56.0392,55.0492,55.9992,ok,1422316800,2200
17,55.7231,56.1731,55.3331,56.1231,ok,1422403200,8200
18,55.4385,56.2285,55.4285,55.6485,ok,1422489600,5000
19,55.7152,56.0352,55.3952,55.7752,ok,1422576000,4000
20,55.9839,55.9839,55.2739,55.7239,ok,1422835200,1300
21,56.0708,56.5608,55.6108,56.0108,ok,1422921600,3300
22,56.0392,56.5692,55.1492,55.8392,ok,1423008000,17900
23,55.6519,56.7719,55.6519,56.4119,ok,1423094400,2100
24,56.3554,56.3854,56.0454,56.2554,ok,1423180800,11300
25,56.1736,56.6636,55.1336,56.1636,ok,1423440000,18400
26,55.9918,56.1418,55.6718,55.9618,ok,1423526400,5500
27,56.2763,56.2763,55.4963,55.9463,ok,1423612800,2700
28,56.2526,56.6826,56.0526,56.2326,ok,1423699200,4000
29,56.3791,56.5491,55.9691,56.3191,ok,1423785600,7800
30,56.3475,56.7175,56.0475,56.3275,ok,1424131200,5100
31,56.7506,56.7806,56.2306,56.7006,ok,1424217600,5900
32,56.4423,56.6323,56.3123,56.4623,ok,1424304000,4700
33,56.6241,56.6341,55.9941,56.4541,ok,1424390400,3400
34,56.7352,56.8652,56.0852,56.7952,ok,1424649600,2300
35,56.5368,56.8368,55.7868,56.7768,ok,1424736000,3000
36,56.5527,57.0827,55.9327,56.2927,ok,1424822400,5200
37,56.8146,57.0046,56.7546,56.8946,ok,1424908800,6900
38,56.9494,57.0894,56.6794,57.0794,ok,1424995200,3800
39,57.005,57.145,56.945,56.945,ok,1425254400,4200
40,57.4176,57.4176,56.8976,56.8976,ok,1425340800,2100
41,57.4811,57.7711,57.2011,57.2011,ok,1425427200,1400
42,57.5525,57.5525,57.1525,57.5525,ok,1425513600,1200
43,57.5525,57.5525,57.2225,57.2225,ok,1425600000,600
44,56.9494,57.7094,56.9494,57.7094,ok,1425859200,3600
45,57.3462,57.3462,56.4862,56.9962,ok,1425945600,5900
46,56.7035,57.3035,56.3835,57.2535,ok,1426032000,3200
47,56.4972,57.2672,56.4972,57.2672,ok,1426118400,1700
48,56.3384,56.4784,56.0685,56.4585,ok,1426204800,2300
49,55.9258,56.4058,55.7558,56.3058,ok,1426464000,9000
50,55.6799,56.1899,55.4599,56.0399,ok,1426550400,3900
51,55.9258,55.9258,55.2558,55.9258,ok,1426636800,7000
52,55.9972,56.2972,55.9572,56.2972,ok,1426723200,1300
53,56.1401,56.6801,56.0901,56.6801,ok,1426809600,8200
54,56.6898,56.8197,56.3397,56.3397,ok,1427068800,1600
55,56.7216,56.8116,56.6816,56.8116,ok,1427155200,1900
56,57.112,57.142,56.882,56.882,ok,1427241600,2400
57,57.0722,57.0722,56.5222,56.6422,ok,1427328000,4200
58,57.0403,57.3803,56.6303,56.6903,ok,1427414400,2000
59,56.9288,56.9288,56.5388,56.5588,ok,1427673600,5400
60,56.9208,57.0308,56.7208,57.0308,ok,1427760000,6000
61,57.112,57.232,56.932,56.932,ok,1427846400,5000
62,57.3191,57.7791,57.0891,57.0891,ok,1427932800,6000
63,57.2076,57.4376,57.2076,57.2576,ok,1428278400,1000
64,57.3112,57.6312,57.1511,57.1811,ok,1428364800,2700
65,57.5502,57.7302,57.1102,57.3902,ok,1428451200,6000
66,57.7254,58.2554,57.6354,57.6854,ok,1428537600,3600
67,57.9087,58.0787,57.5487,57.7387,ok,1428624000,2200
68,57.9246,58.1246,57.8146,58.0646,ok,1428883200,24400
69,58.3946,58.5046,58.0946,58.0946,ok,1428969600,3300
70,58.3946,58.5746,58.1246,58.4546,ok,1429056000,5700
71,58.4823,58.4823,58.1123,58.1622,ok,1429142400,1600
72,57.9166,58.5666,57.9166,58.2166,ok,1429228800,2400
73,58.3165,58.3365,57.8765,58.2665,ok,1429488000,2200
74,58.2285,58.5485,58.2285,58.5485,ok,1429574400,1800
75,58.4685,58.7485,58.2185,58.2185,ok,1429660800,5200
76,58.5805,58.7105,58.1405,58.1405,ok,1429747200,2600
77,58.7805,58.8405,58.4605,58.6305,ok,1429833600,6300
78,58.6365,59.0865,58.4265,58.5265,ok,1430092800,16900
79,58.5805,58.6305,58.3905,58.3905,ok,1430179200,5200
80,58.7725,58.7725,58.2925,58.2925,ok,1430265600,1000
81,58.3885,58.5985,58.3885,58.5985,ok,1430352000,1800
82,58.5325,58.7125,58.5325,58.5525,ok,1430438400,3200
83,58.3885,59.2885,58.1885,58.6785,ok,1430697600,2000
84,58.4125,58.4125,58.1325,58.3925,ok,1430784000,3400
85,58.7085,58.9185,58.3385,58.3385,ok,1430870400,1900
86,58.8444,58.8444,58.3144,58.5244,ok,1430956800,6000
87,58.7005,58.9705,58.6204,58.9705,ok,1431043200,1900
88,58.6525,59.2725,58.4525,58.9625,ok,1431302400,5400
89,58.5965,58.8565,58.3065,58.3065,ok,1431388800,2100
90,58.8124,59.2324,58.5224,58.6024,ok,1431475200,5800
91,58.8684,59.1584,58.5184,58.5184,ok,1431561600,2500
92,58.9164,59.2064,58.7064,58.7064,ok,1431648000,1600
93,59.1244,59.1844,58.8944,59.1144,ok,1431907200,1700
94,58.8684,59.1484,58.8684,58.9484,ok,1431993600,3000
95,58.9724,59.4924,58.8924,58.8924,ok,1432080000,1000
96,59.2604,59.6304,58.7804,58.7804,ok,1432166400,2100
97,59.18,59.5301,58.75,59.18,ok,1432252800,3200
98,59.18,59.4601,58.8801,59.4,ok,1432598400,8500
99,59.7341,59.7341,58.6741,58.7941,ok,1432684800,2100
100,58.8187,59.5587,58.8187,59.3787,ok,1432771200,2900
101,58.7464,59.2564,58.7464,59.2564,ok,1432857600,1800
102,58.5377,59.1977,58.5277,59.1977,ok,1433116800,14000
103,59.0516,59.0516,58.4616,58.4616,ok,1433203200,2200
104,58.6822,59.0722,58.2622,58.9222,ok,1433289600,14600
105,58.642,58.852,58.022,58.222,ok,1433376000,2900
106,58.4012,58.4012,57.9712,57.9712,ok,1433462400,1300
107,58.2566,58.6566,58.0466,58.2166,ok,1433721600,6800
108,58.353,58.353,57.883,58.083,ok,1433808000,2500
109,58.3851,58.3851,57.6851,58.3651,ok,1433894400,1500
110,58.0639,58.4539,57.8339,58.4439,ok,1433980800,2800
