,c,h,l,o,s,t,v
0,19.9026,20.1026,19.8726,19.9626,ok,1420156800,16900
1,19.5566,19.8466,19.4866,19.8266,ok,1420416000,16400
2,19.522,19.652,19.412,19.562,ok,1420502400,15000
3,19.7642,19.8642,19.7142,19.7342,ok,1420588800,22000
4,20.0583,20.1183,19.9683,19.9783,ok,1420675200,13700
5,19.9977,20.1377,19.9377,20.1377,ok,1420761600,10400
6,19.8074,19.8874,19.7274,19.8874,ok,1421020800,9400
7,19.7815,20.0415,19.7615,19.9615,ok,1421107200,22300
8,19.669,19.679,19.449,19.669,ok,1421193600,21700
9,19.4788,19.7588,19.4788,19.7188,ok,1421280000,9700
10,19.7036,19.7136,19.3836,19.4336,ok,1421366400,49100
11,19.7209,19.7409,19.5509,19.7309,ok,1421712000,43700
12,19.8853,19.9853,19.7553,19.7553,ok,1421798400,76400
13,20.3005,20.3005,19.9505,19.9705,ok,1421884800,33100
14,19.9804,20.1604,19.9804,20.0604,ok,1421971200,17000
15,20.1102,20.1502,19.9402,20.0002,ok,1422230400,22100
16,19.9199,20.0299,19.7799,19.7799,ok,1422316800,13800
17,19.8334,20.1034,19.6134,20.0634,ok,1422403200,18700
18,19.669,19.719,19.509,19.699,ok,1422489600,7900
19,19.4615,19.6515,19.3815,19.5215,ok,1422576000,16700
20,19.8247,19.8247,19.5047,19.5347,ok,1422835200,10900
21,20.1275,20.2475,19.9475,19.9475,ok,1422921600,9000
22,20.0929,20.2029,19.8929,20.0429,ok,1423008000,21100
23,20.2226,20.3426,20.1126,20.1226,ok,1423094400,12900
24,19.9977,20.2577,19.9277,20.1377,ok,1423180800,17000
25,20.1534,20.1634,19.9934,20.0334,ok,1423440000,22200
26,19.8247,19.9447,19.8147,19.9447,ok,1423526400,7500
27,19.7123,19.8423,19.5123,19.7023,ok,1423612800,19100
28,20.1015,20.1115,19.8515,19.8715,ok,1423699200,3900
29,20.3178,20.3378,19.9978,19.9978,ok,1423785600,22500
30,20.2486,20.2686,20.0686,20.2286,ok,1424131200,12300
31,20.2053,20.2353,20.0153,20.0153,ok,1424217600,16500
32,20.1967,20.2967,20.0567,20.0567,ok,1424304000,16200
33,20.2053,20.3253,20.0053,20.0053,ok,1424390400,8700
34,20.188,20.208,20.078,20.208,ok,1424649600,15100
35,20.3091,20.3891,19.9591,19.9591,ok,1424736000,38500
36,20.3783,20.4083,20.2783,20.3883,ok,1424822400,17600
37,20.214,20.434,20.174,20.434,ok,1424908800,6300
38,20.1707,20.2407,20.1207,20.2407,ok,1424995200,7500
39,20.1967,20.1967,20.0067,20.0067,ok,1425254400,25800
