,c,h,l,o,s,t,v
0,0.76,0.76,0.71,0.75,ok,1420156800,31600
1,0.75,0.77,0.72,0.77,ok,1420416000,26400
2,0.75,0.76,0.72,0.75,ok,1420502400,20000
3,0.74,0.76,0.72,0.74,ok,1420588800,11800
4,0.74,0.74,0.73,0.74,ok,1420675200,18700
5,0.77,0.77,0.74,0.74,ok,1420761600,46200
6,0.76,0.76,0.73,0.75,ok,1421020800,32300
7,0.75,0.78,0.73,0.77,ok,1421107200,67100
8,0.73,0.74,0.72,0.72,ok,1421193600,3300
9,0.76,0.78,0.74,0.74,ok,1421280000,38800
10,0.76,0.79,0.74,0.74,ok,1421366400,85600
11,0.77,0.77,0.72,0.76,ok,1421712000,57800
12,0.77,0.77,0.74,0.77,ok,1421798400,36800
13,0.78,0.78,0.75,0.75,ok,1421884800,78100
14,0.78,0.81,0.75,0.79,ok,1421971200,124800
15,0.75,0.78,0.75,0.78,ok,1422230400,63900
16,0.74,0.76,0.74,0.76,ok,1422316800,24700
17,0.75,0.75,0.74,0.74,ok,1422403200,47300
18,0.74,0.75,0.73,0.74,ok,1422489600,48200
19,0.75,0.75,0.73,0.73,ok,1422576000,22200
20,0.76,0.77,0.75,0.77,ok,1422835200,19700
21,0.74,0.77,0.74,0.75,ok,1422921600,27700
22,0.73,0.76,0.73,0.74,ok,1423008000,19700
23,0.75,0.77,0.74,0.75,ok,1423094400,12800
24,0.75,0.79,0.74,0.74,ok,1423180800,60300
25,0.76,0.77,0.75,0.77,ok,1423440000,13200
26,0.75,0.76,0.74,0.76,ok,1423526400,55200
27,0.75,0.77,0.74,0.75,ok,1423612800,106000
28,0.74,0.77,0.73,0.73,ok,1423699200,50400
29,0.76,0.76,0.73,0.73,ok,1423785600,7200
30,0.74,0.77,0.73,0.77,ok,1424131200,64000
31,0.74,0.75,0.73,0.73,ok,1424217600,26900
32,0.73,0.73,0.7,0.73,ok,1424304000,93700
33,0.73,0.73,0.71,0.72,ok,1424390400,8900
34,0.73,0.73,0.72,0.72,ok,1424649600,5100
35,0.72,0.72,0.71,0.71,ok,1424736000,46700
36,0.7,0.74,0.7,0.73,ok,1424822400,21000
37,0.73,0.74,0.71,0.71,ok,1424908800,84900
38,0.71,0.74,0.71,0.73,ok,1424995200,33500
39,0.73,0.74,0.7,0.7,ok,1425254400,20300
40,0.74,0.75,0.74,0.74,ok,1425340800,24100
41,0.74,0.75,0.74,0.74,ok,1425427200,45400
42,0.75,0.78,0.73,0.75,ok,1425513600,84400
43,0.73,0.74,0.7,0.74,ok,1425600000,47000
44,0.72,0.74,0.7,0.73,ok,1425859200,76100
45,0.69,0.73,0.69,0.73,ok,1425945600,27800
46,0.7,0.72,0.67,0.71,ok,1426032000,86700
47,0.7,0.72,0.69,0.71,ok,1426118400,27100
48,0.71,0.71,0.7,0.71,ok,1426204800,13400
49,0.71,0.74,0.7,0.72,ok,1426464000,72700
50,0.71,0.73,0.7,0.72,ok,1426550400,8100
51,0.72,0.72,0.71,0.71,ok,1426636800,15100
52,0.71,0.73,0.7,0.71,ok,1426723200,161300
53,0.72,0.74,0.7,0.7,ok,1426809600,25500
54,0.71,0.73,0.7,0.71,ok,1427068800,14900
55,0.71,0.75,0.71,0.71,ok,1427155200,107000
56,0.71,0.71,0.7,0.71,ok,1427241600,5100
57,0.71,0.71,0.7,0.7,ok,1427328000,42600
58,0.69,0.71,0.68,0.7,ok,1427414400,18900
59,0.74,0.74,0.7,0.7,ok,1427673600,24200
60,0.73,0.73,0.69,0.73,ok,1427760000,20800
61,0.72,0.75,0.69,0.69,ok,1427846400,11400
62,0.71,0.72,0.7,0.72,ok,1427932800,29800
