,c,h,l,o,s,t,v
0,94.4105,95.3371,93.7211,95.0183,ok,1420156800,449400
1,93.7865,94.2387,92.7784,93.7346,ok,1420416000,699900
2,93.1406,94.386,92.77,94.2377,ok,1420502400,1093200
3,94.3297,94.5595,93.1511,93.8849,ok,1420588800,373100
4,96.4437,96.7847,94.798,94.798,ok,1420675200,631400
5,97.1117,98.6461,96.6817,96.9708,ok,1420761600,1249100
6,96.7153,97.2638,96.1445,97.2564,ok,1421020800,508000
7,96.2675,98.4395,95.6893,97.2683,ok,1421107200,821000
8,95.8492,96.3681,95.2116,95.4044,ok,1421193600,621000
9,95.2399,96.3074,94.6098,96.3074,ok,1421280000,908000
10,96.2235,96.3421,94.9781,95.1783,ok,1421366400,474400
11,95.1445,97.0867,94.759,96.338,ok,1421712000,474900
12,94.9683,95.4576,94.1751,95.1462,ok,1421798400,575400
13,96.752,96.8113,94.9284,95.6252,ok,1421884800,539300
14,95.673,96.8813,95.2579,96.4588,ok,1421971200,645300
15,96.3923,96.5258,95.3323,95.5324,ok,1422230400,976400
16,94.9903,95.613,93.5522,95.4277,ok,1422316800,2263300
17,93.8159,95.9137,93.4749,94.105,ok,1422403200,1838900
18,93.5883,94.2926,92.7284,93.9961,ok,1422489600,1235800
19,93.9627,94.6743,93.0509,93.214,ok,1422576000,924100
20,94.8876,95.0062,93.1085,93.9758,ok,1422835200,909300
21,96.5465,96.5761,94.5524,95.0417,ok,1422921600,658100
22,97.5081,97.9232,96.4406,96.4777,ok,1423008000,734800
23,98.7192,98.9342,97.4664,97.6147,ok,1423094400,514700
24,97.9485,98.8232,97.3925,98.8232,ok,1423180800,599900
25,97.1264,97.7639,96.6742,97.2227,ok,1423440000,433800
26,97.809,97.8164,96.5785,97.2456,ok,1423526400,1004700
27,98.176,98.606,97.7016,97.9685,ok,1423612800,646500
28,99.1449,99.1894,98.2554,98.8558,ok,1423699200,399000
29,101.6553,101.7146,98.8977,99.0904,ok,1423785600,754600
30,100.6092,101.3208,100.3868,101.2615,ok,1424131200,858300
31,100.6092,100.7056,99.5343,100.2904,ok,1424217600,584900
32,99.0769,100.604,98.9509,100.389,ok,1424304000,456200
33,98.9369,99.1964,97.7212,98.7145,ok,1424390400,684300
34,99.5263,99.5782,98.3624,99.1037,ok,1424649600,762800
35,99.7841,99.9843,99.2281,99.3245,ok,1424736000,471400
36,99.7694,99.9621,99.1986,99.5989,ok,1424822400,435800
37,99.4673,99.9788,98.7631,99.8602,ok,1424908800,510700
38,98.5907,99.7397,98.524,99.2208,ok,1424995200,594300
39,100.8597,100.8893,98.4431,98.5765,ok,1425254400,455400
40,102.1931,102.3413,100.1101,100.8513,ok,1425340800,597300
41,101.8763,102.2025,100.9942,101.7355,ok,1425427200,780600
42,101.8542,102.0692,101.2834,101.9506,ok,1425513600,690600
43,100.3072,101.5451,99.9736,101.5451,ok,1425600000,740700
44,101.3533,101.7461,100.3229,100.3229,ok,1425859200,467500
45,98.2813,101.0685,98.1553,101.0018,ok,1425945600,623900
46,97.7435,98.2624,96.4018,98.2624,ok,1426032000,750400
47,97.9129,98.7951,97.3051,97.4607,ok,1426118400,507700
48,97.4193,98.7907,96.5002,98.0198,ok,1426204800,444600
49,100.0125,100.1014,97.203,97.67,ok,1426464000,731600
50,100.5724,101.1135,99.4604,99.8385,ok,1426550400,1256400
51,101.1175,101.6957,100.013,100.6431,ok,1426636800,692900
52,102.112,102.2751,101.0891,101.0891,ok,1426723200,864400
53,103.0034,103.2481,101.5802,102.3066,ok,1426809600,1284100
54,103.2981,104.2544,102.7347,102.8385,ok,1427068800,578500
55,102.3773,103.2964,101.7546,102.2216,ok,1427155200,664200
56,100.786,102.8764,100.5859,102.7208,ok,1427241600,529800
57,100.1451,100.6269,99.3964,100.5602,ok,1427328000,550100
58,100.3956,100.9293,99.8396,100.8552,ok,1427414400,523400
59,100.8965,101.7342,100.3405,100.7705,ok,1427673600,400900
