,c,h,l,o,s,t,v
0,77.2344,78.8644,76.6144,78.4344,ok,1420156800,28200
1,74.4507,77.5707,74.1907,76.7307,ok,1420416000,83700
2,72.7131,75.0631,72.4931,74.3831,ok,1420502400,246600
3,74.6149,74.7249,72.5449,73.2049,ok,1420588800,59500
4,76.2834,76.3934,74.4134,74.9834,ok,1420675200,57100
5,75.3152,77.5652,75.3052,76.9352,ok,1420761600,40500
6,75.8598,76.0698,74.9098,75.5798,ok,1421020800,41900
7,76.2575,77.3375,75.5275,76.4775,ok,1421107200,53000
8,75.8944,76.8144,74.9744,75.5544,ok,1421193600,46400
9,75.8079,77.0679,75.3879,76.6079,ok,1421280000,37200
10,76.4304,76.8304,75.3904,76.0404,ok,1421366400,39200
11,75.9722,77.2522,75.5922,76.6722,ok,1421712000,40000
12,75.9549,76.6049,75.3449,76.1249,ok,1421798400,27800
13,77.8049,77.8049,75.4949,76.2049,ok,1421884800,45600
14,77.3208,78.1708,77.3208,78.1208,ok,1421971200,12900
15,77.6321,78.0521,76.8321,77.4721,ok,1422230400,31100
16,77.0528,77.9928,75.9328,76.8528,ok,1422316800,33600
17,76.6292,77.9792,76.5992,77.9092,ok,1422403200,36600
18,76.8626,77.6826,76.0526,76.9926,ok,1422489600,21500
19,74.9175,77.2675,74.7675,76.9775,ok,1422576000,40700
20,77.6407,77.8307,74.2407,74.9907,ok,1422835200,47800
21,77.7531,78.3331,76.8131,77.9031,ok,1422921600,43000
22,77.5629,78.5229,77.2429,77.4529,ok,1423008000,44500
23,78.3755,78.4755,77.4955,77.8355,ok,1423094400,38800
24,78.2285,79.5185,77.6786,78.5686,ok,1423180800,52800
25,77.0615,78.6415,76.6215,78.6415,ok,1423440000,44800
26,77.4678,77.8078,75.7478,77.5778,ok,1423526400,35400
27,78.3496,78.6296,76.0896,77.7796,ok,1423612800,29800
28,78.7127,78.7227,77.9527,78.4327,ok,1423699200,29000
29,78.5571,78.9971,78.1071,78.3971,ok,1423785600,25800
30,79.1536,80.3236,78.4936,78.6936,ok,1424131200,41300
