,c,h,l,o,s,t,v
0,22.4889,22.5739,22.2939,22.3139,ok,1583107200,14600
1,22.608,22.653,22.573,22.583,ok,1583193600,3000
2,22.7122,22.7322,22.7122,22.7222,ok,1583280000,5500
3,22.5882,22.5882,22.5882,22.5882,ok,1583366400,100
4,22.0276,22.4876,22.0276,22.4576,ok,1583452800,10200
5,21.071,21.715,21.071,21.715,ok,1583712000,3000
6,21.1524,21.1524,20.8644,20.8644,ok,1583798400,1000
7,20.563,20.563,20.563,20.563,ok,1583884800,100
8,20.3427,21.8907,20.2327,21.8907,ok,1583971200,7700
9,20.2147,20.2227,20.2147,20.2227,ok,1584057600,500
10,19.7107,19.7957,19.7107,19.7957,ok,1584316800,300
11,19.6809,19.6809,19.5359,19.5359,ok,1584403200,500
12,18.7651,18.7651,18.5931,18.6231,ok,1584489600,2100
13,18.1281,18.1281,18.1281,18.1281,ok,1584576000,100
14,18.3355,18.3355,18.1565,18.1565,ok,1584662400,300
15,17.5675,17.9425,17.2125,17.9225,ok,1584921600,8900
16,17.9534,17.9795,17.7694,17.7694,ok,1585008000,3300
17,18.5845,18.8345,18.3945,18.4045,ok,1585094400,8200
18,19.1253,19.1253,19.1193,19.1193,ok,1585180800,300
19,19.0806,19.2706,18.4406,19.2706,ok,1585267200,6700
20,19.155,19.28,18.87,19.26,ok,1585526400,10100
21,19.0211,19.0211,19.0211,19.0211,ok,1585612800,100
22,18.8613,18.8613,18.8613,18.8613,ok,1585699200,100
23,18.6937,18.6937,18.5037,18.5037,ok,1585785600,4700
24,18.0239,18.0239,18.0159,18.0159,ok,1585872000,1400
25,18.519,18.519,18.385,18.385,ok,1586131200,1000
26,18.8316,19.3526,18.7826,18.7826,ok,1586217600,8200
27,19.2195,19.2195,19.2195,19.2195,ok,1586304000,100
28,19.5668,19.7468,19.5668,19.6568,ok,1586390400,10100
29,18.9516,18.9516,18.9516,18.9516,ok,1586736000,400
30,19.5162,19.5162,19.2372,19.2372,ok,1586822400,2400
31,20.0332,20.0332,20.0332,20.0332,ok,1586908800,100
32,20.0679,22.0429,20.0679,22.0429,ok,1586995200,200
33,19.3733,21.3683,19.0483,20.9183,ok,1587081600,15000
34,19.0707,19.0707,19.0707,19.0707,ok,1587340800,300
35,19.4329,19.4329,19.4329,19.4329,ok,1587427200,100
36,19.3287,19.3287,19.3287,19.3287,ok,1587513600,100
37,18.6341,18.6341,18.6341,18.6341,ok,1587600000,200
38,18.4952,18.6752,18.4252,18.6252,ok,1587686400,6400
39,18.8921,18.8921,18.8921,18.8921,ok,1587945600,100
40,18.9268,18.9268,18.9268,18.9268,ok,1588032000,100
41,19.0955,19.0955,19.0955,19.0955,ok,1588118400,100
42,19.7157,19.7157,19.7157,19.7157,ok,1588204800,100
43,20.2815,20.2815,19.2855,19.2855,ok,1588550400,800
44,20.3352,20.3352,20.3352,20.3352,ok,1588636800,100
45,19.9692,20.0072,19.2972,19.2972,ok,1588723200,1700
46,19.4402,19.4402,19.4402,19.4402,ok,1588809600,300
47,19.9692,19.9692,19.6072,19.6072,ok,1588896000,200
48,19.6341,19.6341,19.6341,19.6341,ok,1589155200,100
49,19.8976,19.8976,19.6376,19.6376,ok,1589241600,447500
50,19.7375,19.7375,19.7185,19.7185,ok,1589328000,200
51,19.829,19.829,19.829,19.829,ok,1589414400,100
52,19.8608,19.8608,19.8608,19.8608,ok,1589500800,100
53,20.007,20.007,20.007,20.007,ok,1589760000,200
54,20.0498,20.0498,20.0498,20.0498,ok,1589846400,100
55,20.2516,20.2516,20.2516,20.2516,ok,1589932800,100
56,20.3352,20.3352,20.3352,20.3352,ok,1590019200,200
57,20.3252,20.3252,20.3252,20.3252,ok,1590105600,200
58,20.4247,20.4366,20.4247,20.4366,ok,1590451200,200
59,20.535,20.535,20.535,20.535,ok,1590537600,100
60,20.5738,20.5738,20.5738,20.5738,ok,1590624000,200
61,20.6732,20.6732,20.5832,20.5832,ok,1590710400,300
