,c,h,l,o,s,t,v
0,30.6211,30.6711,30.5011,30.5911,ok,1539734400,7200
1,29.7733,30.3733,29.6233,30.3733,ok,1539820800,19600
2,29.4242,29.9242,29.4242,29.9242,ok,1539907200,8900
3,29.5439,29.6639,29.4439,29.6539,ok,1540166400,9900
4,29.125,29.165,28.535,28.775,ok,1540252800,6600
5,27.6687,28.7587,27.6687,28.7587,ok,1540339200,14700
6,28.0478,28.1878,27.5778,27.5778,ok,1540425600,2200
7,27.2299,27.5599,27.0099,27.1599,ok,1540512000,4100
8,26.1925,27.6225,26.1925,27.5325,ok,1540771200,54000
9,26.7112,26.9012,26.6412,26.6412,ok,1540857600,4800
10,27.8283,27.9083,27.6083,27.6683,ok,1540944000,8600
11,28.6961,28.6961,28.1861,28.1861,ok,1541030400,6500
12,28.9255,29.3255,28.7855,29.2955,ok,1541116800,3500
13,28.6263,28.8863,28.4863,28.8863,ok,1541376000,4400
14,28.6861,28.8361,28.5861,28.5861,ok,1541462400,7700
15,29.504,29.554,29.124,29.174,ok,1541548800,6700
16,29.0751,29.5651,29.0751,29.4151,ok,1541635200,2500
17,27.7884,28.1184,27.7884,28.1184,ok,1541721600,6000
18,27.16,27.76,27.16,27.76,ok,1541980800,3000
19,27.4194,27.7294,27.3694,27.5294,ok,1542067200,7300
20,27.5291,27.7791,27.4891,27.7391,ok,1542153600,2900
21,28.0378,28.0578,27.7678,27.7678,ok,1542240000,2300
22,27.4094,27.4094,27.1394,27.1394,ok,1542326400,12500
23,26.6813,27.3313,26.6813,27.3313,ok,1542585600,3000
24,26.1726,26.3626,25.8226,25.8226,ok,1542672000,3100
25,26.781,26.781,26.701,26.701,ok,1542758400,600
26,26.6015,26.6715,26.6015,26.6715,ok,1542931200,400
27,27.1401,27.2501,27.1401,27.2301,ok,1543190400,400
28,27.2897,27.2897,27.0697,27.1397,ok,1543276800,1300
29,28.0976,28.0976,27.8676,27.8676,ok,1543363200,2300
30,28.2971,28.4371,28.2471,28.2471,ok,1543449600,3000
31,28.1375,28.1575,28.1275,28.1275,ok,1543536000,600
32,28.4866,28.8366,28.4866,28.8366,ok,1543795200,900
33,27.569,28.389,27.569,28.269,ok,1543881600,8200
34,27.4194,27.4194,26.6194,26.7694,ok,1544054400,8400
35,27.0802,27.7302,27.0802,27.7302,ok,1544140800,1700
36,27.17,27.17,26.98,26.98,ok,1544400000,700
37,27.2498,27.5798,27.1798,27.5798,ok,1544486400,9000
38,27.569,27.769,27.509,27.509,ok,1544572800,5500
39,27.6089,27.7389,27.5889,27.7389,ok,1544659200,2300
40,27.0204,27.2004,27.0204,27.2004,ok,1544745600,1000
41,26.5516,26.9316,26.5516,26.8116,ok,1545004800,1500
42,26.5716,26.7416,26.5116,26.5416,ok,1545091200,3900
43,26.3322,27.0322,26.3322,26.9722,ok,1545177600,1600
44,26.1226,26.2226,26.0326,26.2226,ok,1545264000,17100
45,26.1027,26.7927,26.1027,26.6927,ok,1545350400,10200
46,25.7534,26.0734,25.7534,25.8134,ok,1545609600,1000
47,26.5417,26.5717,25.7917,26.0417,ok,1545782400,2000
48,26.7413,26.7413,26.3213,26.4713,ok,1545868800,500
49,26.7712,27.0012,26.7412,26.7812,ok,1545955200,1300
50,26.7712,27.0612,26.7712,27.0612,ok,1546214400,2700
51,26.9109,27.0009,26.5509,26.5509,ok,1546387200,1500
52,26.1526,26.4226,26.1426,26.3426,ok,1546473600,47200
53,27.3001,27.42,26.7201,26.7201,ok,1546560000,800
54,28.0285,28.0285,27.7685,27.7685,ok,1546819200,800
55,28.2779,28.3179,28.0779,28.3179,ok,1546905600,4000
56,28.8067,28.8367,28.6667,28.6667,ok,1546992000,3200
57,28.9265,28.9265,28.5565,28.5565,ok,1547078400,1100
58,28.5174,28.5374,28.4174,28.4774,ok,1547164800,6200
59,28.4076,28.4176,28.2476,28.2476,ok,1547424000,2500
60,28.5872,28.6372,28.5872,28.6272,ok,1547510400,1300
61,28.687,28.797,28.687,28.687,ok,1547596800,2700
62,28.9365,29.1365,28.6865,28.6865,ok,1547683200,1800
63,29.5052,29.5652,29.3052,29.3052,ok,1547769600,28600
64,28.7469,29.1569,28.7469,29.1569,ok,1548115200,8300
65,28.8267,29.2967,28.8267,29.2867,ok,1548201600,4800
66,29.2757,29.3157,29.1257,29.2257,ok,1548288000,6200
67,29.7048,29.7348,29.5948,29.6148,ok,1548374400,4900
68,28.9464,28.9564,28.7264,28.9264,ok,1548633600,5300
69,28.7968,29.1168,28.7968,29.1168,ok,1548720000,3600
70,29.5052,29.5952,29.0552,29.0652,ok,1548806400,2200
71,29.7347,29.7947,29.3347,29.3347,ok,1548892800,16900
72,29.4154,29.5554,29.3754,29.4554,ok,1548979200,4700
73,29.7447,29.8047,29.6447,29.6647,ok,1549238400,2400
74,29.9442,29.9442,29.7142,29.7142,ok,1549324800,4100
75,28.8067,29.2367,28.7967,29.1667,ok,1549411200,25300
76,28.4276,28.6776,28.2376,28.4376,ok,1549497600,39900
77,28.697,28.757,28.317,28.317,ok,1549584000,5300
78,28.5872,28.8772,28.5872,28.8772,ok,1549843200,5400
79,28.9265,29.0165,28.7465,28.7465,ok,1549929600,36600
80,29.0362,29.1662,29.0362,29.1662,ok,1550016000,7300
81,29.2657,29.2757,28.8057,28.9257,ok,1550102400,29800
82,29.2657,29.3157,29.2657,29.3157,ok,1550188800,6600
83,29.0362,29.1262,28.9362,28.9762,ok,1550534400,23400
84,28.8267,29.2367,28.8267,29.0467,ok,1550620800,10300
85,28.6371,28.7471,28.6371,28.7371,ok,1550707200,4500
86,28.7668,28.8568,28.7168,28.7168,ok,1550793600,8900
87,28.9464,29.2564,28.9464,29.0864,ok,1551052800,6100
88,28.9863,29.0363,28.8663,28.8763,ok,1551139200,2300
89,29.156,29.206,29.076,29.076,ok,1551225600,4200
90,28.9764,29.1564,28.9764,29.1564,ok,1551312000,9700
91,29.3655,29.3955,29.2255,29.3855,ok,1551398400,4800
92,29.2757,29.4257,28.9057,29.3957,ok,1551657600,10100
93,29.5751,29.6251,29.3251,29.4051,ok,1551744000,2300
94,29.4653,29.6053,29.4653,29.5753,ok,1551830400,7600
95,29.0861,29.2261,29.0361,29.2261,ok,1551916800,11700
96,28.9863,28.9863,28.7663,28.7763,ok,1552003200,4700
97,29.6549,29.6549,29.2249,29.2249,ok,1552262400,8200
98,29.7147,29.7747,29.6647,29.7047,ok,1552348800,10100
99,30.3134,30.3434,29.9534,29.9534,ok,1552435200,14400
100,29.8744,30.0244,29.7744,30.0244,ok,1552521600,8900
101,30.3733,30.4233,30.2133,30.2133,ok,1552608000,8500
102,30.6726,30.7826,30.6526,30.6526,ok,1552867200,16600
103,30.972,31.022,30.762,30.762,ok,1552953600,22000
104,31.0319,31.2819,30.9319,31.0019,ok,1553040000,15200
105,31.7203,31.7703,30.8403,30.8403,ok,1553126400,17700
106,31.2614,31.8914,31.2214,31.7314,ok,1553212800,31300
107,31.1715,31.3015,31.0015,31.2915,ok,1553472000,13300
108,31.3013,31.7213,31.2113,31.4113,ok,1553558400,10200
109,31.2314,31.5614,31.1914,31.5614,ok,1553644800,11900
110,31.5507,31.5507,31.2407,31.4507,ok,1553731200,30400
111,31.6705,31.7305,31.4605,31.7305,ok,1553817600,15600
112,32.0396,32.0896,31.8796,32.0096,ok,1554076800,7200
113,31.9299,32.0099,31.8399,31.8999,ok,1554163200,9800
114,32.5485,32.7485,32.3985,32.3985,ok,1554249600,11900
115,32.2791,32.6091,32.1691,32.4391,ok,1554336000,22700
116,32.5685,32.6085,32.3385,32.3385,ok,1554422400,5600
117,32.319,32.409,32.249,32.409,ok,1554681600,5500
118,32.0796,32.2796,32.0796,32.2396,ok,1554768000,10400
119,32.4088,32.4588,32.1888,32.1888,ok,1554854400,5400
120,32.3589,32.3989,32.3489,32.3889,ok,1554940800,7100
121,32.6283,32.7983,32.6183,32.6383,ok,1555027200,17700
122,32.1993,32.5593,32.1893,32.5593,ok,1555286400,11700
123,32.3091,32.409,32.3091,32.409,ok,1555372800,17600
124,31.9798,32.2798,31.9398,32.2798,ok,1555459200,6300
125,32.1594,32.2194,31.9794,31.9794,ok,1555545600,9300
126,32.339,32.339,32.119,32.119,ok,1555891200,6800
127,32.6184,32.6484,32.2484,32.2484,ok,1555977600,11100
128,32.6283,32.6684,32.5084,32.6583,ok,1556064000,10900
129,32.3091,32.4891,32.209,32.4891,ok,1556150400,6500
130,32.6583,32.6783,32.3283,32.3483,ok,1556236800,17500
131,32.8279,32.8479,32.6779,32.7379,ok,1556496000,10000
132,32.8179,32.8679,32.7979,32.8079,ok,1556582400,8600
133,32.8479,33.1579,32.8479,33.1079,ok,1556668800,6400
134,32.8479,33.0779,32.6779,32.8779,ok,1556755200,8000
135,33.0275,33.0875,32.8375,32.8975,ok,1556841600,15600
136,32.7182,32.7282,31.9282,32.0382,ok,1557100800,9600
137,31.86,32.36,31.59,32.36,ok,1557187200,11000
138,32.2292,32.4092,32.0992,32.1592,ok,1557273600,10900
139,31.7802,31.9302,31.3302,31.6102,ok,1557360000,19100
140,32.2991,32.4091,31.6591,31.9391,ok,1557446400,7200
141,31.3711,31.7811,31.2711,31.6811,ok,1557705600,14800
142,31.9299,32.1099,31.4899,31.4899,ok,1557792000,10600
143,32.1095,32.3195,31.7695,31.7695,ok,1557878400,22800
144,32.3889,32.5489,32.1289,32.1289,ok,1557964800,8200
145,32.0197,32.3297,32.0197,32.1797,ok,1558051200,7500
146,31.1217,31.5917,31.1217,31.5917,ok,1558310400,12200
147,31.431,31.481,31.291,31.451,ok,1558396800,19200
148,31.9598,32.0398,31.7398,31.7898,ok,1558483200,8600
149,31.4509,31.6609,31.3609,31.6609,ok,1558569600,7100
150,31.6305,31.8105,31.4905,31.7805,ok,1558656000,4800
151,31.8101,32.0701,31.8101,31.8601,ok,1559001600,8400
152,31.5807,31.7107,31.3906,31.6107,ok,1559088000,4900
153,31.5707,31.7307,31.5407,31.7307,ok,1559174400,1700
154,31.6904,31.7904,31.5304,31.5304,ok,1559260800,4000
155,31.5807,32.0207,31.4707,31.8807,ok,1559520000,5000
156,32.0995,32.0995,31.4995,31.5495,ok,1559606400,5400
157,32.0895,32.2795,31.8095,32.2095,ok,1559692800,5700
158,32.5286,32.5286,32.2986,32.2986,ok,1559779200,5700
159,32.8778,32.9278,32.8478,32.8478,ok,1559865600,4900
160,33.1672,33.3972,33.1072,33.3772,ok,1560124800,22900
161,32.9776,33.2876,32.8776,33.2276,ok,1560211200,25300
162,32.329,32.649,32.289,32.649,ok,1560297600,21000
163,32.2891,32.4291,32.2091,32.4091,ok,1560384000,13900
164,32.0496,32.2496,31.9396,32.2496,ok,1560470400,3400
165,31.7702,32.0502,31.7602,32.0502,ok,1560729600,4100
166,32.329,32.509,32.249,32.249,ok,1560816000,9600
167,32.4188,32.4288,32.1488,32.4288,ok,1560902400,6300
168,32.9077,33.0577,32.7777,33.0477,ok,1560988800,9800
169,32.8878,32.9278,32.6578,32.6578,ok,1561075200,8000
170,33.0275,33.0375,32.8075,32.8775,ok,1561334400,4800
171,32.5485,32.8885,32.5485,32.7385,ok,1561420800,9300
172,32.8978,32.9678,32.8778,32.9678,ok,1561507200,3900
173,33.247,33.257,33.037,33.067,ok,1561593600,9500
174,33.2669,33.327,33.1969,33.327,ok,1561680000,5900
175,33.5962,33.7862,33.5162,33.7262,ok,1561939200,6200
176,33.676,33.736,33.5061,33.5061,ok,1562025600,7600
177,33.676,33.746,33.626,33.706,ok,1562112000,2900
178,33.3268,33.4368,33.0768,33.4368,ok,1562284800,2300
179,33.0075,33.0475,32.9375,32.9775,ok,1562544000,4100
180,33.1771,33.2171,32.9071,32.9571,ok,1562630400,5700
181,33.706,33.856,33.556,33.556,ok,1562716800,12900
182,34.0053,34.1653,33.9253,34.1653,ok,1562803200,22100
183,33.8157,33.9157,33.7357,33.9157,ok,1562889600,4200
184,34.0253,34.0253,33.7253,33.8153,ok,1563148800,22000
185,33.7858,33.9358,33.7758,33.9358,ok,1563235200,5900
186,33.5763,33.7863,33.5663,33.7863,ok,1563321600,6600
187,33.6262,33.6262,33.4062,33.4062,ok,1563408000,2500
188,33.3967,33.7567,33.3967,33.7567,ok,1563494400,2700
189,33.4266,33.4766,33.4166,33.4166,ok,1563753600,3900
190,33.6062,33.6262,33.4262,33.4262,ok,1563840000,4300
