,c,h,l,o,s,t,v
0,4.2768,4.2968,4.2668,4.2968,ok,1420156800,5900
1,4.2768,4.2968,4.2768,4.2968,ok,1420416000,900
2,4.2478,4.3078,4.2478,4.2977,ok,1420502400,6200
3,4.2671,4.2871,4.2271,4.2871,ok,1420588800,9800
4,4.2478,4.3078,4.2378,4.3078,ok,1420675200,7500
5,4.2478,4.2778,4.2478,4.2778,ok,1420761600,1800
6,4.2381,4.2781,4.2381,4.2781,ok,1421020800,4600
7,4.2187,4.2687,4.2087,4.2487,ok,1421107200,38700
8,4.2187,4.2487,4.1987,4.2487,ok,1421193600,9800
9,4.1993,4.2393,4.1893,4.2193,ok,1421280000,18100
10,4.2381,4.2681,4.2181,4.2681,ok,1421366400,3500
11,4.2574,4.2774,4.1974,4.1974,ok,1421712000,27400
12,4.2478,4.2778,4.2178,4.2778,ok,1421798400,6900
13,4.2574,4.2674,4.2174,4.2174,ok,1421884800,9600
14,4.2671,4.2971,4.2471,4.2771,ok,1421971200,12100
15,4.2187,4.2687,4.2187,4.2687,ok,1422230400,10500
16,4.2671,4.2671,4.2171,4.2671,ok,1422316800,4700
17,4.2381,4.2681,4.1981,4.2681,ok,1422403200,12100
18,4.1993,4.2693,4.1993,4.2693,ok,1422489600,11600
19,4.2671,4.2971,4.1871,4.2171,ok,1422576000,19800
20,4.2671,4.2871,4.2271,4.2871,ok,1422835200,1400
21,4.2381,4.3181,4.1981,4.2181,ok,1422921600,33600
22,4.2284,4.2584,4.2184,4.2384,ok,1423008000,4500
23,4.2574,4.2974,4.2174,4.2974,ok,1423094400,4500
24,4.2671,4.3071,4.2371,4.2771,ok,1423180800,10000
25,4.2574,4.2674,4.2274,4.2674,ok,1423440000,11300
26,4.2284,4.2684,4.2284,4.2684,ok,1423526400,400
27,4.2284,4.2684,4.2184,4.2184,ok,1423612800,2800
28,4.2381,4.2681,4.2281,4.2681,ok,1423699200,3500
29,4.2478,4.2678,4.2278,4.2678,ok,1423785600,8900
30,4.2478,4.2478,4.2278,4.2478,ok,1424131200,500
31,4.2574,4.2674,4.2374,4.2474,ok,1424217600,6400
32,4.2671,4.3071,4.2271,4.2771,ok,1424304000,3300
33,4.3447,4.3847,4.2947,4.3247,ok,1424390400,5400
34,4.2865,4.3465,4.2865,4.3465,ok,1424649600,2600
35,4.2865,4.3065,4.2865,4.3065,ok,1424736000,300
36,4.2671,4.2871,4.2371,4.2371,ok,1424822400,20400
37,4.2381,4.3481,4.2081,4.2081,ok,1424908800,7100
38,4.2574,4.2674,4.1674,4.1674,ok,1424995200,12300
39,4.2381,4.2781,4.1881,4.2781,ok,1425254400,18300
40,4.2478,4.2878,4.2278,4.2878,ok,1425340800,92200
41,4.2478,4.2578,4.2378,4.2478,ok,1425427200,1000
42,4.2381,4.2581,4.2381,4.2581,ok,1425513600,4200
43,4.2381,4.2581,4.2281,4.2581,ok,1425600000,10300
44,4.2284,4.2584,4.2284,4.2584,ok,1425859200,1100
45,4.2478,4.2578,4.2378,4.2578,ok,1425945600,13400
46,4.2381,4.2581,4.2181,4.2281,ok,1426032000,16400
47,4.2574,4.2674,4.2274,4.2574,ok,1426118400,58400
48,4.3447,4.3547,4.2547,4.3547,ok,1426204800,20800
49,4.3156,4.3556,4.2656,4.3556,ok,1426464000,2100
50,4.2962,4.3562,4.2962,4.3462,ok,1426550400,500
51,4.2574,4.3174,3.9874,3.9874,ok,1426636800,50400
52,4.2768,4.3468,4.2668,4.3468,ok,1426723200,11800
53,4.2284,4.3384,4.2184,4.3184,ok,1426809600,69100
54,4.2574,4.3374,4.2274,4.3074,ok,1427068800,3900
55,4.2381,4.2881,4.2081,4.2881,ok,1427155200,101800
56,4.2478,4.3377,4.2378,4.3078,ok,1427241600,10200
57,4.2671,4.2671,4.2471,4.2471,ok,1427328000,1100
58,4.2671,4.3171,4.2471,4.3171,ok,1427414400,2000
59,4.2865,4.2865,4.2465,4.2865,ok,1427673600,2300
60,4.2381,4.2681,4.2381,4.2381,ok,1427760000,22800
61,4.2381,4.2681,4.1981,4.2681,ok,1427846400,7000
62,4.2381,4.2681,4.2081,4.2681,ok,1427932800,1800
63,4.2187,4.2587,4.2087,4.2087,ok,1428278400,6100
64,4.2574,4.2574,4.2474,4.2474,ok,1428364800,3000
65,4.2574,4.2674,4.2374,4.2674,ok,1428451200,3200
