,c,h,l,o,s,t,v
0,23.9544,24.0044,23.9444,23.9444,ok,1447891200,6500
1,24.0695,24.3395,24.0595,24.3395,ok,1447977600,8400
2,24.1078,24.3378,24.0678,24.3378,ok,1448236800,6800
3,24.2325,24.2325,23.9625,24.0825,ok,1448323200,2700
4,24.2708,24.2708,24.2008,24.2108,ok,1448409600,2700
5,24.3092,24.3192,24.2892,24.2892,ok,1448582400,11800
6,24.2133,24.6533,24.2073,24.6533,ok,1448841600,20900
7,24.3821,24.3961,24.2861,24.2861,ok,1448928000,800
8,24.2133,24.4833,24.2133,24.4833,ok,1449014400,5300
9,23.8105,24.4005,23.8005,24.4005,ok,1449100800,15900
10,24.1845,24.1845,24.0195,24.0195,ok,1449187200,6000
11,23.9832,24.1832,23.9832,24.1832,ok,1449446400,5400
12,23.9256,23.9256,23.9256,23.9256,ok,1449532800,700
13,23.6283,23.9683,23.5983,23.9183,ok,1449619200,2500
14,23.7818,23.7818,23.4118,23.4118,ok,1449705600,2700
15,23.2256,23.4956,23.2256,23.4856,ok,1449792000,5300
16,23.3023,23.3923,23.2023,23.3923,ok,1450051200,2200
17,23.4941,23.4941,23.4941,23.4941,ok,1450137600,200
18,23.7914,23.7914,23.5114,23.6914,ok,1450224000,3100
19,23.59,23.739,23.59,23.739,ok,1450310400,2300
20,23.2064,23.2764,23.2064,23.2564,ok,1450396800,3100
21,23.2831,23.2831,23.2431,23.2431,ok,1450656000,700
22,23.801,23.801,23.511,23.511,ok,1450828800,6100
23,23.8297,23.8397,23.8197,23.8297,ok,1450915200,1600
24,23.7722,23.8922,23.7722,23.8922,ok,1451260800,600
25,23.9832,24.0332,23.9432,24.0332,ok,1451347200,2800
26,23.8393,23.9393,23.7893,23.7893,ok,1451433600,1800
27,23.6283,23.8333,23.6083,23.8333,ok,1451520000,3800
28,23.3407,23.4007,23.3407,23.4007,ok,1451952000,500
29,22.89,22.9,22.88,22.88,ok,1452038400,1100
30,22.3817,22.6237,22.3117,22.3117,ok,1452124800,1700
31,22.2475,22.2475,22.2175,22.2175,ok,1452211200,300
32,22.0077,22.2177,21.8477,22.2177,ok,1452470400,800
33,21.8447,21.8447,21.8447,21.8447,ok,1452556800,200
34,21.5858,22.2758,21.5858,22.2758,ok,1452643200,500
35,21.8831,21.8831,21.2631,21.2831,ok,1452729600,1800
36,21.6721,21.7721,21.6721,21.7721,ok,1452816000,500
37,21.0967,21.5967,21.0967,21.5967,ok,1453161600,600
38,21.2502,21.2502,20.6902,20.6902,ok,1453248000,1100
39,21.2693,21.2693,21.2693,21.2693,ok,1453334400,200
40,21.5829,21.6759,21.5459,21.6759,ok,1453420800,1900
41,21.3269,21.6669,21.3269,21.6669,ok,1453680000,2500
42,21.4995,21.4995,21.4995,21.4995,ok,1453766400,200
43,21.3365,21.6865,21.3365,21.6065,ok,1453852800,900
44,21.2693,21.5193,21.2693,21.5193,ok,1453939200,800
45,21.9118,21.9118,21.2118,21.2118,ok,1454025600,3100
46,22.1228,22.1228,22.1228,22.1228,ok,1454284800,100
47,21.4899,21.6699,21.4899,21.6699,ok,1454371200,2900
48,21.4324,21.4324,21.3924,21.3924,ok,1454457600,200
49,21.7009,21.7009,21.7009,21.7009,ok,1454544000,200
50,21.5378,21.5378,21.5378,21.5378,ok,1454630400,200
51,20.694,20.804,20.694,20.804,ok,1454889600,1100
52,20.7803,20.9103,20.7803,20.9103,ok,1454976000,200
53,22.5352,22.5352,20.9352,21.1852,ok,1455062400,3500
54,22.2379,22.2379,20.7679,20.7679,ok,1455148800,500
55,20.9817,20.9817,20.9817,20.9817,ok,1455235200,300
56,21.5091,21.5091,21.5091,21.5091,ok,1455580800,200
57,21.9214,21.9514,21.8514,21.8514,ok,1455667200,500
58,21.8447,21.8447,21.8447,21.8447,ok,1455753600,200
59,21.8735,21.9535,21.7035,21.9535,ok,1455840000,500
60,22.2235,22.2235,22.2235,22.2235,ok,1456099200,400
61,22.0749,22.0749,22.0749,22.0749,ok,1456185600,200
62,22.1612,22.1612,22.1412,22.1412,ok,1456272000,200
63,23.005,23.015,22.165,22.375,ok,1456358400,1300
64,22.5447,22.5547,22.4647,22.4647,ok,1456444800,600
65,22.8612,23.0912,22.7212,22.7212,ok,1456704000,1200
