,c,h,l,o,s,t,v
0,10.8582,10.9282,10.2182,10.3682,ok,1420156800,50700
1,10.7389,10.8689,10.4289,10.8689,ok,1420416000,78600
2,10.4577,10.8477,10.3377,10.8477,ok,1420502400,73600
3,10.5599,10.6299,10.2999,10.4499,ok,1420588800,106600
4,10.9435,11.0135,10.4435,10.5435,ok,1420675200,87700
5,10.8241,11.0541,10.7741,10.9441,ok,1420761600,54200
6,10.4321,10.8921,10.3721,10.8921,ok,1421020800,54800
7,10.6111,10.9211,10.3911,10.4411,ok,1421107200,73000
8,10.5344,10.6344,9.9544,10.5044,ok,1421193600,129700
9,10.6025,10.8125,10.2325,10.5325,ok,1421280000,154800
10,10.9605,11.0805,10.4705,10.4705,ok,1421366400,84600
11,10.9264,11.1964,10.5964,11.1064,ok,1421712000,346900
12,10.5003,11.0003,10.2803,10.9403,ok,1421798400,57600
13,10.2531,10.6331,10.1231,10.6331,ok,1421884800,261400
14,10.1423,10.3023,9.9223,10.2123,ok,1421971200,74000
15,10.1167,10.3267,9.9067,10.1467,ok,1422230400,79500
16,10.1594,10.3194,9.8994,9.9994,ok,1422316800,55400
17,9.7332,10.5532,9.6432,10.3032,ok,1422403200,89200
18,9.9804,10.0104,9.5804,9.7304,ok,1422489600,56000
19,9.861,10.1011,9.781,9.8811,ok,1422576000,60800
20,9.9718,10.0118,9.4318,9.8618,ok,1422835200,106400
21,10.2531,10.4331,10.0131,10.0131,ok,1422921600,54900
22,9.9292,10.3092,9.8692,10.2192,ok,1423008000,61300
23,10.0486,10.1286,9.8686,9.9786,ok,1423094400,52000
24,10.202,10.322,9.862,10.012,ok,1423180800,46100
25,9.7758,10.3858,9.7358,10.2058,ok,1423440000,40200
26,10.1594,10.2294,9.7294,9.7994,ok,1423526400,48500
27,9.8866,10.2166,9.7966,10.2166,ok,1423612800,55100
28,10.1253,10.1253,9.8853,9.9553,ok,1423699200,29500
29,10.3554,10.4154,10.1054,10.1054,ok,1423785600,21200
30,10.1594,10.3894,10.0294,10.3294,ok,1424131200,41300
31,10.3213,10.3713,10.1213,10.1413,ok,1424217600,28400
