,c,h,l,o,s,t,v
0,20.8,22.0,16.6,20.0,ok,1573430400,244300
1,19.75,21.69,18.74,20.85,ok,1573516800,196100
2,20.5,20.5,19.0,19.0,ok,1573603200,27400
3,23.14,23.27,20.75,20.75,ok,1573689600,123100
4,27.0,27.415,23.0,23.23,ok,1573776000,110200
5,28.27,29.13,26.01,27.2,ok,1574035200,51500
6,29.99,46.19,28.98,28.98,ok,1574121600,279000
7,28.87,35.08,27.5,30.51,ok,1574208000,140800
8,30.7,32.23,27.865,28.47,ok,1574294400,50300
9,29.93,33.25,29.28,30.25,ok,1574380800,70900
10,30.67,32.8,29.4,31.43,ok,1574640000,78400
11,33.44,35.0,30.775,31.11,ok,1574726400,212600
12,30.12,34.99,30.0,33.44,ok,1574812800,111700
13,31.27,34.39,28.0,30.15,ok,1574985600,40300
14,30.17,32.947,28.21,31.4,ok,1575244800,101300
15,29.8,31.24,29.01,30.0,ok,1575331200,82900
16,28.0,30.888,27.78,29.75,ok,1575417600,49300
17,27.5,28.89,26.68,26.68,ok,1575504000,59000
18,28.6,29.25,27.34,27.34,ok,1575590400,48400
19,27.28,32.2,26.32,29.0,ok,1575849600,164200
20,27.14,27.739,25.03,27.15,ok,1575936000,128900
21,28.83,29.492,25.582,27.0,ok,1576022400,104400
22,29.84,30.339,28.09,28.6,ok,1576108800,113500
23,31.69,32.31,29.23,29.84,ok,1576195200,60300
24,29.77,32.0,29.51,31.59,ok,1576454400,82200
25,30.02,31.695,28.772,29.48,ok,1576540800,67100
26,28.59,30.74,27.955,29.91,ok,1576627200,27800
27,25.97,29.958,24.768,28.2,ok,1576713600,137800
28,25.685,27.5,25.14,25.55,ok,1576800000,492600
29,26.88,30.273,24.92,26.13,ok,1577059200,138000
30,28.58,29.06,26.723,26.88,ok,1577145600,31200
31,27.11,30.053,26.673,28.5,ok,1577318400,97400
32,24.65,28.825,24.478,27.11,ok,1577404800,63200
33,27.11,27.75,24.276,24.73,ok,1577664000,72800
34,26.29,27.11,25.19,27.02,ok,1577750400,141000
35,25.1,27.24,24.39,27.24,ok,1577923200,45400
36,26.83,28.99,24.31,24.75,ok,1578009600,137600
37,27.13,27.89,25.01,26.18,ok,1578268800,79200
38,27.12,27.25,25.87,26.86,ok,1578355200,63500
39,25.76,27.43,25.25,26.96,ok,1578441600,70800
40,25.62,26.98,25.27,25.91,ok,1578528000,97000
41,26.6,27.14,25.15,25.62,ok,1578614400,26800
42,27.35,27.5,25.569,26.6,ok,1578873600,32400
43,27.32,28.36,26.2,26.93,ok,1578960000,52600
44,26.6,28.02,25.93,27.25,ok,1579046400,61500
45,25.61,27.01,24.6,26.7,ok,1579132800,118200
46,26.51,26.827,25.63,25.63,ok,1579219200,23600
47,27.6,27.87,25.425,26.51,ok,1579564800,28100
48,28.21,29.48,27.095,27.1,ok,1579651200,42200
49,27.92,28.9,26.27,28.6,ok,1579737600,28600
50,26.15,27.835,25.8,27.8,ok,1579824000,13500
51,27.18,28.69,25.6,25.61,ok,1580083200,30600
52,27.34,27.88,27.0,27.72,ok,1580169600,15900
53,33.66,34.93,26.76,27.83,ok,1580256000,94900
54,30.37,35.712,29.5,34.02,ok,1580342400,74200
55,26.72,31.99,25.24,30.52,ok,1580428800,72900
56,25.9,28.84,25.261,27.0,ok,1580688000,49800
57,26.9,27.966,25.397,26.05,ok,1580774400,54200
58,26.36,29.0,26.17,27.2,ok,1580860800,64500
59,27.53,27.77,25.955,26.45,ok,1580947200,37400
60,25.99,27.97,25.735,27.03,ok,1581033600,28900
61,26.79,27.03,25.975,26.0,ok,1581292800,10900
62,28.6,28.85,26.32,27.31,ok,1581379200,23700
63,29.3,31.19,27.76,28.8,ok,1581465600,11300
64,31.05,31.98,27.26,29.54,ok,1581552000,15500
65,32.5,33.47,29.663,30.8,ok,1581638400,13200
66,35.96,36.88,32.06,32.5,ok,1581984000,31200
67,36.89,39.13,31.712,36.5,ok,1582070400,26200
68,35.51,37.825,35.36,36.0,ok,1582156800,21000
69,33.66,35.55,33.165,35.55,ok,1582243200,6300
70,36.25,38.85,31.0,32.0,ok,1582502400,66300
71,37.49,41.24,35.61,36.24,ok,1582588800,57800
72,34.22,38.0,34.01,37.73,ok,1582675200,17200
73,33.55,37.52,31.0,33.61,ok,1582761600,28600
74,35.67,37.93,32.9,32.9,ok,1582848000,79800
75,41.77,43.849,34.68,34.68,ok,1583107200,76100
76,40.77,44.87,38.67,41.88,ok,1583193600,37600
77,39.99,47.253,39.1,41.0,ok,1583280000,67400
78,37.08,39.01,34.55,39.01,ok,1583366400,86900
79,38.2,39.18,36.32,36.32,ok,1583452800,41300
80,37.2,39.515,36.245,37.3,ok,1583712000,20300
81,34.6,38.0,32.4,38.0,ok,1583798400,74500
