,c,h,l,o,s,t,v
0,36.0341,36.0341,36.0341,36.0341,ok,1441929600,600
1,35.889,35.889,35.889,35.889,ok,1442188800,100
2,36.4602,36.4602,36.1602,36.1602,ok,1442793600,1200
3,35.453,35.453,35.394,35.394,ok,1442880000,600
4,35.0995,35.2605,35.0995,35.2605,ok,1442966400,300
5,34.8375,34.8375,34.8375,34.8375,ok,1443398400,1000
6,34.5293,34.5293,34.5293,34.5293,ok,1443484800,300
7,35.2273,35.5873,35.2273,35.5873,ok,1443657600,400
8,37.6839,37.6839,37.6539,37.6539,ok,1444348800,300
9,36.9433,36.9433,36.9433,36.9433,ok,1444694400,100
10,37.6386,37.6386,37.6386,37.6386,ok,1444953600,200
11,37.5026,37.5026,37.5026,37.5026,ok,1445212800,300
12,37.4482,37.4482,37.4382,37.4482,ok,1445299200,3200
13,37.4845,37.4845,37.4845,37.4845,ok,1445817600,200
14,37.1219,37.1419,37.1219,37.1419,ok,1445904000,800
15,37.4301,37.4301,37.4301,37.4301,ok,1446422400,200
16,37.5026,37.5426,37.5026,37.5426,ok,1446595200,800
17,35.9434,35.9434,35.9434,35.9434,ok,1447027200,500
18,36.1338,36.1338,36.1338,36.1338,ok,1447804800,200
19,36.6777,36.6777,36.6777,36.6777,ok,1447891200,200
20,36.995,40.475,31.615,39.195,ok,1448928000,23900
21,36.3822,36.3822,36.3822,36.3822,ok,1449446400,700
22,35.599,35.599,35.599,35.599,ok,1449792000,100
23,35.4856,35.8406,35.4406,35.8406,ok,1450137600,1400
24,35.5264,35.5264,35.5264,35.5264,ok,1450224000,200
25,35.123,35.123,35.123,35.123,ok,1450396800,800
26,35.7227,35.7227,35.7227,35.7227,ok,1451260800,300
27,36.0512,36.0822,36.0512,36.0782,ok,1451433600,3300
28,34.4233,34.4933,34.3733,34.3733,ok,1452038400,1700
29,33.9865,33.9865,33.9865,33.9865,ok,1452124800,500
30,32.3295,32.7605,32.3295,32.7605,ok,1452816000,200
31,31.6343,31.6343,31.6093,31.6093,ok,1453248000,400
32,32.1211,32.1811,32.0711,32.1611,ok,1453334400,113500
33,32.8309,32.8309,32.7909,32.7909,ok,1453680000,300
34,33.3587,33.3587,33.2887,33.2887,ok,1453766400,200
35,33.3587,34.2587,33.2787,33.2986,ok,1453852800,15300
36,33.1448,33.5698,32.6398,33.5698,ok,1453939200,117600
37,33.4496,33.4596,33.3696,33.3696,ok,1454025600,66900
38,33.4314,33.5914,33.2014,33.2814,ok,1454284800,12300
39,33.2131,33.4511,33.1041,33.4511,ok,1454371200,4900
40,33.8409,33.8409,33.1509,33.1509,ok,1454457600,4500
41,33.5734,33.5774,33.5274,33.5774,ok,1454544000,800
42,33.0201,33.5621,33.0201,33.5621,ok,1454630400,500
43,31.8299,31.8299,31.8299,31.8299,ok,1454889600,400
44,32.1803,32.3553,31.8053,31.8053,ok,1454976000,3900
45,32.2485,32.5785,32.2485,32.5735,ok,1455062400,300
46,31.557,32.117,31.417,32.007,ok,1455148800,1400
47,31.9237,31.9237,31.9237,31.9237,ok,1455235200,400
48,32.7635,32.7635,32.7635,32.7635,ok,1455580800,100
49,33.3677,33.3877,33.3557,33.3867,ok,1455753600,2200
50,32.9583,33.0983,32.9583,33.0983,ok,1456358400,300
51,33.0129,33.0229,33.0129,33.0229,ok,1456704000,3200
52,33.0129,33.0129,33.0129,33.0129,ok,1456963200,100
53,34.4524,34.4524,34.4524,34.4524,ok,1457049600,200
54,34.1503,34.5493,34.1503,34.5493,ok,1457308800,200
55,33.9765,33.9765,33.9765,33.9765,ok,1457568000,300
56,34.7372,34.7382,34.7372,34.7382,ok,1457654400,300
57,34.9329,34.9329,34.9329,34.9329,ok,1457913600,200
58,34.2868,34.2868,34.2868,34.2868,ok,1458086400,300
59,35.0784,35.0784,35.0784,35.0784,ok,1458259200,1000
60,34.6417,34.7217,34.6417,34.7217,ok,1458604800,400
61,33.9738,33.9738,33.9738,33.9738,ok,1458777600,200
62,34.7236,34.7236,34.7236,34.7236,ok,1459382400,100
63,34.4415,34.4415,34.4415,34.4415,ok,1459468800,700
64,34.5689,34.5989,34.5689,34.5989,ok,1459900800,400
65,34.5416,34.5416,34.3416,34.4216,ok,1459987200,400
66,34.669,34.669,34.669,34.669,ok,1460073600,100
67,35.1694,35.3394,35.1694,35.3034,ok,1460505600,7600
68,35.3332,35.3332,35.1432,35.1632,ok,1460592000,4700
69,35.1057,35.2657,35.1057,35.2657,ok,1460678400,6600
70,35.3878,35.3878,35.1378,35.1878,ok,1460937600,3300
71,36.0612,36.1372,35.9812,36.1312,ok,1461024000,6200
72,36.2432,36.2432,36.1532,36.1732,ok,1461110400,600
73,35.9247,36.0547,35.9247,36.0547,ok,1461196800,2200
74,35.5516,35.5516,35.5516,35.5516,ok,1461283200,66500
75,35.5243,35.5243,35.3843,35.4343,ok,1461542400,2300
76,35.5816,35.7486,35.5686,35.7486,ok,1461628800,3800
77,35.861,35.861,35.701,35.701,ok,1461715200,1500
78,35.4242,35.4242,35.3642,35.3642,ok,1461888000,300
79,35.7427,35.7427,35.6027,35.6227,ok,1462147200,2000
80,35.0875,35.7475,35.0875,35.7475,ok,1462233600,2000
81,34.8055,34.9055,34.7855,34.9055,ok,1462320000,2100
82,34.6053,34.6853,34.5753,34.5953,ok,1462406400,2200
83,34.7863,34.8173,34.7373,34.7373,ok,1462492800,1000
84,34.9147,34.9527,34.8107,34.8107,ok,1462752000,4600
85,35.1148,35.1248,35.0548,35.1248,ok,1462838400,600
86,35.0784,35.0784,34.9464,35.0184,ok,1462924800,500
87,34.9083,34.9653,34.9083,34.9653,ok,1463011200,1000
88,34.4688,34.8888,34.4688,34.8888,ok,1463097600,1300
89,34.8373,34.8373,34.8373,34.8373,ok,1463356800,400
90,34.7236,34.9136,34.7136,34.7436,ok,1463443200,4400
91,34.951,35.191,34.581,34.651,ok,1463529600,4700
92,34.7782,34.7782,34.6582,34.7282,ok,1463616000,1200
93,35.0056,35.1356,35.0056,35.1356,ok,1463702400,3200
94,35.1976,35.3466,34.8666,34.8666,ok,1463961600,5700
95,35.6517,35.7817,35.5417,35.5417,ok,1464048000,3500
96,35.9156,36.0756,35.8736,36.0356,ok,1464134400,5600
97,35.9429,36.0529,35.9129,36.0329,ok,1464220800,5600
