,c,h,l,o,s,t,v
0,21.95,21.95,21.84,21.88,ok,1420156800,1196200
1,22.19,22.29,22.13,22.27,ok,1420416000,1637800
2,22.33,22.37,22.11,22.35,ok,1420502400,1537700
3,22.56,22.69,22.47,22.64,ok,1420588800,1844300
4,22.73,22.8,22.62,22.75,ok,1420675200,1335900
5,22.51,22.8,22.51,22.78,ok,1420761600,1609700
6,22.54,22.65,22.51,22.62,ok,1421020800,1104100
7,22.79,22.86,22.7,22.8,ok,1421107200,1421800
8,22.72,22.79,22.63,22.66,ok,1421193600,1076300
9,23.38,23.58,23.17,23.18,ok,1421280000,2685300
10,23.59,24.02,23.5,23.68,ok,1421366400,2874600
11,23.65,23.7,23.49,23.51,ok,1421712000,2017400
12,23.49,23.61,23.12,23.33,ok,1421798400,3234900
13,24.44,24.47,23.79,23.93,ok,1421884800,3755200
14,25.09,25.1,24.74,25.05,ok,1421971200,3564800
15,24.85,24.91,24.69,24.88,ok,1422230400,2139100
16,24.32,24.52,24.13,24.38,ok,1422316800,2187000
17,24.7,24.74,24.36,24.49,ok,1422403200,1608600
18,24.57,24.75,24.37,24.51,ok,1422489600,1781000
19,24.66,24.75,24.56,24.6,ok,1422576000,1081200
20,24.51,24.6,24.39,24.6,ok,1422835200,1311200
21,23.85,24.14,23.65,24.08,ok,1422921600,3128000
22,24.25,24.28,24.01,24.06,ok,1423008000,1613600
23,23.84,24.13,23.78,24.07,ok,1423094400,1540900
24,24.54,24.56,24.37,24.44,ok,1423180800,975200
25,24.51,24.59,24.38,24.59,ok,1423440000,579600
26,24.55,24.62,24.5,24.61,ok,1423526400,527000
27,24.65,24.7,24.55,24.57,ok,1423612800,631300
28,24.13,24.4,24.08,24.4,ok,1423699200,900900
29,24.16,24.24,24.06,24.16,ok,1423785600,533200
30,24.09,24.25,24.07,24.12,ok,1424131200,639900
31,24.18,24.45,24.13,24.26,ok,1424217600,979700
32,24.34,24.35,24.2,24.27,ok,1424304000,378200
33,24.26,24.65,24.05,24.62,ok,1424390400,1582500
34,24.45,24.52,24.35,24.49,ok,1424649600,657400
35,24.41,24.64,24.35,24.47,ok,1424736000,1028900
36,24.31,24.42,24.31,24.39,ok,1424822400,425000
37,25.01,25.09,24.81,24.82,ok,1424908800,1200900
38,25.06,25.13,24.91,25.01,ok,1424995200,735000
39,25.1,25.13,24.88,24.91,ok,1425254400,485800
40,25.13,25.14,24.94,25.1,ok,1425340800,586400
41,25.59,25.64,25.34,25.34,ok,1425427200,1382400
42,25.81,25.99,25.69,25.75,ok,1425513600,1556600
43,26.63,26.67,26.45,26.51,ok,1425600000,1542400
44,26.59,26.68,26.51,26.56,ok,1425859200,603200
45,27.38,27.41,26.91,27.11,ok,1425945600,2491000
46,28.21,28.35,27.85,27.96,ok,1426032000,2835400
47,27.77,27.92,27.63,27.79,ok,1426118400,1724700
48,28.52,28.58,28.0,28.01,ok,1426204800,1934200
49,27.98,28.19,27.73,28.12,ok,1426464000,3567800
50,27.9,27.9,27.56,27.67,ok,1426550400,1926600
51,26.59,27.84,26.59,27.78,ok,1426636800,3411000
52,27.55,27.69,27.32,27.4,ok,1426723200,1731300
53,26.67,26.97,26.3,26.76,ok,1426809600,2616100
54,25.93,26.31,25.88,26.1,ok,1427068800,2095000
55,26.11,26.26,26.01,26.04,ok,1427155200,1071800
56,25.91,25.98,25.78,25.84,ok,1427241600,1118100
57,26.3,26.43,25.79,25.82,ok,1427328000,1345600
58,26.22,26.42,25.99,26.31,ok,1427414400,1723500
59,26.62,26.65,26.39,26.49,ok,1427673600,1013800
60,26.95,27.08,26.84,27.0,ok,1427760000,1500600
61,26.9,27.06,26.72,26.83,ok,1427846400,835700
62,26.3,26.4,26.16,26.35,ok,1427932800,2010700
63,25.99,26.13,25.53,25.64,ok,1428278400,2616800
64,26.59,26.59,26.26,26.4,ok,1428364800,1035700
65,26.76,26.82,26.37,26.37,ok,1428451200,1266000
66,27.38,27.47,26.93,26.93,ok,1428537600,979400
67,27.62,27.75,27.48,27.62,ok,1428624000,785500
68,27.78,27.88,27.66,27.77,ok,1428883200,965100
69,27.43,27.43,27.1,27.31,ok,1428969600,1334900
70,27.21,27.73,27.14,27.36,ok,1429056000,1351500
71,26.78,27.22,26.55,26.99,ok,1429142400,989000
72,26.56,26.87,26.53,26.83,ok,1429228800,594000
73,26.93,27.0,26.79,26.94,ok,1429488000,490900
74,26.96,27.21,26.72,27.16,ok,1429574400,599400
75,26.99,27.05,26.9,26.95,ok,1429660800,360800
76,26.5,26.96,26.41,26.9,ok,1429747200,903400
77,26.3,26.6,26.25,26.34,ok,1429833600,948700
78,26.18,26.39,26.01,26.35,ok,1430092800,917100
79,25.78,26.02,25.7,26.0,ok,1430179200,1052900
80,25.14,25.43,24.79,25.37,ok,1430265600,3266200
81,24.6,25.11,24.44,25.08,ok,1430352000,1802500
82,24.69,24.83,24.34,24.47,ok,1430438400,1306000
83,24.94,25.03,24.84,24.84,ok,1430697600,1061800
84,24.75,25.08,24.63,24.96,ok,1430784000,1151800
85,24.07,24.36,23.97,24.33,ok,1430870400,1759400
86,24.4,24.53,24.28,24.33,ok,1430956800,1665200
87,24.67,24.77,24.46,24.5,ok,1431043200,1068000
88,24.91,25.0,24.82,24.96,ok,1431302400,966200
89,24.64,24.65,24.4,24.55,ok,1431388800,1093100
90,24.06,24.22,23.9,24.19,ok,1431475200,1289700
91,23.78,24.07,23.76,23.76,ok,1431561600,1758100
92,23.64,24.09,23.55,24.05,ok,1431648000,1630900
93,24.21,24.24,23.9,23.9,ok,1431907200,2066600
94,24.88,25.01,24.81,24.94,ok,1431993600,2060300
95,25.06,25.23,24.91,25.08,ok,1432080000,1798700
96,25.04,25.07,24.92,25.04,ok,1432166400,701000
97,25.52,25.54,25.36,25.36,ok,1432252800,1248400
98,26.15,26.19,25.92,26.0,ok,1432598400,1600800
99,26.0,26.35,25.96,26.33,ok,1432684800,1220800
100,25.8,26.14,25.73,26.02,ok,1432771200,1004100
101,25.62,25.74,25.5,25.68,ok,1432857600,713600
102,25.9,26.06,25.64,25.69,ok,1433116800,829800
103,24.84,25.03,24.63,25.0,ok,1433203200,1855400
104,24.25,24.73,24.22,24.73,ok,1433289600,1648600
105,24.41,24.47,24.08,24.34,ok,1433376000,800700
106,24.96,25.23,24.86,25.18,ok,1433462400,1397900
107,24.18,24.63,24.14,24.57,ok,1433721600,1093200
108,24.24,24.45,24.16,24.35,ok,1433808000,1116800
109,24.0,24.22,23.91,23.96,ok,1433894400,1663700
110,24.25,24.53,24.23,24.46,ok,1433980800,1060600
111,24.31,24.5,24.14,24.44,ok,1434067200,956900
112,24.19,24.48,24.14,24.48,ok,1434326400,747400
113,24.38,24.48,24.32,24.39,ok,1434412800,662700
114,23.94,24.52,23.87,24.24,ok,1434499200,1476100
115,23.8,23.94,23.55,23.68,ok,1434585600,2543000
116,23.91,24.01,23.83,23.99,ok,1434672000,725300
117,23.96,24.01,23.65,23.86,ok,1434931200,937000
118,24.67,24.77,24.54,24.73,ok,1435017600,1590200
119,24.53,24.65,24.43,24.64,ok,1435104000,665000
120,24.51,24.61,24.46,24.51,ok,1435190400,461500
121,24.66,24.82,24.53,24.63,ok,1435276800,564300
122,24.33,24.92,24.19,24.91,ok,1435536000,2628100
123,24.75,24.9,24.48,24.5,ok,1435622400,1191200
124,25.16,25.21,24.92,25.0,ok,1435708800,1233700
125,25.01,25.06,24.9,25.01,ok,1435795200,734000
126,25.16,25.29,25.0,25.28,ok,1436140800,1458300
127,25.32,25.74,25.18,25.67,ok,1436227200,1546900
128,25.09,25.28,24.99,25.12,ok,1436313600,928200
129,25.29,25.43,25.08,25.16,ok,1436400000,844400
130,24.73,24.85,24.52,24.54,ok,1436486400,1682500
131,25.38,25.4,25.14,25.15,ok,1436745600,765400
132,25.36,25.4,25.12,25.16,ok,1436832000,427500
133,25.6,25.7,25.5,25.53,ok,1436918400,1318400
134,25.96,25.97,25.73,25.93,ok,1437004800,811000
135,26.11,26.12,25.97,25.97,ok,1437091200,635800
136,26.16,26.2,25.99,26.13,ok,1437350400,397400
137,25.66,25.98,25.51,25.97,ok,1437436800,1213900
138,25.76,25.96,25.74,25.78,ok,1437523200,548400
139,25.39,25.55,25.29,25.53,ok,1437609600,636900
140,25.46,25.63,25.4,25.56,ok,1437696000,670900
141,24.91,24.96,24.76,24.93,ok,1437955200,1205500
142,25.07,25.21,25.06,25.17,ok,1438041600,414300
143,25.43,25.5,24.99,25.18,ok,1438128000,893300
144,25.66,25.83,25.64,25.68,ok,1438214400,1017100
145,25.43,25.51,24.82,24.89,ok,1438300800,1098100
146,25.55,25.6,25.4,25.47,ok,1438560000,858200
147,25.85,25.88,25.41,25.51,ok,1438646400,1130500
148,25.78,26.03,25.74,25.84,ok,1438732800,667800
149,25.65,25.83,25.62,25.83,ok,1438819200,427500
150,25.53,25.95,25.42,25.92,ok,1438905600,864300
151,25.27,25.56,25.13,25.55,ok,1439164800,692500
152,25.13,25.28,24.93,24.96,ok,1439251200,853400
153,24.53,24.61,24.35,24.57,ok,1439337600,1393100
154,24.63,24.89,24.62,24.84,ok,1439424000,484100
155,24.84,24.87,24.62,24.73,ok,1439510400,537800
156,24.95,25.05,24.8,24.8,ok,1439769600,389600
157,25.18,25.23,25.1,25.19,ok,1439856000,402400
158,24.73,25.21,24.7,25.21,ok,1439942400,1174100
159,24.34,24.61,24.32,24.54,ok,1440028800,923700
160,23.68,24.05,23.64,24.0,ok,1440115200,1449900
161,22.71,23.04,22.26,22.38,ok,1440374400,4810300
162,23.11,23.5,23.1,23.23,ok,1440460800,1283400
163,23.75,23.81,23.35,23.63,ok,1440547200,1353400
164,24.15,24.31,24.01,24.24,ok,1440633600,884200
165,24.4,24.51,24.1,24.15,ok,1440720000,727600
166,24.24,24.41,24.16,24.17,ok,1440979200,587900
167,23.9,24.17,23.84,24.04,ok,1441065600,797200
168,24.2,24.24,24.11,24.2,ok,1441152000,368100
169,24.65,24.8,24.53,24.63,ok,1441238400,593600
170,24.56,24.77,24.41,24.66,ok,1441324800,680900
171,24.31,24.46,24.25,24.4,ok,1441670400,273300
172,24.28,24.6,24.27,24.57,ok,1441756800,406600
173,23.96,24.32,23.91,24.29,ok,1441843200,588300
174,23.7,23.97,23.68,23.93,ok,1441929600,483200
175,23.79,23.95,23.78,23.87,ok,1442188800,241500
176,24.01,24.05,23.82,23.82,ok,1442275200,409900
177,23.94,24.01,23.8,24.0,ok,1442361600,379300
178,23.29,23.9,23.27,23.81,ok,1442448000,1114600
179,23.92,23.97,23.36,23.39,ok,1442534400,901900
180,24.3,24.34,24.04,24.07,ok,1442793600,660700
181,24.56,24.64,24.47,24.47,ok,1442880000,668400
182,24.35,24.53,24.21,24.46,ok,1442966400,722700
183,24.16,24.19,23.85,24.01,ok,1443052800,686400
184,24.25,24.43,24.23,24.41,ok,1443139200,645800
185,24.13,24.46,24.07,24.46,ok,1443398400,1002700
186,24.05,24.25,23.98,24.25,ok,1443484800,960400
187,24.36,24.45,24.29,24.32,ok,1443571200,573700
188,24.32,24.43,24.23,24.43,ok,1443657600,405200
189,24.25,24.26,23.75,23.83,ok,1443744000,1177000
190,24.34,24.37,24.17,24.19,ok,1444003200,278300
191,23.92,24.2,23.92,24.19,ok,1444089600,434700
192,24.08,24.2,23.98,24.04,ok,1444176000,408600
193,23.95,24.07,23.73,24.06,ok,1444262400,668700
194,23.6,23.68,23.46,23.59,ok,1444348800,478700
195,23.56,23.58,23.49,23.54,ok,1444608000,177700
196,23.46,23.59,23.43,23.5,ok,1444694400,329100
197,23.06,23.37,23.04,23.28,ok,1444780800,695100
198,23.49,23.54,23.33,23.48,ok,1444867200,481300
199,23.59,23.61,23.43,23.53,ok,1444953600,405100
200,23.7,23.78,23.62,23.62,ok,1445212800,347100
201,23.65,23.67,23.54,23.56,ok,1445299200,207400
202,23.66,23.66,23.55,23.62,ok,1445385600,209300
203,24.62,24.62,24.29,24.3,ok,1445472000,1042800
204,25.04,25.1,24.85,24.88,ok,1445558400,978900
205,24.86,25.05,24.78,25.04,ok,1445817600,568800
206,24.89,24.94,24.81,24.86,ok,1445904000,410500
207,25.46,25.54,24.66,24.76,ok,1445990400,830000
208,25.17,25.41,25.14,25.41,ok,1446076800,360100
209,25.09,25.13,24.74,24.93,ok,1446163200,564900
210,24.98,25.04,24.87,24.9,ok,1446422400,690900
211,25.24,25.35,25.21,25.22,ok,1446508800,690200
212,25.72,25.79,25.53,25.6,ok,1446595200,1101000
213,25.62,25.71,25.56,25.59,ok,1446681600,956300
214,26.25,26.37,26.21,26.32,ok,1446768000,2186700
215,26.2,26.34,26.07,26.32,ok,1447027200,744900
216,26.39,26.6,26.36,26.51,ok,1447113600,769700
217,26.25,26.44,26.2,26.2,ok,1447200000,494600
218,25.94,26.32,25.84,26.28,ok,1447286400,1047100
219,26.22,26.39,26.2,26.28,ok,1447372800,545900
220,26.54,26.58,26.34,26.36,ok,1447632000,536700
221,26.73,26.81,26.58,26.67,ok,1447718400,1361700
222,26.71,26.87,26.59,26.66,ok,1447804800,2163700
223,26.28,26.46,26.15,26.32,ok,1447891200,888400
224,26.72,26.74,26.41,26.43,ok,1447977600,558500
225,26.81,26.98,26.67,26.78,ok,1448236800,734800
226,26.72,26.81,26.63,26.7,ok,1448323200,626900
227,26.87,27.11,26.76,27.0,ok,1448409600,693700
228,26.97,27.09,26.94,27.09,ok,1448582400,277900
229,27.12,27.16,27.02,27.06,ok,1448841600,632500
230,26.78,26.93,26.75,26.86,ok,1448928000,605400
231,26.86,27.18,26.81,26.98,ok,1449014400,1246600
232,25.17,25.97,25.02,25.89,ok,1449100800,6202600
233,25.55,25.7,25.19,25.32,ok,1449187200,2293300
234,25.67,25.86,25.59,25.85,ok,1449446400,1080600
235,25.44,25.56,25.39,25.47,ok,1449532800,692600
236,24.85,25.17,24.75,25.07,ok,1449619200,1215700
237,25.19,25.27,25.09,25.14,ok,1449705600,456700
238,24.97,25.11,24.79,24.98,ok,1449792000,705000
239,24.98,24.99,24.7,24.94,ok,1450051200,646400
240,25.27,25.35,25.1,25.1,ok,1450137600,720700
241,25.29,25.42,24.86,25.27,ok,1450224000,1622000
242,25.76,25.84,25.54,25.66,ok,1450310400,708900
243,25.49,25.78,25.49,25.77,ok,1450396800,457500
244,25.27,25.45,25.2,25.42,ok,1450656000,356000
245,25.13,25.15,24.98,25.08,ok,1450742400,423200
246,25.27,25.52,25.27,25.32,ok,1450828800,469000
247,25.12,25.21,25.1,25.21,ok,1450915200,168800
248,25.04,25.1,24.97,25.01,ok,1451260800,309300
249,25.23,25.37,25.19,25.27,ok,1451347200,388000
