,c,h,l,o,s,t,v
0,27.3085,28.0885,27.1985,27.9185,ok,1420156800,11400
1,24.9683,26.0583,24.7383,25.8683,ok,1420416000,24100
2,24.1469,24.9369,24.1469,24.7269,ok,1420502400,26000
3,24.9014,24.9114,24.0514,24.5714,ok,1420588800,20200
4,25.9139,26.2839,25.3939,25.5639,ok,1420675200,42000
5,25.5128,26.2028,24.9728,26.2028,ok,1420761600,33500
6,25.5605,25.8805,25.1305,25.6405,ok,1421020800,11000
7,25.5892,26.5992,25.1692,26.4592,ok,1421107200,39000
8,25.8471,25.8471,25.0871,25.4671,ok,1421193600,12900
9,26.2005,26.5705,25.9305,26.3705,ok,1421280000,26300
10,27.3085,27.4085,26.1185,26.4085,ok,1421366400,56700
11,27.8529,28.2929,27.4529,28.2929,ok,1421712000,71200
12,28.5789,28.5789,27.5889,27.8089,ok,1421798400,76100
13,28.8654,29.1354,28.0954,28.6354,ok,1421884800,152800
14,28.321,29.061,28.251,28.821,ok,1421971200,107900
15,29.7155,29.8955,28.7255,29.0855,ok,1422230400,122100
16,29.6773,29.8673,29.0573,29.6373,ok,1422316800,61000
17,27.9389,29.5889,27.8989,29.3889,ok,1422403200,91700
18,29.429,29.449,28.679,28.779,ok,1422489600,81600
19,28.0344,28.8244,27.9844,28.7744,ok,1422576000,31200
20,28.875,29.005,28.065,28.195,ok,1422835200,37000
21,30.8617,30.9917,29.8117,29.8117,ok,1422921600,126800
22,29.5532,30.5532,29.5332,30.3032,ok,1423008000,57800
23,30.8999,30.9199,30.07,30.3499,ok,1423094400,52000
24,29.4194,30.2194,29.1494,30.2194,ok,1423180800,51800
25,29.0851,29.3351,28.6451,28.8151,ok,1423440000,45600
26,30.0021,30.0521,29.3021,29.4921,ok,1423526400,32100
27,29.4099,29.5099,28.9199,29.4999,ok,1423612800,45200
28,31.2534,31.2734,30.1534,30.1534,ok,1423699200,103600
29,31.5304,31.6404,31.1904,31.6404,ok,1423785600,92800
30,31.6736,31.8536,30.8836,31.3936,ok,1424131200,62100
31,32.0653,32.3353,31.4953,31.7753,ok,1424217600,75100
32,32.0175,32.4075,31.8475,32.0775,ok,1424304000,53400
33,33.1542,33.5442,31.3542,31.7442,ok,1424390400,183700
34,32.7148,32.9748,32.4348,32.5648,ok,1424649600,80100
35,33.4121,33.4821,32.6321,32.7021,ok,1424736000,81800
36,33.498,33.608,33.018,33.608,ok,1424822400,89000
37,33.0109,33.2509,32.8409,33.2209,ok,1424908800,107100
38,33.1446,33.6346,32.9046,33.0246,ok,1424995200,117200
39,33.2401,33.2401,32.8401,33.0101,ok,1425254400,55700
40,32.3709,32.9809,32.0809,32.8809,ok,1425340800,84200
