,c,h,l,o,s,t,v
0,8.0697,8.1797,7.7397,8.0697,ok,1422230400,1274100
1,8.1491,8.3291,7.5991,7.8291,ok,1422316800,326000
2,8.0036,8.3336,7.5436,7.5536,ok,1422403200,1107800
3,8.1359,8.2559,7.6359,7.9159,ok,1422489600,498300
4,7.7192,8.0792,7.6192,7.9592,ok,1422576000,559000
5,7.481,7.691,7.381,7.621,ok,1422835200,967600
6,7.4943,7.6043,6.9343,7.4743,ok,1422921600,858600
7,7.2429,7.4429,7.1129,7.1529,ok,1423008000,1058000
8,7.4678,7.5578,7.1078,7.1078,ok,1423094400,339700
9,7.5935,7.7535,7.4135,7.4435,ok,1423180800,279100
10,7.362,7.552,7.262,7.552,ok,1423440000,311100
11,7.4083,7.4983,7.1283,7.3083,ok,1423526400,84700
12,7.7919,7.8819,7.3019,7.4219,ok,1423612800,345600
13,7.8382,7.8582,7.3882,7.5482,ok,1423699200,400800
14,7.739,7.909,7.489,7.599,ok,1423785600,574400
15,7.8713,8.1513,7.7713,8.0713,ok,1424131200,724100
16,8.0168,8.0768,7.8968,8.0268,ok,1424217600,346700
17,7.9441,8.1441,7.8941,8.1141,ok,1424304000,225600
18,8.1756,8.3556,7.8956,7.9656,ok,1424390400,244300
19,8.202,8.332,8.062,8.182,ok,1424649600,359200
20,8.288,8.498,8.188,8.288,ok,1424736000,257500
21,8.202,8.462,8.202,8.422,ok,1424822400,214300
22,8.1425,8.3225,8.1325,8.3025,ok,1424908800,116500
23,8.116,8.186,7.856,8.136,ok,1424995200,88300
24,7.8911,8.2311,7.7511,8.2311,ok,1425254400,247900
25,7.997,8.087,7.967,8.027,ok,1425340800,82300
26,7.8911,8.2211,7.7511,8.2211,ok,1425427200,129800
27,7.8118,8.0218,7.8118,8.0018,ok,1425513600,64600
28,7.6993,7.9993,7.6693,7.9993,ok,1425600000,188500
29,7.567,7.887,7.487,7.827,ok,1425859200,54200
30,7.3223,7.5023,7.2423,7.4623,ok,1425945600,213800
31,7.534,7.534,6.481,6.894,ok,1426032000,127100
32,7.5935,7.6935,7.4235,7.5435,ok,1426118400,60600
33,7.6199,7.6399,7.3399,7.5299,ok,1426204800,170400
34,7.7125,7.7425,7.5025,7.6125,ok,1426464000,159100
35,7.7787,7.7787,7.5487,7.7487,ok,1426550400,175800
36,7.8911,8.0111,7.5411,7.6411,ok,1426636800,210100
37,7.9573,7.9573,7.6673,7.8273,ok,1426723200,199600
38,8.0367,8.1867,7.9667,8.0567,ok,1426809600,278100
39,8.2086,8.4486,8.2086,8.3886,ok,1427068800,212300
40,8.2417,8.6617,8.2117,8.4617,ok,1427155200,303100
41,8.1359,8.4959,8.1359,8.4359,ok,1427241600,224800
42,8.1954,8.4054,7.8554,7.9854,ok,1427328000,569500
43,8.2946,8.3746,8.0546,8.0546,ok,1427414400,43500
44,8.0367,8.3767,8.0267,8.3567,ok,1427673600,375800
45,7.9771,8.1071,7.7471,7.8371,ok,1427760000,433100
46,8.3409,8.5909,8.1909,8.4209,ok,1427846400,407800
47,8.4798,8.7698,8.4698,8.5598,ok,1427932800,1110200
48,8.5195,8.6695,8.4795,8.6695,ok,1428278400,461200
49,8.4997,8.6497,8.4597,8.5797,ok,1428364800,364500
50,8.5328,8.6078,8.4128,8.4328,ok,1428451200,498900
51,8.4798,8.5698,8.4098,8.5598,ok,1428537600,267500
52,8.7444,8.8244,8.5444,8.7944,ok,1428624000,783000
53,8.7643,8.9143,8.6443,8.8643,ok,1428883200,815400
54,8.9032,8.9032,8.6482,8.8932,ok,1428969600,1413500
55,8.9296,9.2296,8.7096,8.8796,ok,1429056000,1069800
56,8.9693,9.2093,8.8593,9.1693,ok,1429142400,822300
57,8.9892,9.1092,8.8692,8.8692,ok,1429228800,1041800
58,9.1479,9.1579,8.8479,8.9079,ok,1429488000,1258700
59,9.2405,9.4005,9.0705,9.1405,ok,1429574400,711500
60,9.3,9.39,9.2,9.34,ok,1429660800,504600
61,9.1744,9.2944,9.0654,9.1244,ok,1429747200,382500
62,9.0619,9.2719,9.0119,9.2019,ok,1429833600,415000
63,9.1281,9.2881,9.0981,9.1981,ok,1430092800,1204200
64,9.1347,9.2247,9.0247,9.1047,ok,1430179200,628700
65,8.9495,9.3595,8.9195,9.3195,ok,1430265600,584000
66,8.9164,9.8364,8.7964,9.8364,ok,1430352000,907300
67,9.0685,9.1135,8.6185,8.7885,ok,1430438400,842000
68,9.1744,9.2744,9.0944,9.1844,ok,1430697600,308300
69,8.9958,9.3558,8.9758,9.3158,ok,1430784000,781600
70,8.9362,9.0362,8.8062,8.8662,ok,1430870400,1394400
71,8.718,8.948,8.618,8.948,ok,1430956800,1153000
72,8.9759,9.1309,8.7359,8.8659,ok,1431043200,798100
73,8.6254,8.8954,8.5554,8.8554,ok,1431302400,693200
74,8.5923,8.7523,8.4323,8.5223,ok,1431388800,302700
75,8.8569,8.8669,8.5169,8.5469,ok,1431475200,521500
76,9.1281,9.1681,8.9581,9.0781,ok,1431561600,960200
77,9.4059,9.4159,9.1159,9.2159,ok,1431648000,970600
78,9.5314,9.6814,9.3414,9.6314,ok,1431907200,707200
79,9.4099,9.4999,9.3299,9.3399,ok,1431993600,557700
80,9.3829,9.5129,9.2329,9.3529,ok,1432080000,580300
81,9.4032,9.5332,9.3732,9.4232,ok,1432166400,599900
82,9.4167,9.5267,9.3567,9.4167,ok,1432252800,320900
83,9.2344,9.4644,9.2144,9.4444,ok,1432598400,307700
84,9.2412,9.3212,9.1412,9.1512,ok,1432684800,309900
85,9.3222,9.3822,9.1822,9.2522,ok,1432771200,218200
86,9.2209,9.4209,9.1809,9.3509,ok,1432857600,278000
87,9.1467,9.1867,8.8067,9.0967,ok,1433116800,439300
88,9.4032,9.4232,9.0332,9.1432,ok,1433203200,817900
89,9.5112,9.5512,9.4212,9.4212,ok,1433289600,317300
90,9.4639,9.5839,9.3639,9.4839,ok,1433376000,756700
91,9.6124,9.6824,9.2024,9.2924,ok,1433462400,946700
92,9.7137,9.8037,9.4237,9.5637,ok,1433721600,746000
93,9.7812,10.0312,9.4712,9.4812,ok,1433808000,777000
94,10.1052,10.2052,9.6052,9.6852,ok,1433894400,1496500
95,10.1457,10.3057,9.6157,9.7057,ok,1433980800,1358700
96,9.9837,10.1887,9.8737,10.0637,ok,1434067200,353800
97,9.9567,10.1217,9.6467,9.6567,ok,1434326400,404200
98,9.8622,10.0522,9.6922,9.9022,ok,1434412800,747400
99,9.9499,10.1899,9.8699,9.8799,ok,1434499200,416000
100,10.0917,10.3617,10.0517,10.1717,ok,1434585600,921800
101,10.2335,10.2635,10.1235,10.1235,ok,1434672000,821500
102,10.4225,10.4825,10.2225,10.3325,ok,1434931200,366600
103,10.3347,10.4647,10.2147,10.3747,ok,1435017600,549000
104,10.2402,10.5002,10.2302,10.3902,ok,1435104000,238600
105,9.9837,10.4437,9.9637,10.4437,ok,1435190400,473000
106,9.9972,10.2472,9.9322,10.2172,ok,1435276800,651600
107,9.9837,10.1737,9.9767,10.0037,ok,1435536000,254900
108,9.9972,10.1572,9.8472,10.1272,ok,1435622400,177900
109,10.2335,10.3935,10.1535,10.3535,ok,1435708800,654900
110,10.3482,10.4982,10.3082,10.3682,ok,1435795200,226200
111,10.1997,10.3097,10.0297,10.1297,ok,1436140800,221000
112,10.0985,10.1585,9.7585,10.0385,ok,1436227200,172900
113,9.9297,10.0397,9.7997,10.0197,ok,1436313600,304500
114,9.9634,10.2034,9.8734,10.1434,ok,1436400000,325300
115,10.2875,10.5275,10.0675,10.5175,ok,1436486400,1085100
116,10.355,10.545,10.135,10.525,ok,1436745600,800600
117,10.3685,10.5985,10.3685,10.4485,ok,1436832000,363500
118,10.4292,10.6282,10.2992,10.5492,ok,1436918400,801600
119,10.7465,10.7865,10.3865,10.7265,ok,1437004800,1180000
