,c,h,l,o,s,t,v
0,8.3825,8.5925,8.3625,8.5325,ok,1420156800,11800
1,8.3465,8.4665,8.3365,8.3465,ok,1420416000,9500
2,8.5177,8.5177,8.2577,8.3377,ok,1420502400,10500
3,8.3375,8.4275,8.3275,8.3875,ok,1420588800,9400
4,8.4817,8.4917,8.3917,8.3917,ok,1420675200,6100
5,8.4637,8.5137,8.2737,8.4837,ok,1420761600,41200
6,8.4096,8.4696,8.0896,8.4296,ok,1421020800,17700
7,8.2023,8.4723,8.1223,8.4723,ok,1421107200,33200
8,8.1842,8.2342,7.8942,8.2342,ok,1421193600,60000
9,8.1121,8.1421,7.9221,8.0821,ok,1421280000,38600
10,8.2383,8.3083,8.0483,8.0783,ok,1421366400,30300
11,8.3825,8.4225,8.1625,8.2525,ok,1421712000,31400
12,8.3915,8.3915,8.1515,8.1515,ok,1421798400,39200
13,8.2744,8.5244,7.9944,8.5244,ok,1421884800,47000
14,8.0761,8.2961,8.0061,8.2161,ok,1421971200,19200
15,8.1842,8.3242,7.9942,8.0142,ok,1422230400,10000
16,8.1302,8.1602,7.8602,7.9602,ok,1422316800,42600
17,7.9859,8.1359,7.9859,8.1259,ok,1422403200,4800
18,8.0761,8.1161,7.8661,7.9461,ok,1422489600,21700
19,8.0671,8.1171,8.0271,8.1171,ok,1422576000,3500
20,7.9859,8.1559,7.9359,7.9759,ok,1422835200,44600
21,8.1121,8.1121,7.9521,7.9621,ok,1422921600,41200
22,8.1031,8.1131,7.9631,8.1131,ok,1423008000,48700
23,8.1842,8.1842,8.0242,8.0242,ok,1423094400,19200
24,8.0851,8.1151,8.0451,8.1151,ok,1423180800,20800
25,7.6975,8.1275,7.4475,8.0575,ok,1423440000,84500
26,7.6615,7.8715,7.4615,7.6815,ok,1423526400,52100
27,7.5893,7.7193,7.4193,7.6793,ok,1423612800,44400
28,7.7065,7.8465,7.5365,7.5365,ok,1423699200,16800
29,7.9589,8.1589,7.6789,7.7189,ok,1423785600,66700
30,7.9499,8.0899,7.7299,8.0099,ok,1424131200,87800
31,7.8507,8.0207,7.8407,7.9507,ok,1424217600,23600
32,7.8778,8.0178,7.7478,7.8778,ok,1424304000,80200
33,7.7155,8.0055,7.7055,7.9355,ok,1424390400,23500
34,7.8598,7.9598,7.6398,7.6398,ok,1424649600,34400
35,7.8868,7.8868,7.6368,7.7868,ok,1424736000,27700
36,7.8147,7.8947,7.6947,7.6947,ok,1424822400,9200
37,7.7516,7.8716,7.7116,7.7216,ok,1424908800,15800
38,7.8237,8.0537,7.6937,7.7437,ok,1424995200,21600
39,7.6434,7.8734,7.6434,7.8734,ok,1425254400,33300
40,7.6615,7.6715,7.2115,7.4815,ok,1425340800,91500
41,7.6615,7.7315,7.4215,7.7315,ok,1425427200,29100
42,7.5893,7.7193,7.4593,7.6293,ok,1425513600,54100
43,7.4902,7.6102,7.4402,7.5702,ok,1425600000,31200
44,7.4632,7.5132,7.3132,7.5132,ok,1425859200,33900
45,7.4001,7.5201,7.3701,7.3701,ok,1425945600,12800
46,7.364,7.504,7.344,7.374,ok,1426032000,23500
47,7.346,7.496,7.286,7.376,ok,1426118400,14700
48,7.355,7.365,7.295,7.335,ok,1426204800,7600
49,7.2198,7.3098,7.1198,7.2998,ok,1426464000,63400
50,7.6524,7.6524,7.0824,7.2024,ok,1426550400,41100
51,7.6524,7.9224,7.4324,7.9124,ok,1426636800,117700
52,7.9228,7.9328,7.5028,7.7028,ok,1426723200,29700
53,8.0324,8.1724,7.6924,8.0324,ok,1426809600,51200
54,7.9867,8.1067,7.8367,8.1067,ok,1427068800,274400
55,8.0324,8.0324,7.7424,7.8724,ok,1427155200,19000
56,7.8955,8.0755,7.8955,8.0455,ok,1427241600,32500
57,7.9411,7.9611,7.8411,7.9611,ok,1427328000,18600
58,7.9137,7.9537,7.7637,7.9137,ok,1427414400,14900
59,8.0506,8.0806,7.8706,7.9306,ok,1427673600,30600
60,8.0506,8.1006,7.9406,8.0806,ok,1427760000,32700
61,8.3427,8.3727,7.9627,8.0127,ok,1427846400,73200
62,8.8813,8.8813,8.2713,8.3513,ok,1427932800,58500
63,8.717,8.847,8.587,8.817,ok,1428278400,29000
64,8.7352,8.7952,8.6652,8.7652,ok,1428364800,37900
65,8.9178,8.9678,8.7178,8.7678,ok,1428451200,28900
66,8.7991,8.7991,7.9791,8.6591,ok,1428537600,37700
67,8.8356,9.0156,8.8356,8.8756,ok,1428624000,34500
68,9.1094,9.3794,8.8194,8.8294,ok,1428883200,224200
69,8.8174,9.2374,8.8074,9.1974,ok,1428969600,37500
70,8.8904,9.0304,8.8204,8.9304,ok,1429056000,29500
71,8.7809,8.9609,8.5709,8.9609,ok,1429142400,35500
72,8.6348,8.7848,8.6348,8.7148,ok,1429228800,15300
73,8.6804,8.8304,8.6504,8.6504,ok,1429488000,24400
74,8.7717,9.0517,8.5917,8.7317,ok,1429574400,14400
75,8.5983,8.8083,8.5783,8.7883,ok,1429660800,22700
76,8.361,8.681,8.301,8.681,ok,1429747200,29600
77,8.6439,8.6439,8.3939,8.4439,ok,1429833600,17800
78,8.361,8.731,8.361,8.731,ok,1430092800,20600
79,8.4979,8.5379,8.3779,8.5279,ok,1430179200,6700
80,8.3792,8.5492,8.3392,8.5492,ok,1430265600,6100
81,8.4796,8.5196,8.3696,8.4496,ok,1430352000,9700
82,8.6257,8.6257,8.4357,8.4357,ok,1430438400,23700
83,8.6348,8.8148,8.4348,8.6248,ok,1430697600,23700
84,8.6531,8.6631,8.4831,8.6631,ok,1430784000,17400
85,8.1602,8.1602,7.7202,7.9602,ok,1430870400,133300
86,8.0871,8.1371,7.9871,8.0871,ok,1430956800,20200
87,8.3792,8.4592,8.0892,8.1792,ok,1431043200,278800
88,8.4431,8.4931,8.2431,8.4031,ok,1431302400,103100
89,8.0689,8.4989,7.8789,8.4989,ok,1431388800,30200
90,8.0506,8.2006,7.9306,8.0706,ok,1431475200,13300
91,7.9776,8.1476,7.9276,8.1476,ok,1431561600,15500
92,8.0415,8.2215,7.9815,8.0515,ok,1431648000,44800
93,7.9228,8.0928,7.7628,8.0928,ok,1431907200,34900
94,7.8955,8.0255,7.8455,7.8755,ok,1431993600,13500
95,7.803,7.963,7.773,7.933,ok,1432080000,14800
96,7.8123,7.9723,7.8123,7.8623,ok,1432166400,19400
97,8.0249,8.0849,7.8049,7.8149,ok,1432252800,21800
98,8.2838,8.3438,8.0738,8.0738,ok,1432598400,33600
99,8.2098,8.2898,8.1298,8.2898,ok,1432684800,10200
100,8.293,8.313,8.073,8.253,ok,1432771200,8400
101,8.219,8.319,8.149,8.319,ok,1432857600,8100
102,8.2838,8.3238,8.1838,8.2038,ok,1433116800,21500
103,8.2283,8.3183,8.1983,8.2583,ok,1433203200,16200
104,8.2745,8.3645,8.1845,8.2845,ok,1433289600,33300
105,8.2006,8.3006,8.2006,8.2806,ok,1433376000,8400
106,8.3855,8.3855,8.2455,8.2555,ok,1433462400,28800
107,8.2006,8.3506,8.1806,8.3506,ok,1433721600,12300
108,8.2745,8.3245,8.1845,8.2145,ok,1433808000,6200
109,8.2468,8.3268,8.1868,8.2768,ok,1433894400,7900
110,8.293,8.323,8.283,8.323,ok,1433980800,13000
111,8.3762,8.3762,8.2862,8.3162,ok,1434067200,17300
112,8.2006,8.3406,8.1906,8.3406,ok,1434326400,15500
113,8.1913,8.2813,8.1913,8.2213,ok,1434412800,6900
114,8.2006,8.3306,8.1806,8.2706,ok,1434499200,5600
