,c,h,l,o,s,t,v
0,13.5455,13.5955,13.5055,13.5155,ok,1420156800,103800
1,13.131,13.241,13.071,13.241,ok,1420416000,42200
2,13.0076,13.2776,12.9576,13.2076,ok,1420502400,70200
3,13.1751,13.2151,12.9451,13.0551,ok,1420588800,69900
4,13.1575,13.2375,13.0975,13.0975,ok,1420675200,67600
5,13.1663,13.2063,13.0763,13.1063,ok,1420761600,26600
6,13.0869,13.1469,13.0669,13.1069,ok,1421020800,16300
7,13.034,13.154,12.914,13.084,ok,1421107200,54400
8,12.9899,13.0399,12.8899,12.9099,ok,1421193600,87700
9,12.8312,12.8812,12.7812,12.8412,ok,1421280000,77100
10,12.9017,12.9217,12.6517,12.7617,ok,1421366400,36700
11,12.9723,12.9823,12.8823,12.9623,ok,1421712000,264300
12,13.1134,13.1334,12.8434,12.8734,ok,1421798400,82200
13,13.1575,13.1975,13.0075,13.0875,ok,1421884800,170500
14,12.8576,13.0176,12.8576,12.9576,ok,1421971200,51400
15,13.1487,13.1987,13.0087,13.0187,ok,1422230400,63700
16,13.1222,13.1522,13.0422,13.0822,ok,1422316800,122000
17,12.7165,12.9665,12.6965,12.9665,ok,1422403200,50200
18,12.9106,12.9306,12.7306,12.7306,ok,1422489600,34900
19,12.7959,12.9559,12.7959,12.8759,ok,1422576000,67600
20,13.0869,13.1169,12.9069,12.9069,ok,1422835200,59900
21,13.4926,13.5026,13.2826,13.2926,ok,1422921600,39200
22,13.1927,13.3827,13.1827,13.2927,ok,1423008000,83300
23,13.4309,13.4509,13.2509,13.2909,ok,1423094400,35700
24,13.2633,13.4133,13.2333,13.3833,ok,1423180800,19400
25,13.4044,13.4244,13.2544,13.2544,ok,1423440000,17000
26,13.6425,13.6825,13.5425,13.5425,ok,1423526400,39200
27,13.5808,13.6408,13.5008,13.5508,ok,1423612800,47600
28,14.0746,14.0846,13.8646,13.8646,ok,1423699200,68500
29,14.1452,14.1452,14.0352,14.0852,ok,1423785600,99400
30,14.2863,14.2963,14.0663,14.1363,ok,1424131200,50200
31,14.3039,14.3239,14.1739,14.2239,ok,1424217600,35800
32,14.1716,14.2816,14.1716,14.2616,ok,1424304000,24200
33,14.5156,14.5556,14.1556,14.1556,ok,1424390400,47600
34,14.348,14.398,14.278,14.318,ok,1424649600,160200
35,14.4979,14.5079,14.3479,14.3479,ok,1424736000,65700
36,14.4803,14.5203,14.4103,14.5203,ok,1424822400,105600
37,14.3039,14.3739,14.2239,14.3439,ok,1424908800,62500
38,14.3656,14.4356,14.2856,14.3256,ok,1424995200,58500
39,14.3392,14.4592,14.2392,14.4192,ok,1425254400,82200
40,14.2951,14.4251,14.2351,14.4051,ok,1425340800,65100
41,14.0658,14.1258,13.9858,14.1158,ok,1425427200,61600
42,14.2157,14.2457,14.1257,14.1257,ok,1425513600,131600
43,14.1452,14.2452,14.1352,14.1452,ok,1425600000,73500
44,14.1981,14.2381,14.1481,14.2081,ok,1425859200,44300
45,13.7219,13.8619,13.6919,13.8619,ok,1425945600,33000
46,13.6072,13.6772,13.5072,13.6072,ok,1426032000,34300
47,13.7395,13.7595,13.4895,13.4895,ok,1426118400,60700
48,13.6425,13.6725,13.5425,13.6325,ok,1426204800,7900
49,13.7836,13.8236,13.7636,13.7836,ok,1426464000,10800
50,13.7042,13.7642,13.6242,13.7142,ok,1426550400,43500
51,13.8806,13.9406,13.5006,13.5106,ok,1426636800,40600
52,13.7836,13.8436,13.7236,13.7436,ok,1426723200,60100
53,14.0393,14.1293,13.9093,13.9893,ok,1426809600,43100
54,14.2334,14.2834,14.1134,14.1134,ok,1427068800,30900
55,14.2157,14.2957,14.1757,14.2957,ok,1427155200,48300
56,14.1981,14.2781,14.1781,14.2281,ok,1427241600,32600
57,13.9071,14.0671,13.8771,14.0671,ok,1427328000,17100
58,13.8542,13.9042,13.7642,13.8142,ok,1427414400,62300
59,13.9864,14.0464,13.7864,13.8964,ok,1427673600,38700
60,13.9071,13.9671,13.8271,13.8271,ok,1427760000,23200
61,14.1187,14.1787,13.9487,14.0887,ok,1427846400,55700
62,14.3215,14.3715,14.2015,14.2015,ok,1427932800,75000
63,14.4626,14.5826,14.3526,14.3526,ok,1428278400,47500
64,14.3833,14.4933,14.3733,14.3933,ok,1428364800,39300
65,14.4274,14.5074,14.3574,14.4574,ok,1428451200,16100
66,14.3745,14.4545,14.3245,14.3945,ok,1428537600,24900
67,14.3215,14.3515,14.2315,14.2815,ok,1428624000,38100
68,14.3127,14.4327,14.2827,14.3727,ok,1428883200,37500
69,14.4274,14.4674,14.3974,14.4474,ok,1428969600,13500
70,14.5156,14.5556,14.3856,14.4956,ok,1429056000,14400
71,14.542,14.632,14.452,14.562,ok,1429142400,25600
72,14.4097,14.4097,14.2797,14.3597,ok,1429228800,16300
73,14.3745,14.4745,14.2945,14.3645,ok,1429488000,33700
74,14.5596,14.5696,14.2596,14.4596,ok,1429574400,38300
75,14.4538,14.5038,14.3538,14.4438,ok,1429660800,20100
76,14.5773,14.6373,14.3373,14.3473,ok,1429747200,29300
77,14.7096,14.9296,14.5696,14.6096,ok,1429833600,31000
78,14.833,14.933,14.773,14.773,ok,1430092800,55700
79,14.9477,14.9577,14.7877,14.7877,ok,1430179200,32600
80,14.8418,15.0418,14.8218,14.9518,ok,1430265600,17900
81,14.8771,14.9371,14.8471,14.8571,ok,1430352000,28500
82,15.027,15.047,14.857,14.927,ok,1430438400,186700
83,15.0623,15.1323,15.0223,15.0823,ok,1430697600,47200
84,14.9653,15.0653,14.8953,15.0653,ok,1430784000,25900
85,14.9918,15.1218,14.9718,15.0618,ok,1430870400,60600
86,15.221,15.251,15.011,15.061,ok,1430956800,64000
87,15.3886,15.4286,15.2786,15.3486,ok,1431043200,101400
88,15.2563,15.3463,15.2363,15.2563,ok,1431302400,43100
89,15.2651,15.3051,15.2051,15.2051,ok,1431388800,174200
90,15.5385,15.6285,15.4085,15.4085,ok,1431475200,163600
91,15.856,15.926,15.716,15.766,ok,1431561600,253700
92,15.8913,15.9013,15.6413,15.6913,ok,1431648000,121200
93,15.4944,15.5344,15.4044,15.5044,ok,1431907200,94200
94,15.2387,15.2987,15.1887,15.2887,ok,1431993600,248200
95,15.2651,15.2751,15.1751,15.2351,ok,1432080000,53900
96,15.2475,15.2475,15.1075,15.1475,ok,1432166400,68700
97,15.0888,15.1388,15.0588,15.0988,ok,1432252800,117900
98,14.6919,14.8819,14.6419,14.8819,ok,1432598400,108700
99,14.8859,14.8859,14.7359,14.7359,ok,1432684800,42200
100,14.7448,14.7748,14.5448,14.7148,ok,1432771200,99300
101,14.7889,14.8289,14.6489,14.7389,ok,1432857600,43100
102,14.6478,14.8078,14.5378,14.7478,ok,1433116800,219500
103,15.0094,15.1294,14.9194,14.9194,ok,1433203200,88300
104,15.3181,15.3781,15.0981,15.0981,ok,1433289600,43900
105,15.1505,15.4605,15.1205,15.2505,ok,1433376000,82200
106,14.833,15.003,14.743,14.913,ok,1433462400,70900
107,14.7537,14.8537,14.6737,14.7937,ok,1433721600,38600
108,14.7537,14.8237,14.7237,14.7437,ok,1433808000,10100
109,15.1064,15.1164,14.9864,15.0664,ok,1433894400,12100
110,14.9565,14.9765,14.8565,14.9565,ok,1433980800,33500
111,14.7448,14.8048,14.6348,14.6848,ok,1434067200,31200
112,14.5156,14.5456,14.3756,14.4156,ok,1434326400,34200
113,14.5508,14.5508,14.4508,14.4908,ok,1434412800,260500
114,14.4626,14.5426,14.2926,14.5126,ok,1434499200,79700
115,14.6655,14.9455,14.5655,14.5955,ok,1434585600,132900
116,14.5244,14.6644,14.4944,14.6244,ok,1434672000,35200
117,14.93,15.03,14.79,14.8,ok,1434931200,65500
118,14.8242,14.9042,14.8142,14.8642,ok,1435017600,7400
119,14.6919,14.7919,14.6019,14.6019,ok,1435104000,91500
120,14.6839,14.7739,14.6739,14.7639,ok,1435190400,54400
121,14.7196,14.7396,14.6596,14.7396,ok,1435276800,17800
122,14.2203,14.3803,13.7703,14.3403,ok,1435536000,138100
123,14.149,14.389,14.099,14.389,ok,1435622400,229900
124,14.354,14.444,14.274,14.444,ok,1435708800,63600
125,14.2738,14.4138,14.2338,14.3638,ok,1435795200,28000
126,13.8726,14.0526,13.8026,13.9026,ok,1436140800,77200
127,13.9528,13.9728,13.4328,13.6428,ok,1436227200,240300
128,13.8191,13.8791,13.7591,13.8791,ok,1436313600,31400
129,14.0598,14.1398,13.9798,14.1198,ok,1436400000,33600
130,14.5591,14.5691,14.4691,14.4991,ok,1436486400,23700
131,14.5947,14.6347,14.5547,14.6347,ok,1436745600,21700
132,14.6037,14.6337,14.5337,14.6037,ok,1436832000,43200
133,14.4521,14.5121,14.3721,14.4821,ok,1436918400,29700
134,14.568,14.608,14.558,14.558,ok,1437004800,3100
135,14.568,14.598,14.538,14.588,ok,1437091200,15100
136,14.675,14.735,14.645,14.675,ok,1437350400,26100
137,14.675,14.745,14.675,14.685,ok,1437436800,6400
138,14.6126,14.6226,14.5426,14.5826,ok,1437523200,26500
139,14.5858,14.7158,14.5858,14.6758,ok,1437609600,9200
140,14.5323,14.6223,14.5223,14.6023,ok,1437696000,11700
141,14.3986,14.5186,14.3986,14.4986,ok,1437955200,9400
142,14.5947,14.6147,14.4447,14.5247,ok,1438041600,8000
143,14.5145,14.6045,14.4645,14.4945,ok,1438128000,89900
144,14.4164,14.4564,14.2964,14.3764,ok,1438214400,105400
145,14.5947,14.7147,14.5247,14.6747,ok,1438300800,32900
146,14.5323,14.6123,14.4823,14.5823,ok,1438560000,66800
147,14.4432,14.5732,14.3932,14.5432,ok,1438646400,25800
148,14.4699,14.4799,14.4099,14.4099,ok,1438732800,24400
149,14.4343,14.4543,14.3543,14.4343,ok,1438819200,49000
150,14.4699,14.5299,14.3299,14.3299,ok,1438905600,23600
151,14.5769,14.6369,14.4369,14.4369,ok,1439164800,36300
152,14.5234,14.5234,14.4434,14.5134,ok,1439251200,7300
153,14.461,14.501,14.291,14.381,ok,1439337600,30400
154,14.5323,14.5423,14.4223,14.4223,ok,1439424000,14300
155,14.5056,14.5456,14.4456,14.5456,ok,1439510400,6500
156,14.4788,14.4788,14.3488,14.3988,ok,1439769600,16700
157,14.4164,14.4764,14.3664,14.3764,ok,1439856000,15200
158,14.4699,14.5099,14.3299,14.4099,ok,1439942400,5800
159,14.1311,14.3711,14.1311,14.3711,ok,1440028800,18800
160,13.8815,14.1915,13.8715,14.1315,ok,1440115200,89900
161,13.6051,13.9851,13.3151,13.5851,ok,1440374400,132600
162,13.6764,14.0764,13.6064,14.0664,ok,1440460800,75900
163,13.8369,13.8769,13.6169,13.8269,ok,1440547200,64900
164,14.1044,14.1044,13.9444,13.9444,ok,1440633600,46100
165,13.8993,13.9593,13.8193,13.9093,ok,1440720000,63600
166,13.8637,13.9237,13.7737,13.8437,ok,1440979200,39700
167,13.5873,13.6973,13.5373,13.6773,ok,1441065600,139000
168,13.6319,13.6619,13.4819,13.6619,ok,1441152000,31500
169,13.5516,13.6616,13.5316,13.6616,ok,1441238400,105000
170,13.3822,13.4322,13.3122,13.4022,ok,1441324800,51300
171,13.7032,13.7032,13.5932,13.6332,ok,1441670400,17800
172,13.5516,13.8116,13.5316,13.7816,ok,1441756800,34700
173,13.7389,13.7689,13.5989,13.5989,ok,1441843200,10300
174,13.7834,13.7934,13.6634,13.6734,ok,1441929600,15800
175,13.6943,13.6943,13.6043,13.6643,ok,1442188800,16100
176,13.7389,13.7589,13.6189,13.6289,ok,1442275200,36900
177,13.828,13.838,13.768,13.798,ok,1442361600,6900
178,13.9172,14.0272,13.7572,13.7672,ok,1442448000,36800
179,13.5695,13.7495,13.5395,13.6995,ok,1442534400,16300
180,13.3822,13.5422,13.3722,13.5422,ok,1442793600,19100
181,13.1504,13.1804,13.0604,13.1504,ok,1442880000,16600
182,13.195,13.245,13.105,13.195,ok,1442966400,24400
183,13.2128,13.2328,13.0928,13.0928,ok,1443052800,22900
184,13.1772,13.2872,13.1172,13.2272,ok,1443139200,36600
185,12.981,13.111,12.981,13.011,ok,1443398400,16300
186,13.1861,13.2161,13.0461,13.0661,ok,1443484800,14700
187,13.3555,13.3555,13.2355,13.2855,ok,1443571200,15800
188,13.4179,13.4679,13.2679,13.4679,ok,1443657600,12600
189,13.614,13.614,13.424,13.424,ok,1443744000,36500
190,13.8369,13.8369,13.7069,13.7069,ok,1444003200,39600
191,13.9796,13.9796,13.8796,13.9296,ok,1444089600,7400
192,14.1757,14.2057,14.1057,14.2057,ok,1444176000,17800
193,14.256,14.256,14.036,14.036,ok,1444262400,13900
194,14.2827,14.2827,14.2027,14.2727,ok,1444348800,8800
195,14.2827,14.3627,14.2127,14.3127,ok,1444608000,30300
196,14.042,14.132,14.012,14.082,ok,1444694400,385000
197,14.3273,14.3973,14.1973,14.1973,ok,1444780800,359700
198,14.4253,14.4753,14.3353,14.3653,ok,1444867200,42900
199,14.4343,14.4743,14.3743,14.4643,ok,1444953600,455300
200,14.3362,14.3562,14.2562,14.3162,ok,1445212800,33500
201,14.3986,14.4386,14.3386,14.3386,ok,1445299200,127200
202,14.4699,14.5799,14.4399,14.5099,ok,1445385600,328100
203,14.6037,14.6837,14.4037,14.4037,ok,1445472000,31200
204,14.5413,14.5413,14.4513,14.5313,ok,1445558400,36700
205,14.4788,14.5588,14.4588,14.4588,ok,1445817600,33100
206,14.2203,14.3203,14.1803,14.3003,ok,1445904000,91100
207,14.247,14.407,14.147,14.287,ok,1445990400,77700
208,14.2025,14.2125,14.0625,14.0625,ok,1446076800,32500
209,14.247,14.377,14.227,14.287,ok,1446163200,43900
210,14.3897,14.4197,14.3197,14.3697,ok,1446422400,64500
211,14.354,14.384,14.194,14.264,ok,1446508800,42000
212,14.1222,14.2822,14.0722,14.2822,ok,1446595200,36600
213,14.0866,14.1766,14.0266,14.1766,ok,1446681600,19300
214,14.3184,14.3184,14.1684,14.1684,ok,1446768000,53500
215,14.2649,14.2749,14.1949,14.2549,ok,1447027200,23100
216,14.2025,14.2225,14.1125,14.1325,ok,1447113600,10800
217,14.1222,14.2822,14.1122,14.2822,ok,1447200000,30700
218,13.828,13.988,13.818,13.988,ok,1447286400,30800
219,13.7656,13.8556,13.6956,13.7656,ok,1447372800,308700
220,13.8726,13.8726,13.7226,13.7226,ok,1447632000,50300
