,c,h,l,o,s,t,v
0,21.5773,22.0173,21.5173,21.7573,ok,1420156800,1652400
1,20.8029,21.1129,20.7229,21.1029,ok,1420416000,955200
2,20.5741,20.9541,20.5041,20.7741,ok,1420502400,835700
3,20.7765,20.8265,20.4665,20.6165,ok,1420588800,773700
4,21.1549,21.2949,20.9249,20.9449,ok,1420675200,539000
5,20.9877,21.1677,20.7877,21.1677,ok,1420761600,576200
6,21.1109,21.2309,20.8609,21.1409,ok,1421020800,501500
7,21.1813,21.4813,20.9313,21.3813,ok,1421107200,811200
8,21.1813,21.2913,21.0113,21.1213,ok,1421193600,1622100
9,21.1637,21.3537,21.0837,21.2537,ok,1421280000,582200
10,21.5773,21.6073,21.1673,21.1773,ok,1421366400,776500
11,21.7621,21.8221,21.6321,21.8121,ok,1421712000,812400
12,21.9733,21.9733,21.6233,21.6533,ok,1421798400,1023300
13,22.0701,22.1601,21.8001,21.8801,ok,1421884800,595300
14,21.9557,22.1757,21.9257,21.9457,ok,1421971200,2099000
15,22.3605,22.4205,22.0805,22.1505,ok,1422230400,563800
16,22.3429,22.3829,22.1129,22.1929,ok,1422316800,1233600
17,21.7621,22.3221,21.7521,22.2121,ok,1422403200,1370300
18,22.3869,22.3969,22.0569,22.1069,ok,1422489600,1179200
19,21.9557,22.2157,21.9057,22.0957,ok,1422576000,1078400
20,22.2813,22.3013,21.9613,21.9913,ok,1422835200,1144900
21,22.8269,22.8469,22.5169,22.5169,ok,1422921600,1545800
22,22.4045,22.7545,22.3845,22.5745,ok,1423008000,1153900
23,22.8797,22.8997,22.5597,22.6297,ok,1423094400,968100
24,22.3517,22.6617,22.2917,22.5717,ok,1423180800,1217900
25,22.2725,22.3825,22.0525,22.0525,ok,1423440000,445100
26,22.5805,22.6105,22.3605,22.5105,ok,1423526400,358200
27,22.4485,22.5085,22.2985,22.4085,ok,1423612800,747900
28,23.0117,23.0117,22.6917,22.6917,ok,1423699200,803100
29,23.0381,23.0881,22.9181,23.0181,ok,1423785600,748600
30,23.0909,23.1109,22.7409,22.8909,ok,1424131200,868200
31,23.1613,23.2313,22.9713,23.0513,ok,1424217600,778800
32,23.1701,23.3201,23.1501,23.2301,ok,1424304000,486400
33,23.4693,23.5993,22.8293,22.8693,ok,1424390400,987700
34,23.3109,23.3609,23.2409,23.2709,ok,1424649600,819900
35,23.4869,23.5169,23.1669,23.2469,ok,1424736000,429300
36,23.4253,23.4753,23.3253,23.3653,ok,1424822400,593800
37,23.2053,23.2853,23.1553,23.2153,ok,1424908800,294200
38,23.3197,23.4597,23.1997,23.2997,ok,1424995200,359800
39,23.3197,23.3297,23.1897,23.2797,ok,1425254400,352900
40,23.1173,23.2573,23.0273,23.2173,ok,1425340800,224700
41,23.0205,23.0505,22.8405,22.9905,ok,1425427200,329400
42,23.1613,23.2513,23.0613,23.1413,ok,1425513600,300500
43,22.7125,22.9525,22.6925,22.9025,ok,1425600000,595300
44,22.7213,22.7713,22.6213,22.7013,ok,1425859200,409700
45,22.1493,22.3693,22.1293,22.3193,ok,1425945600,553400
46,22.3077,22.4277,22.1677,22.2677,ok,1426032000,593700
