,c,h,l,o,s,t,v
0,49.4913,50.2613,49.2713,50.2613,ok,1420156800,4266300
1,48.8762,49.2762,48.7262,49.2762,ok,1420416000,3945700
2,48.6953,49.0053,48.5453,48.8153,ok,1420502400,2879400
3,49.3104,49.3404,48.9304,49.0104,ok,1420588800,3195200
4,50.2693,50.4393,49.8693,49.8793,ok,1420675200,3626500
5,50.7307,50.9907,50.6207,50.9407,ok,1420761600,3655100
6,50.7397,51.0697,50.6897,51.0697,ok,1421020800,2070100
7,51.183,51.473,50.933,51.273,ok,1421107200,2804800
8,50.8573,51.0873,50.3273,50.3273,ok,1421193600,2399400
9,50.9387,51.2887,50.8687,51.1787,ok,1421280000,2366500
10,50.8664,50.9964,50.4664,50.9764,ok,1421366400,4015300
11,50.8392,50.9092,50.6192,50.8492,ok,1421712000,2853100
12,51.3187,51.4487,50.7887,51.1987,ok,1421798400,2411200
13,51.9067,52.1367,51.1467,51.4367,ok,1421884800,3475600
14,51.9067,52.0967,51.8567,51.9967,ok,1421971200,1835800
15,51.9971,52.0671,51.6771,51.8271,ok,1422230400,1414900
16,51.7891,52.0091,51.6891,52.0091,ok,1422316800,1643900
17,51.6081,52.0581,51.4781,51.9381,ok,1422403200,2711500
18,51.4996,51.5096,51.0396,51.4796,ok,1422489600,2596800
19,50.3417,50.7917,50.3017,50.6117,ok,1422576000,4215200
20,51.183,51.403,50.703,50.763,ok,1422835200,2297700
21,51.5629,51.6229,50.9829,51.2529,ok,1422921600,2773000
22,51.8072,52.0772,51.7271,51.8272,ok,1423008000,1592600
23,51.59,51.64,51.16,51.2,ok,1423094400,1541300
24,50.794,51.054,50.584,51.054,ok,1423180800,1921000
25,50.7668,50.7868,50.4968,50.4968,ok,1423440000,1814200
26,50.396,50.556,50.246,50.426,ok,1423526400,1741200
27,49.7899,50.3199,49.7099,50.1899,ok,1423612800,11404000
28,50.2784,50.3384,49.9584,50.0784,ok,1423699200,2597000
29,50.6854,50.7754,50.4654,50.4654,ok,1423785600,2209300
30,50.595,50.655,50.415,50.475,ok,1424131200,1331600
31,50.6402,50.7302,50.1602,50.1802,ok,1424217600,1490900
32,50.405,50.635,50.255,50.355,ok,1424304000,1590000
33,50.8121,50.9621,50.2721,50.4921,ok,1424390400,2472600
34,50.6583,50.8483,50.5183,50.8283,ok,1424649600,1450300
35,51.0201,51.1401,50.4101,50.6001,ok,1424736000,2121100
36,51.3096,51.3996,51.1296,51.2296,ok,1424822400,2424800
37,51.382,51.492,51.332,51.392,ok,1424908800,1998200
38,51.2282,51.4382,51.1782,51.3882,ok,1424995200,2372900
39,51.6172,51.6372,51.4072,51.5572,ok,1425254400,1718800
40,51.78,51.98,51.76,51.98,ok,1425340800,2783900
41,51.5991,51.7991,51.4391,51.7391,ok,1425427200,2352200
