,c,h,l,o,s,t,v
0,30.7742,31.4142,30.4542,31.3942,ok,1420156800,17765400
1,29.7212,29.9812,29.6212,29.7912,ok,1420416000,22200400
2,30.252,30.482,29.702,30.112,ok,1420502400,21194000
3,31.0701,31.4701,30.8901,31.1201,ok,1420588800,16427500
4,31.5662,31.8662,31.0962,31.2362,ok,1420675200,14081000
5,31.4792,31.6692,31.1692,31.4192,ok,1420761600,9498500
6,30.7394,30.8194,30.4594,30.7594,ok,1421020800,12921000
7,31.0788,31.5288,30.7288,31.1588,ok,1421107200,17157800
8,31.3921,31.5321,30.8421,31.0121,ok,1421193600,15871000
9,30.9222,31.9122,30.9022,31.8122,ok,1421280000,14300900
10,31.9579,31.9579,31.3979,31.4379,ok,1421366400,19665400
11,31.427,31.487,30.947,31.327,ok,1421712000,23278600
12,32.4713,32.6513,31.4113,31.5113,ok,1421798400,16172900
13,32.9935,33.2835,32.4835,33.0535,ok,1421884800,18016300
14,32.0275,32.4875,31.9475,32.4775,ok,1421971200,17658800
15,31.7925,32.1325,31.5925,31.7625,ok,1422230400,12156700
16,32.1754,32.3354,31.2554,31.3454,ok,1422316800,13429600
17,31.3051,31.8851,31.2251,31.6351,ok,1422403200,14606900
18,31.3312,31.5212,30.8612,31.4712,ok,1422489600,14304300
19,29.8604,30.2504,29.7104,29.8804,ok,1422576000,25128300
20,30.2085,30.2785,29.5785,29.6185,ok,1422835200,18088800
21,31.0614,31.1614,30.4714,30.5914,ok,1422921600,17543000
22,30.6524,30.9624,30.0424,30.0924,ok,1423008000,15882800
23,30.8961,31.0961,30.3061,30.3061,ok,1423094400,11428600
24,29.9561,30.1461,29.6961,29.9861,ok,1423180800,19329500
25,30.3391,30.5091,29.6291,29.6291,ok,1423440000,11747800
26,29.4514,29.9714,29.1614,29.9414,ok,1423526400,14339400
27,28.877,29.057,28.337,28.717,ok,1423612800,20615100
28,30.0084,30.0384,29.3984,29.4784,ok,1423699200,17716400
29,30.5044,30.5544,30.0144,30.0144,ok,1423785600,15122100
30,30.7829,30.8229,30.0029,30.5729,ok,1424131200,8047900
31,30.8003,31.0603,30.4203,30.6503,ok,1424217600,12806100
32,30.4435,30.7835,30.1335,30.3835,ok,1424304000,9627600
33,30.3391,30.4691,29.8891,30.1191,ok,1424390400,12997900
34,30.2433,30.6333,30.0833,30.5433,ok,1424649600,15338700
35,31.1311,31.2211,29.8711,30.1511,ok,1424736000,17534700
36,30.5828,30.7828,30.1428,30.3928,ok,1424822400,16186200
37,30.3913,30.6113,30.2013,30.4113,ok,1424908800,12893000
38,30.7916,31.3716,30.5016,30.5916,ok,1424995200,19928900
39,30.0258,30.7158,29.8358,30.6758,ok,1425254400,16440700
40,29.7908,30.2508,29.7308,29.9008,ok,1425340800,14316600
41,28.9466,29.1566,28.5866,29.0466,ok,1425427200,20143100
42,28.5462,28.7562,28.2862,28.7462,ok,1425513600,17310900
43,27.7891,28.0891,27.6691,27.9691,ok,1425600000,19746400
44,26.7795,27.4995,26.7495,27.4595,ok,1425859200,19967200
45,26.5097,26.9697,26.3397,26.8597,ok,1425945600,24304600
46,26.6402,26.8502,26.2002,26.3402,ok,1426032000,16183600
47,26.4227,27.2827,26.3027,27.2127,ok,1426118400,18716600
48,25.5088,25.7188,25.0188,25.6888,ok,1426204800,25330200
49,25.6916,26.1016,25.5116,25.9816,ok,1426464000,16971300
50,26.5097,26.5597,25.2697,25.3097,ok,1426550400,29042200
51,27.2756,27.5056,26.0156,26.1456,ok,1426636800,27873700
52,26.3008,27.0608,26.1308,26.8908,ok,1426723200,18311000
