,c,h,l,o,s,t,v
0,4.16,4.2,4.07,4.17,ok,1420156800,67600
1,4.1,4.26,4.09,4.21,ok,1420416000,103500
2,4.02,4.13,3.96,4.1,ok,1420502400,93800
3,4.04,4.1,4.0,4.1,ok,1420588800,89900
4,4.08,4.11,4.06,4.1,ok,1420675200,35000
5,4.07,4.13,3.97,4.13,ok,1420761600,73800
6,4.02,4.11,4.0,4.1,ok,1421020800,53300
7,3.97,4.1,3.91,4.04,ok,1421107200,124200
8,4.07,4.08,4.0,4.02,ok,1421193600,105800
9,3.99,4.07,3.91,4.07,ok,1421280000,82800
10,4.06,4.07,3.96,4.0,ok,1421366400,57900
11,4.11,4.28,4.02,4.28,ok,1421712000,131200
12,4.06,4.1,4.02,4.1,ok,1421798400,63700
13,4.06,4.11,3.96,4.11,ok,1421884800,64900
14,4.09,4.1,3.97,4.05,ok,1421971200,68300
15,4.07,4.11,4.0,4.1,ok,1422230400,84400
16,4.09,4.09,3.98,4.04,ok,1422316800,109600
17,3.94,4.08,3.93,4.08,ok,1422403200,110200
18,3.92,3.93,3.83,3.91,ok,1422489600,110400
19,3.87,3.95,3.82,3.86,ok,1422576000,58900
20,3.81,3.88,3.77,3.86,ok,1422835200,80300
21,3.88,3.97,3.83,3.86,ok,1422921600,54600
22,3.93,3.95,3.81,3.83,ok,1423008000,69400
23,3.88,3.97,3.77,3.97,ok,1423094400,101700
24,4.02,4.05,3.95,3.95,ok,1423180800,126400
25,4.06,4.08,4.0,4.0,ok,1423440000,81700
26,4.06,4.14,4.03,4.11,ok,1423526400,92900
27,4.06,4.13,4.01,4.08,ok,1423612800,87100
28,4.07,4.09,4.03,4.06,ok,1423699200,55000
29,4.19,4.23,4.06,4.07,ok,1423785600,146300
30,4.39,4.49,4.23,4.29,ok,1424131200,189900
31,4.44,4.46,4.34,4.43,ok,1424217600,100600
32,4.58,4.6,4.42,4.47,ok,1424304000,110500
33,4.5,4.64,4.46,4.6,ok,1424390400,74600
34,4.46,4.62,4.43,4.48,ok,1424649600,85600
35,4.46,4.59,4.42,4.5,ok,1424736000,46300
36,4.45,4.53,4.43,4.49,ok,1424822400,76400
37,4.47,4.48,4.38,4.47,ok,1424908800,78400
38,4.4,4.55,4.32,4.49,ok,1424995200,78800
39,4.5,4.54,4.31,4.37,ok,1425254400,119200
40,4.52,4.58,4.37,4.5,ok,1425340800,83000
41,4.57,4.57,4.49,4.54,ok,1425427200,62000
42,4.5,4.62,4.43,4.59,ok,1425513600,79000
43,4.47,4.54,4.42,4.46,ok,1425600000,56000
44,4.47,4.56,4.37,4.56,ok,1425859200,67200
45,4.38,4.45,4.31,4.45,ok,1425945600,51300
46,4.4,4.44,4.37,4.38,ok,1426032000,25700
47,4.39,4.44,4.31,4.44,ok,1426118400,46000
48,4.3,4.44,4.26,4.41,ok,1426204800,63100
49,4.32,4.44,4.24,4.3,ok,1426464000,109200
50,4.36,4.4,4.27,4.31,ok,1426550400,54000
51,4.33,4.41,4.26,4.41,ok,1426636800,48400
52,4.35,4.42,4.29,4.3,ok,1426723200,49500
53,4.3,4.41,4.3,4.4,ok,1426809600,51300
54,4.35,4.4,4.27,4.3,ok,1427068800,52100
55,4.36,4.42,4.33,4.36,ok,1427155200,37700
56,4.15,4.41,4.02,4.36,ok,1427241600,108300
57,4.07,4.25,3.92,4.25,ok,1427328000,96900
58,4.03,4.11,3.98,4.1,ok,1427414400,61500
59,3.97,4.13,3.96,4.07,ok,1427673600,66200
60,3.95,4.04,3.84,3.95,ok,1427760000,77900
61,3.85,3.94,3.8,3.92,ok,1427846400,67400
62,3.85,3.88,3.81,3.84,ok,1427932800,41800
63,3.98,4.06,3.79,3.79,ok,1428278400,75900
64,4.02,4.07,3.96,4.01,ok,1428364800,43100
65,4.02,4.05,3.95,4.04,ok,1428451200,54100
66,4.1,4.13,4.03,4.05,ok,1428537600,39000
67,4.14,4.16,4.07,4.14,ok,1428624000,50600
68,4.2,4.21,4.06,4.17,ok,1428883200,52800
69,4.09,4.23,4.05,4.23,ok,1428969600,44800
70,4.07,4.14,4.07,4.07,ok,1429056000,29700
71,4.06,4.1,4.02,4.1,ok,1429142400,23400
72,3.99,4.09,3.95,4.02,ok,1429228800,38300
73,4.06,4.09,3.96,4.09,ok,1429488000,51400
74,4.08,4.1,4.02,4.1,ok,1429574400,26400
75,4.04,4.1,3.99,4.1,ok,1429660800,29100
76,4.08,4.09,3.95,4.01,ok,1429747200,44100
77,4.16,4.16,4.01,4.1,ok,1429833600,44900
78,4.05,4.17,4.01,4.17,ok,1430092800,34100
79,4.07,4.09,3.99,4.07,ok,1430179200,24300
80,4.04,4.07,4.01,4.05,ok,1430265600,53300
81,3.96,4.08,3.95,4.05,ok,1430352000,63400
82,3.97,4.04,3.95,4.0,ok,1430438400,46000
83,4.06,4.15,3.94,3.97,ok,1430697600,220300
84,4.07,4.14,3.99,4.09,ok,1430784000,52400
85,4.39,4.39,4.06,4.06,ok,1430870400,91700
86,4.4,4.44,4.27,4.27,ok,1430956800,50500
87,3.93,4.37,3.9,4.34,ok,1431043200,216100
88,3.86,4.05,3.86,3.87,ok,1431302400,94700
89,3.95,4.1,3.9,4.02,ok,1431388800,99900
90,3.9,3.94,3.86,3.92,ok,1431475200,31600
91,4.04,4.09,3.9,3.9,ok,1431561600,60500
92,4.02,4.07,4.01,4.03,ok,1431648000,33200
93,3.99,4.06,3.93,3.98,ok,1431907200,34000
94,4.1,4.14,3.98,4.02,ok,1431993600,92800
95,4.03,4.14,4.0,4.14,ok,1432080000,42300
96,4.03,4.09,4.01,4.02,ok,1432166400,33500
