,c,h,l,o,s,t,v
0,11.66,11.93,11.5,11.85,ok,1420156800,246600
1,11.49,11.83,11.41,11.55,ok,1420416000,271700
2,11.25,11.57,11.15,11.57,ok,1420502400,385700
3,11.42,11.48,11.22,11.3,ok,1420588800,428100
4,11.95,11.99,11.38,11.47,ok,1420675200,621500
5,11.51,11.89,11.41,11.89,ok,1420761600,295100
6,11.58,11.62,11.4,11.56,ok,1421020800,286800
7,11.87,12.05,11.65,11.68,ok,1421107200,577800
8,12.07,12.11,11.62,11.69,ok,1421193600,297700
9,12.04,12.26,11.91,12.1,ok,1421280000,676700
10,12.08,12.09,11.92,12.01,ok,1421366400,313900
11,11.82,12.21,11.82,12.14,ok,1421712000,318200
12,11.58,12.05,11.41,11.81,ok,1421798400,703500
13,11.94,12.05,11.42,11.59,ok,1421884800,341200
14,12.23,12.23,11.96,11.96,ok,1421971200,374900
15,12.25,12.35,12.0,12.19,ok,1422230400,346300
16,11.62,12.18,11.57,12.09,ok,1422316800,391200
17,10.34,11.12,10.22,10.71,ok,1422403200,2016900
18,10.46,10.58,9.95,10.4,ok,1422489600,1146600
19,10.31,10.54,10.26,10.31,ok,1422576000,640300
20,10.0,10.38,9.82,10.31,ok,1422835200,738000
21,10.37,10.41,9.95,9.95,ok,1422921600,764200
22,10.32,10.63,10.28,10.34,ok,1423008000,348200
23,10.26,10.39,10.11,10.37,ok,1423094400,399300
24,10.51,10.54,10.2,10.26,ok,1423180800,762800
25,10.27,10.62,10.16,10.5,ok,1423440000,313600
26,10.06,10.34,9.99,10.34,ok,1423526400,474300
27,9.92,10.15,9.91,10.07,ok,1423612800,182900
28,10.25,10.27,10.0,10.01,ok,1423699200,204900
29,9.96,10.35,9.94,10.26,ok,1423785600,316300
30,10.14,10.19,9.92,9.92,ok,1424131200,165700
31,10.01,10.14,9.89,10.12,ok,1424217600,194700
32,10.36,10.42,9.96,9.96,ok,1424304000,288000
33,10.37,10.43,10.23,10.36,ok,1424390400,394600
34,10.43,10.45,10.23,10.38,ok,1424649600,284900
35,10.19,10.57,10.17,10.44,ok,1424736000,364700
36,10.32,10.4,10.15,10.15,ok,1424822400,312100
