,c,h,l,o,s,t,v
0,20.5616,20.5616,20.4616,20.5616,ok,1423008000,3700
1,20.3519,20.6019,20.3519,20.5919,ok,1423094400,8300
2,20.3053,20.5653,20.0853,20.0853,ok,1423180800,6200
3,20.3596,20.3996,20.3596,20.3996,ok,1423440000,1700
4,20.3441,20.4021,20.2341,20.2341,ok,1423526400,42600
5,20.3363,20.3853,20.1963,20.3563,ok,1423612800,5700
6,20.4295,20.4295,20.2595,20.2595,ok,1423699200,32400
7,20.4295,20.4295,20.4195,20.4295,ok,1423785600,5100
8,20.4295,20.4295,20.4195,20.4295,ok,1424131200,6600
9,20.313,20.353,20.213,20.303,ok,1424217600,7500
10,20.4218,20.4318,20.3768,20.4118,ok,1424304000,5800
11,20.4295,20.4295,20.3795,20.4285,ok,1424390400,27300
12,20.4684,20.4984,20.4424,20.4984,ok,1424649600,7500
13,20.4373,20.5563,20.4373,20.4473,ok,1424736000,1200
14,20.4546,20.4746,20.4246,20.4746,ok,1424822400,4600
15,20.3916,20.4816,20.3916,20.4816,ok,1424908800,5300
16,20.6908,20.8008,20.3518,20.4008,ok,1424995200,15900
17,20.7066,20.8066,20.5366,20.5366,ok,1425254400,6700
18,20.7223,20.8023,20.5923,20.8023,ok,1425340800,4400
19,20.7617,20.7717,20.2437,20.2437,ok,1425427200,1500
20,20.8097,20.8097,20.7787,20.7787,ok,1425513600,1200
21,20.6672,20.7472,20.4672,20.7472,ok,1425600000,90100
22,20.6278,20.6678,20.5278,20.5878,ok,1425859200,9700
23,20.7696,20.7696,20.5096,20.5096,ok,1425945600,8400
24,20.7459,20.8559,20.7259,20.7339,ok,1426032000,4200
25,20.7459,20.8859,20.3959,20.8859,ok,1426118400,4800
26,20.7066,20.7666,20.7066,20.7166,ok,1426204800,2200
27,20.7381,20.8681,20.7181,20.8681,ok,1426464000,1600
28,20.7231,20.8081,20.6321,20.8081,ok,1426550400,2400
29,20.683,20.853,20.633,20.683,ok,1426636800,4500
30,20.5334,20.8434,20.5334,20.6334,ok,1426723200,5300
31,20.3523,20.6523,20.3523,20.6523,ok,1426809600,2100
32,20.3759,20.6959,20.3759,20.6859,ok,1427068800,5700
33,20.5806,20.6106,20.5506,20.5506,ok,1427155200,2200
34,20.5334,20.8134,20.5334,20.8134,ok,1427241600,4100
35,20.5885,20.7655,20.5885,20.7655,ok,1427328000,2000
36,20.6908,20.7308,20.5508,20.6608,ok,1427414400,7900
37,20.5727,20.7527,20.5727,20.6627,ok,1427673600,11600
38,20.5885,20.6085,20.5555,20.5885,ok,1427760000,6900
39,20.5097,20.6687,20.5097,20.6687,ok,1427846400,1800
40,20.557,20.597,20.557,20.577,ok,1427932800,1100
41,20.5491,20.6691,20.5491,20.6691,ok,1428278400,3100
