,c,h,l,o,s,t,v
0,20.2276,20.6976,20.0626,20.4526,ok,1420156800,2682800
1,19.8819,20.2169,19.7869,20.1619,ok,1420416000,3823800
2,19.5405,19.9955,19.2455,19.9855,ok,1420502400,3576400
3,19.4125,19.6725,19.2325,19.5375,ok,1420588800,4293800
4,19.852,19.862,19.502,19.572,ok,1420675200,3184000
5,19.6259,19.9259,19.6109,19.8659,ok,1420761600,4170400
6,19.485,19.78,19.32,19.6,ok,1421020800,2845800
7,19.5789,20.1539,19.2939,19.6339,ok,1421107200,5817200
8,19.1735,19.5885,18.8985,19.4835,ok,1421193600,8673200
9,18.7724,19.8074,18.7024,19.3124,ok,1421280000,9897000
10,19.3101,19.3351,18.5451,18.6551,ok,1421366400,6536200
11,19.3741,19.5141,19.1441,19.3291,ok,1421712000,4336600
12,19.5747,19.6597,19.1547,19.2397,ok,1421798400,3230200
13,19.8222,19.9322,19.3922,19.6722,ok,1421884800,3166200
14,19.7539,20.0039,19.7139,19.8589,ok,1421971200,2904600
15,19.6728,19.8978,19.6278,19.7478,ok,1422230400,2557400
16,19.3741,19.4091,19.0141,19.4091,ok,1422316800,3359200
17,19.2066,19.5866,19.1766,19.4816,ok,1422403200,3602200
18,19.3183,19.3883,18.9283,19.0933,ok,1422489600,4510600
19,19.0649,19.4249,18.9999,19.1799,ok,1422576000,5082600
20,19.3097,19.3997,18.8097,19.0397,ok,1422835200,5426800
21,19.6575,19.6725,19.3825,19.4125,ok,1422921600,3721000
22,18.1289,19.3439,18.0389,19.3389,ok,1423008000,18199600
23,18.0602,18.2152,17.8552,18.0902,ok,1423094400,9580000
24,18.1804,18.3454,17.9354,18.1254,ok,1423180800,8371200
25,18.146,18.426,18.086,18.111,ok,1423440000,4964600
26,18.2534,18.3084,17.8784,18.3084,ok,1423526400,5251000
27,18.1203,18.3303,18.0653,18.2253,ok,1423612800,5272600
28,18.1374,18.1874,17.5074,18.1074,ok,1423699200,11185800
29,18.2491,18.6491,18.1191,18.2391,ok,1423785600,8728600
30,18.2963,18.4163,18.1613,18.2563,ok,1424131200,5629600
31,18.4895,18.6145,18.2495,18.2695,ok,1424217600,4381600
32,18.4466,18.6416,18.4216,18.4816,ok,1424304000,3911400
33,18.365,18.445,18.225,18.445,ok,1424390400,5296400
34,18.1246,18.4596,18.0846,18.3946,ok,1424649600,4502600
35,18.0773,18.1973,17.9373,18.1273,ok,1424736000,7368600
36,18.219,18.264,17.984,18.074,ok,1424822400,8608800
37,18.1246,18.2746,18.0996,18.2596,ok,1424908800,3142400
38,17.8412,18.2962,17.8362,18.2562,ok,1424995200,4820400
39,17.8197,17.8447,17.5347,17.8197,ok,1425254400,15282800
40,17.6479,17.8679,17.6129,17.7379,ok,1425340800,15703600
41,17.0983,17.3833,16.9183,17.1833,ok,1425427200,20691800
42,17.4418,17.5068,16.9368,17.0118,ok,1425513600,11060200
43,17.4118,17.4868,17.2018,17.2918,ok,1425600000,7186800
44,17.5492,17.6192,17.2492,17.3642,ok,1425859200,5542600
45,17.4332,17.6532,17.1832,17.3982,ok,1425945600,7328000
46,17.3559,17.591,17.301,17.5009,ok,1426032000,7978800
47,17.605,17.63,17.27,17.505,ok,1426118400,6999800
48,17.532,17.717,17.227,17.717,ok,1426204800,4966400
49,17.7596,17.8046,17.4796,17.5396,ok,1426464000,4231000
50,18.2877,18.7427,17.5277,17.5277,ok,1426550400,15953000
51,18.3994,18.4444,18.0294,18.2244,ok,1426636800,9130600
52,18.2362,18.4062,18.1312,18.3862,ok,1426723200,5054000
53,18.1632,18.4932,18.0882,18.4182,ok,1426809600,10810400
54,18.1289,18.2939,17.9689,18.1739,ok,1427068800,9461400
55,18.2018,18.4318,18.0819,18.0819,ok,1427155200,5745400
56,17.9872,18.3922,17.9872,18.3322,ok,1427241600,6187600
57,17.8025,18.0325,17.7475,17.9125,ok,1427328000,4455400
58,17.678,17.848,17.603,17.743,ok,1427414400,3559600
59,17.9485,18.0435,17.7085,17.7435,ok,1427673600,3156200
60,17.7939,17.9889,17.7489,17.9089,ok,1427760000,3410400
61,17.7081,17.8631,17.5581,17.7331,ok,1427846400,4101600
62,17.6265,17.8115,17.5915,17.7515,ok,1427932800,4071000
63,17.6608,17.7808,17.5108,17.5608,ok,1428278400,5209600
64,17.3259,17.6959,17.1809,17.5009,ok,1428364800,6899000
65,17.3731,17.4831,17.2631,17.3181,ok,1428451200,4347600
66,17.3388,17.4538,17.1588,17.4088,ok,1428537600,4810600
