,c,h,l,o,s,t,v
0,13.8036,13.9836,13.8036,13.9836,ok,1420156800,900
1,13.6509,13.9009,13.3509,13.8109,ok,1420416000,30200
2,13.3931,13.7931,13.3931,13.6131,ok,1420502400,1400
3,13.5554,13.5554,13.5554,13.5554,ok,1420588800,700
4,13.9373,13.9373,13.8372,13.8372,ok,1420761600,700
5,13.565,13.955,13.355,13.955,ok,1421020800,5900
6,13.5554,13.5554,13.3554,13.3554,ok,1421107200,400
7,13.3645,13.4645,13.1045,13.4245,ok,1421712000,15100
8,13.2881,13.2881,13.2881,13.2881,ok,1421798400,100
9,13.3645,13.3645,13.1645,13.3445,ok,1421884800,4400
10,13.3645,13.3645,13.3645,13.3645,ok,1421971200,500
11,13.1927,13.3727,13.1927,13.2827,ok,1422230400,1300
12,13.1736,13.3736,13.1736,13.3636,ok,1422316800,700
13,13.2213,13.2213,13.1713,13.1713,ok,1422403200,2200
14,13.2404,13.3704,13.2404,13.3704,ok,1422489600,800
15,13.3168,13.3168,13.3168,13.3168,ok,1422576000,2100
16,13.1736,13.3736,13.1736,13.3436,ok,1422835200,8000
17,13.2118,13.3718,13.2018,13.2018,ok,1422921600,1300
18,13.6318,14.0918,13.3518,13.3518,ok,1423008000,5500
19,13.8895,13.8895,13.6095,13.6095,ok,1423094400,1900
20,13.565,13.785,13.455,13.625,ok,1423180800,19500
21,13.4695,13.5295,13.2695,13.5095,ok,1423440000,35700
22,13.9265,14.1665,13.2765,13.4265,ok,1423526400,67800
23,14.118,14.868,14.118,14.868,ok,1423612800,1400
24,13.7638,13.8138,13.4438,13.7838,ok,1423699200,49200
25,14.0605,14.6305,13.8705,14.0805,ok,1423785600,1700
26,14.5487,14.8387,14.0887,14.0887,ok,1424131200,3100
27,14.5678,14.8478,14.0578,14.8478,ok,1424217600,11100
28,14.185,14.185,14.185,14.185,ok,1424390400,800
29,14.0988,14.5888,14.0988,14.2788,ok,1424649600,2000
30,13.9552,13.9552,13.9552,13.9552,ok,1424822400,200
31,14.0222,14.0222,14.0222,14.0222,ok,1424908800,100
32,13.5245,14.0145,13.4245,14.0145,ok,1424995200,34800
33,13.8308,13.8808,13.5308,13.6608,ok,1425254400,19000
34,13.9552,13.9752,13.7752,13.7752,ok,1425340800,16200
35,14.1275,14.4875,13.7675,13.8675,ok,1425427200,39800
36,14.5008,14.5708,14.3508,14.3508,ok,1425513600,3500
37,14.5965,15.2665,14.3465,14.3465,ok,1425600000,4200
38,14.9507,16.6607,14.9507,16.0307,ok,1425859200,8100
39,15.9557,16.2857,15.7157,16.2857,ok,1425945600,3500
40,16.0227,16.2827,15.4927,16.2827,ok,1426032000,2100
41,15.6494,15.8994,15.5094,15.8994,ok,1426118400,1200
42,15.7738,15.8638,15.4238,15.8638,ok,1426204800,1500
43,16.2715,16.6015,15.4715,16.2715,ok,1426464000,6900
44,16.4343,16.7443,16.0143,16.7443,ok,1426550400,1300
45,15.659,16.099,15.459,15.629,ok,1426636800,1900
46,15.6781,15.6781,15.6781,15.6781,ok,1426723200,900
47,15.8408,15.8408,14.8208,14.9308,ok,1426809600,2100
