,c,h,l,o,s,t,v
0,102.3596,103.6196,101.6496,102.4096,ok,1420156800,194000
1,102.7192,103.4392,101.3892,101.8592,ok,1420416000,207600
2,101.061,103.491,99.911,103.041,ok,1420502400,437700
3,104.1077,104.1277,102.1677,102.4777,ok,1420588800,245400
4,105.3464,105.5064,104.3364,105.2764,ok,1420675200,313100
5,104.8769,105.7669,104.0969,105.7669,ok,1420761600,269900
6,106.0756,106.7856,105.2956,105.8856,ok,1421020800,226700
7,106.9447,109.1447,105.7747,107.4947,ok,1421107200,425500
8,107.1245,107.3945,105.3545,105.9745,ok,1421193600,305900
9,105.0267,107.9268,104.8867,107.9268,ok,1421280000,225900
10,107.3742,107.4542,104.8842,105.0742,ok,1421366400,223100
11,109.1223,109.5123,106.4623,107.9823,ok,1421712000,195600
12,107.8237,109.8037,107.4637,108.7537,ok,1421798400,217200
13,108.8227,108.8227,105.2927,108.3827,ok,1421884800,204200
14,109.3921,109.5321,108.082,108.622,ok,1421971200,206200
15,111.26,111.5,109.01,109.88,ok,1422230400,261600
16,111.4798,112.3098,109.9798,110.1198,ok,1422316800,315700
17,108.8227,112.4327,108.5727,112.4327,ok,1422403200,266800
18,109.9415,109.9415,107.0815,108.7815,ok,1422489600,190100
19,109.7816,112.3316,109.6116,110.6016,ok,1422576000,237100
20,109.0224,110.5824,107.4524,110.4724,ok,1422835200,202400
21,107.7338,109.5438,105.3438,109.5338,ok,1422921600,272000
22,105.9757,106.6457,103.3757,105.2457,ok,1423008000,299500
23,108.4331,108.6331,106.2831,106.8231,ok,1423094400,250000
24,106.8848,109.1348,106.4348,108.8848,ok,1423180800,208500
25,106.1755,107.6155,106.0455,106.2455,ok,1423440000,148500
26,107.7238,108.0238,106.4838,107.1838,ok,1423526400,156600
27,107.574,108.884,106.544,107.494,ok,1423612800,189200
28,109.0724,109.0824,107.5124,108.4524,ok,1423699200,205500
29,110.0913,110.0913,108.3813,109.3513,ok,1423785600,170600
30,110.9204,111.5504,110.1104,110.3604,ok,1424131200,254300
31,112.209,112.209,110.499,110.959,ok,1424217600,187900
32,112.8283,113.2383,111.8483,112.6483,ok,1424304000,247100
33,114.2968,114.2968,112.5868,113.0068,ok,1424390400,254100
34,115.3356,116.8756,114.5756,114.7456,ok,1424649600,318400
35,114.047,115.337,112.897,115.337,ok,1424736000,260400
36,116.2147,116.9747,112.8947,114.1447,ok,1424822400,272800
37,116.0349,116.3149,114.2849,116.3149,ok,1424908800,199800
38,115.1059,116.0359,114.4959,115.8659,ok,1424995200,219100
39,115.8351,115.8351,114.7951,115.3751,ok,1425254400,262000
40,115.8651,115.9351,114.2151,115.5451,ok,1425340800,222200
41,117.4134,117.8334,114.7734,115.6334,ok,1425427200,177800
42,120.0805,121.0805,118.7905,119.1505,ok,1425513600,263000
43,118.5422,120.3222,118.2522,120.3222,ok,1425600000,271100
44,118.2325,118.8425,117.1125,118.5425,ok,1425859200,155500
45,118.4623,119.8223,116.3723,117.4223,ok,1425945600,207900
46,119.1815,119.5715,117.6615,118.8715,ok,1426032000,193800
47,120.2903,120.3103,118.9003,119.8803,ok,1426118400,209400
48,120.7398,121.7098,119.4598,120.4198,ok,1426204800,248800
49,123.5468,123.7968,121.2868,121.8668,ok,1426464000,235800
50,123.7965,124.3065,122.4665,123.5365,ok,1426550400,271300
51,123.6367,124.2767,121.8767,123.5067,ok,1426636800,298800
52,125.8443,126.1943,123.8743,124.2443,ok,1426723200,291600
53,125.5746,128.0546,124.9046,127.8446,ok,1426809600,302200
54,123.2071,124.4671,122.3772,124.3472,ok,1427068800,333000
55,122.0983,124.1683,121.9883,123.2583,ok,1427155200,241700
56,116.76,122.42,116.57,121.99,ok,1427241600,549700
57,116.3803,117.7603,113.3203,114.1303,ok,1427328000,427200
58,119.5381,119.9681,117.0881,117.0881,ok,1427414400,217300
59,120.8172,121.6572,119.2472,120.9172,ok,1427673600,245000
60,118.149,120.329,118.029,119.999,ok,1427760000,168200
61,117.0598,118.0898,114.6698,117.9098,ok,1427846400,371300
62,116.5202,117.5502,116.0402,117.1802,ok,1427932800,120700
63,116.3903,117.4202,115.6202,115.7402,ok,1428278400,151300
64,116.9299,119.0799,116.0999,116.4999,ok,1428364800,193800
65,118.9085,119.7285,117.2885,117.2885,ok,1428451200,139700
66,119.3582,120.1782,117.7882,119.1782,ok,1428537600,186000
67,120.9072,121.3672,119.3572,119.4972,ok,1428624000,109200
