,c,h,l,o,s,t,v
0,16.3546,16.4546,16.3546,16.4546,ok,1475107200,1500
1,16.436,16.436,16.436,16.436,ok,1475452800,1000
2,16.4035,16.4035,16.4035,16.4035,ok,1475625600,2500
3,16.436,16.436,16.436,16.436,ok,1475712000,300
4,16.6638,17.1338,16.4638,16.4638,ok,1476057600,5000
5,16.3384,16.3384,16.3384,16.3384,ok,1476144000,500
6,16.2375,16.3805,16.2365,16.3805,ok,1476230400,5000
7,16.1919,16.2519,16.1829,16.2319,ok,1476316800,1300
8,16.2082,16.2082,16.1882,16.1882,ok,1476403200,3200
9,16.135,16.135,16.135,16.135,ok,1476662400,800
10,16.0943,16.0943,16.0443,16.0943,ok,1476748800,3900
11,16.1594,16.1894,16.0874,16.0874,ok,1476921600,1900
12,16.179,16.205,16.179,16.205,ok,1477008000,800
13,16.233,16.273,16.233,16.273,ok,1477353600,2100
14,16.1757,17.9007,16.1687,16.1957,ok,1477440000,10200
15,16.0858,16.2258,16.0858,16.2258,ok,1477526400,4400
16,15.9835,16.0085,15.9135,16.0085,ok,1477872000,900
17,15.7505,15.7505,15.7505,15.7505,ok,1478044800,2000
18,15.5509,15.5989,15.5439,15.5439,ok,1478131200,2200
19,15.5068,15.5748,15.4908,15.4908,ok,1478217600,1500
20,15.5624,15.7324,15.5624,15.6074,ok,1478476800,3000
21,15.7505,15.7505,15.7505,15.7505,ok,1478563200,300
22,15.8641,15.8641,15.8061,15.8061,ok,1478649600,600
23,15.8323,15.9023,15.7623,15.9023,ok,1478736000,7100
24,15.7194,15.7194,15.7194,15.7194,ok,1478822400,600
25,15.6605,15.7305,15.6605,15.7205,ok,1479081600,13800
26,15.7914,19.4614,15.7914,19.4614,ok,1479168000,1800
27,15.8813,15.8813,15.8813,15.8813,ok,1479254400,1000
28,15.9222,17.8122,15.8832,15.9122,ok,1479340800,8000
29,15.9222,15.9222,15.9022,15.9022,ok,1479427200,12900
30,16.0285,16.0285,16.0285,16.0285,ok,1479686400,800
31,16.1108,16.1108,16.0828,16.0828,ok,1479772800,4500
32,16.1025,16.1025,16.0925,16.0925,ok,1479859200,300
33,16.2012,16.2112,16.1812,16.1812,ok,1480032000,7400
34,16.1848,16.2048,16.1648,16.2048,ok,1480291200,2100
35,16.1108,16.1108,16.1108,16.1108,ok,1480377600,200
36,16.1305,16.1305,16.1305,16.1305,ok,1480464000,600
37,16.04,16.115,16.04,16.115,ok,1480550400,1500
38,16.0696,16.0696,16.0626,16.0626,ok,1480636800,1000
39,16.119,16.119,16.119,16.119,ok,1480896000,1000
40,16.2341,18.0541,16.0861,16.0861,ok,1480982400,120800
41,16.3328,16.3328,16.1778,16.2228,ok,1481068800,1800
42,16.3172,16.4562,16.2302,16.3162,ok,1481155200,10300
43,16.3739,16.3739,16.3339,16.3739,ok,1481241600,74300
44,16.3081,16.3581,16.2581,16.2581,ok,1481500800,17500
45,16.415,16.53,16.32,16.355,ok,1481587200,9300
46,16.3575,16.4185,16.3175,16.3175,ok,1481673600,6400
47,16.3575,16.3575,16.3205,16.3575,ok,1481760000,2400
