,c,h,l,o,s,t,v
0,5.391,5.401,5.321,5.321,ok,1420156800,16800
1,5.3295,5.4395,5.2795,5.3795,ok,1420416000,108200
2,5.3295,5.3895,5.2695,5.2695,ok,1420502400,33400
3,5.3742,5.4042,5.3142,5.3542,ok,1420588800,26300
4,5.4022,5.4022,5.3222,5.3222,ok,1420675200,39700
5,5.4078,5.4478,5.3878,5.4078,ok,1420761600,29200
6,5.4358,5.4958,5.3258,5.4858,ok,1421020800,39300
7,5.4302,5.5502,5.3902,5.4802,ok,1421107200,31800
8,5.5086,5.5086,5.3286,5.3686,ok,1421193600,31200
9,5.503,5.503,5.403,5.503,ok,1421280000,10400
10,5.4526,5.5526,5.3626,5.5326,ok,1421366400,25400
11,5.4414,5.4714,5.4314,5.4414,ok,1421712000,11300
12,5.4301,5.5101,5.4101,5.5101,ok,1421798400,28600
13,5.4358,5.5158,5.3858,5.4758,ok,1421884800,22900
14,5.385,5.525,5.385,5.525,ok,1421971200,68700
15,5.402,5.452,5.352,5.352,ok,1422230400,48600
16,5.3963,5.4363,5.3963,5.4263,ok,1422316800,16800
17,5.3907,5.4607,5.3807,5.4007,ok,1422403200,27100
18,5.3738,5.3838,5.2638,5.3738,ok,1422489600,94000
19,5.3061,5.4361,5.3061,5.4361,ok,1422576000,44700
20,5.323,5.383,5.283,5.383,ok,1422835200,30500
21,5.3456,5.3456,5.2756,5.3456,ok,1422921600,65700
22,5.323,5.443,5.293,5.363,ok,1423008000,99600
23,5.3512,5.4012,5.3312,5.3712,ok,1423094400,33400
24,5.3738,5.4138,5.3438,5.3438,ok,1423180800,54100
25,5.3456,5.3856,5.3456,5.3656,ok,1423440000,25900
26,5.3625,5.3825,5.2525,5.2525,ok,1423526400,28700
27,5.3286,5.3886,5.3086,5.3886,ok,1423612800,27800
28,5.323,5.373,5.323,5.353,ok,1423699200,32500
29,5.3343,5.3743,5.3243,5.3543,ok,1423785600,15500
30,5.323,5.343,5.303,5.323,ok,1424131200,22300
31,5.323,5.373,5.323,5.343,ok,1424217600,16400
32,5.3173,5.3673,5.3173,5.3473,ok,1424304000,21600
33,5.323,5.373,5.313,5.313,ok,1424390400,23800
34,5.3287,5.3387,5.3187,5.3187,ok,1424649600,23000
35,5.3514,5.3514,5.3114,5.3314,ok,1424736000,26000
36,5.3855,5.4155,5.3355,5.3355,ok,1424822400,19500
37,5.3969,5.4269,5.3769,5.4269,ok,1424908800,25700
38,5.4196,5.4396,5.3696,5.4096,ok,1424995200,32500
39,5.3969,5.4669,5.3969,5.4669,ok,1425254400,23400
40,5.3741,5.4241,5.3741,5.4241,ok,1425340800,17400
41,5.3912,5.4112,5.3412,5.3412,ok,1425427200,13100
42,5.3798,5.4098,5.3498,5.4098,ok,1425513600,11600
43,5.3287,5.4187,5.3187,5.4187,ok,1425600000,15700
