,c,h,l,o,s,t,v
0,10.2148,10.3448,10.1848,10.3348,ok,1420156800,115600
1,9.931,10.091,9.901,10.081,ok,1420416000,105900
2,9.8364,10.0064,9.7964,9.9964,ok,1420502400,122600
3,9.9153,9.9553,9.7953,9.8453,ok,1420588800,74900
4,9.9862,10.0662,9.9162,9.9962,ok,1420675200,64500
5,9.9783,10.0383,9.9283,9.9983,ok,1420761600,88000
6,9.9625,10.0125,9.9225,10.0125,ok,1421020800,81800
7,10.0098,10.1298,9.9298,10.0698,ok,1421107200,163200
8,10.0177,10.0377,9.9477,9.9777,ok,1421193600,52000
9,10.2148,10.2448,10.1348,10.2048,ok,1421280000,57300
10,10.3645,10.3845,10.1745,10.1745,ok,1421366400,97000
11,10.4118,10.5218,10.3618,10.5218,ok,1421712000,93400
12,10.4985,10.4985,10.3985,10.4385,ok,1421798400,200200
13,10.5143,10.5843,10.4443,10.4443,ok,1421884800,422900
14,10.4906,10.5906,10.4906,10.5306,ok,1421971200,63300
15,10.6404,10.6604,10.4904,10.5304,ok,1422230400,76200
16,10.7034,10.7234,10.6234,10.6634,ok,1422316800,50000
17,10.4827,10.7327,10.4827,10.7327,ok,1422403200,90600
18,10.6561,10.6661,10.5361,10.5361,ok,1422489600,116800
19,10.467,10.607,10.457,10.537,ok,1422576000,143500
20,10.5616,10.5816,10.4516,10.4516,ok,1422835200,51700
21,10.7665,10.8065,10.6165,10.6165,ok,1422921600,154300
22,10.6719,10.7719,10.6319,10.7219,ok,1423008000,103400
23,10.798,10.808,10.668,10.678,ok,1423094400,78000
24,10.6719,10.7619,10.6319,10.7419,ok,1423180800,169100
25,10.5616,10.6216,10.5216,10.5216,ok,1423440000,64000
26,10.7192,10.7492,10.6292,10.6492,ok,1423526400,89700
27,10.6955,10.7255,10.6455,10.6655,ok,1423612800,56400
28,10.8532,10.8532,10.7132,10.7632,ok,1423699200,81900
29,10.8768,10.8768,10.8268,10.8568,ok,1423785600,125200
30,10.869,10.879,10.739,10.819,ok,1424131200,104000
31,10.8768,10.9068,10.7968,10.8668,ok,1424217600,61100
32,10.8374,10.8774,10.8074,10.8374,ok,1424304000,156800
33,10.9162,10.9662,10.7362,10.7762,ok,1424390400,528100
34,10.9162,10.9362,10.8662,10.9062,ok,1424649600,142100
35,10.9951,11.0351,10.8951,10.8951,ok,1424736000,162700
36,11.0581,11.0881,11.0081,11.0681,ok,1424822400,187300
37,10.9714,10.9914,10.9314,10.9714,ok,1424908800,61300
38,10.932,10.982,10.892,10.952,ok,1424995200,74800
39,10.9241,10.9441,10.8541,10.9441,ok,1425254400,115000
40,10.8295,10.8895,10.7895,10.8895,ok,1425340800,123800
41,10.7901,10.8001,10.6801,10.7901,ok,1425427200,131700
