,c,h,l,o,s,t,v
0,23.909,23.978,23.897,23.978,ok,1551398400,4300
1,23.7628,24.1628,23.7028,24.0028,ok,1551657600,15200
2,23.9792,23.9792,23.8702,23.8942,ok,1551744000,1300
3,23.8686,24.0286,23.8086,24.0286,ok,1551830400,5400
4,23.4926,23.7136,23.4926,23.7136,ok,1551916800,2600
5,23.3695,23.3885,23.3085,23.3585,ok,1552003200,4700
6,23.6522,23.6532,23.5072,23.5072,ok,1552262400,3400
7,23.9167,24.0067,23.9167,23.9767,ok,1552348800,7600
8,23.8686,23.9086,23.8486,23.9086,ok,1552435200,4200
9,23.7417,23.7637,23.7037,23.7637,ok,1552521600,3200
10,24.0035,24.0035,23.9795,23.9795,ok,1552608000,1600
11,24.196,24.196,24.157,24.181,ok,1552867200,2500
12,24.196,24.23,24.191,24.218,ok,1552953600,5800
13,24.1826,24.1826,24.0686,24.1416,ok,1553040000,3000
14,24.2076,24.2406,24.0946,24.1406,ok,1553126400,5900
15,23.6945,24.0005,23.6905,24.0005,ok,1553212800,2400
16,23.7946,23.8226,23.6476,23.6476,ok,1553472000,2600
17,23.8456,23.9346,23.8456,23.9346,ok,1553558400,1900
18,23.6618,23.7818,23.6368,23.7818,ok,1553644800,3300
19,23.7917,23.7917,23.7667,23.7667,ok,1553731200,400
20,23.9515,23.9515,23.9205,23.9205,ok,1553817600,800
21,24.1623,24.1623,24.0943,24.0943,ok,1554076800,3300
22,24.1672,24.2322,24.1622,24.2322,ok,1554163200,2700
23,24.2596,24.3186,24.2486,24.2486,ok,1554249600,6700
24,24.3645,24.3675,24.2645,24.3145,ok,1554336000,2300
25,24.48,24.49,24.449,24.449,ok,1554422400,1900
26,24.4463,24.4863,24.4313,24.4813,ok,1554681600,8200
27,24.4078,24.5228,24.4078,24.5228,ok,1554768000,6500
28,24.4993,24.5373,24.4273,24.4643,ok,1554854400,3600
29,24.4078,24.4128,24.4028,24.4128,ok,1554940800,2200
30,24.4771,24.4831,24.4101,24.4101,ok,1555027200,1200
31,24.4174,24.5024,24.4124,24.5024,ok,1555286400,14400
32,24.4694,24.4904,24.4554,24.4644,ok,1555372800,1400
33,24.5378,24.5558,24.5118,24.5558,ok,1555459200,2700
34,24.48,24.92,24.415,24.92,ok,1555545600,3400
35,24.4944,24.5024,24.3995,24.4095,ok,1555891200,3200
36,24.455,24.571,24.401,24.401,ok,1555977600,3600
37,24.2153,24.3403,24.2103,24.3403,ok,1556064000,2900
38,24.1094,24.2144,24.0644,24.2144,ok,1556150400,4300
39,24.1912,24.1952,24.1142,24.1352,ok,1556236800,1100
40,24.2586,24.2586,24.2226,24.2226,ok,1556496000,1300
41,24.2442,24.2692,24.2292,24.2692,ok,1556582400,6100
42,24.2721,24.3381,24.2591,24.2921,ok,1556668800,3700
43,24.0901,24.1951,24.0901,24.1951,ok,1556755200,1800
44,24.3452,24.3452,24.2602,24.2602,ok,1556841600,200
45,23.9843,24.0292,23.8593,23.8593,ok,1557100800,4900
46,23.6377,23.9927,23.6327,23.8327,ok,1557187200,7000
47,23.6435,23.6825,23.6425,23.6825,ok,1557273600,400
48,23.3297,23.3547,23.0947,23.0947,ok,1557360000,4200
49,23.373,23.373,23.134,23.263,ok,1557446400,4700
50,22.7809,23.0659,22.6969,23.0659,ok,1557705600,7400
51,23.0659,23.0839,22.9109,22.9109,ok,1557792000,3500
52,23.1044,23.1514,22.9234,22.9234,ok,1557878400,6900
53,23.0986,23.1036,23.0586,23.1036,ok,1557964800,1100
54,22.6269,22.7219,22.6269,22.7219,ok,1558051200,2400
55,22.5335,22.6255,22.5235,22.6255,ok,1558310400,2200
56,22.8387,22.8387,22.8027,22.8027,ok,1558396800,1000
57,22.7752,22.8062,22.7612,22.7612,ok,1558483200,700
58,22.5451,22.5451,22.4651,22.4651,ok,1558569600,2300
59,22.6414,22.7254,22.5814,22.5814,ok,1558656000,3400
60,22.6365,22.7015,22.5915,22.5915,ok,1559001600,1400
61,22.6462,22.6462,22.5302,22.6112,ok,1559088000,1900
62,22.805,22.828,22.645,22.645,ok,1559174400,700
63,22.882,22.882,22.709,22.802,ok,1559260800,2000
64,23.141,23.213,23.141,23.213,ok,1559520000,1300
65,23.2267,23.2267,23.1087,23.1087,ok,1559606400,400
66,23.0649,23.0649,23.0049,23.0049,ok,1559692800,500
67,23.1063,23.1063,23.0033,23.0633,ok,1559779200,1000
68,23.218,23.272,23.207,23.207,ok,1559865600,2100
69,23.4355,23.4655,23.3455,23.3455,ok,1560124800,1100
70,23.604,23.604,23.594,23.594,ok,1560211200,400
71,23.3104,23.5954,23.3104,23.5954,ok,1560297600,2600
72,23.373,23.403,23.363,23.398,ok,1560384000,1200
73,23.1641,23.2311,23.1511,23.2211,ok,1560470400,1000
74,23.2575,23.2575,23.2475,23.2475,ok,1560729600,100
75,23.7696,23.7696,23.7696,23.7696,ok,1560816000,100
76,23.9323,23.9613,23.8013,23.8013,ok,1560902400,2500
77,24.1672,24.3522,24.1622,24.1822,ok,1560988800,4300
78,24.0807,24.2297,24.0807,24.2297,ok,1561075200,1200
79,24.2109,24.2109,24.2109,24.2109,ok,1561334400,200
80,23.9583,24.2633,23.9423,24.2633,ok,1561420800,2200
81,24.1098,24.1888,24.1098,24.1888,ok,1561507200,500
82,24.2089,24.2359,24.2089,24.2249,ok,1561593600,800
83,24.1312,24.1842,24.1312,24.1792,ok,1561680000,1000
84,24.3624,24.4304,24.3484,24.4304,ok,1561939200,3200
85,24.3663,24.3663,24.3653,24.3653,ok,1562025600,2600
86,24.3129,24.3129,24.2839,24.3029,ok,1562112000,2100
87,24.172,24.237,24.047,24.237,ok,1562284800,3100
88,23.9826,24.0726,23.9326,24.0726,ok,1562544000,1500
89,23.9195,23.9385,23.9045,23.9045,ok,1562630400,1800
90,24.104,24.104,24.009,24.009,ok,1562716800,1400
91,24.1137,24.1137,24.0987,24.1087,ok,1562803200,1500
92,24.1914,24.1924,24.1664,24.1664,ok,1562889600,3600
93,24.1963,24.2033,24.1963,24.1963,ok,1563148800,1600
94,24.1273,24.1983,24.1273,24.1983,ok,1563235200,3500
95,24.0992,24.1282,24.0992,24.1282,ok,1563321600,700
96,24.2041,24.2041,24.1161,24.1161,ok,1563408000,200
97,24.1069,24.2339,24.1069,24.2339,ok,1563494400,600
98,24.071,24.09,24.06,24.06,ok,1563753600,900
99,24.14,24.14,24.14,24.14,ok,1563840000,100
100,24.0894,24.0994,24.0894,24.0894,ok,1563926400,400
101,23.9632,24.0032,23.9332,24.0032,ok,1564012800,600
102,23.9904,24.0144,23.9524,23.9524,ok,1564099200,1800
103,23.935,24.004,23.864,23.994,ok,1564358400,3100
104,23.7874,23.9884,23.7694,23.8984,ok,1564444800,3500
105,23.6067,23.8267,23.6067,23.8267,ok,1564531200,1900
106,23.3172,23.7722,23.3122,23.7722,ok,1564617600,6100
107,22.9879,23.2019,22.9879,23.2019,ok,1564704000,5100
108,22.2876,22.5926,22.2876,22.5926,ok,1564963200,3500
109,22.5644,22.5644,22.4344,22.4344,ok,1565049600,1300
110,22.613,22.613,22.363,22.413,ok,1565136000,1300
111,22.919,22.919,22.825,22.825,ok,1565222400,500
112,22.7519,22.7519,22.6609,22.6609,ok,1565308800,500
113,22.4751,22.6371,22.4751,22.6371,ok,1565568000,1600
114,22.781,22.781,22.428,22.438,ok,1565654400,900
115,22.1701,22.5461,22.1701,22.5461,ok,1565740800,1800
116,22.3527,22.3527,22.2007,22.2007,ok,1565827200,1000
117,22.6033,22.6033,22.5333,22.5333,ok,1565913600,300
118,22.6548,22.7718,22.6318,22.7018,ok,1566172800,2300
119,22.7325,22.7595,22.7325,22.7595,ok,1566259200,200
120,22.851,22.851,22.851,22.851,ok,1566345600,200
121,22.6111,22.6111,22.5821,22.5821,ok,1566432000,400
122,22.2225,22.3445,22.2225,22.3445,ok,1566518400,300
123,22.3604,22.3614,22.2804,22.2804,ok,1566777600,900
124,22.3964,22.3964,22.3644,22.3644,ok,1566864000,200
125,22.4556,22.4556,22.4376,22.4376,ok,1566950400,600
126,22.7976,22.8176,22.6676,22.6676,ok,1567036800,1300
127,22.9714,22.9714,22.9424,22.9434,ok,1567123200,1000
128,22.783,22.794,22.783,22.794,ok,1567468800,400
129,23.1278,23.1278,23.0078,23.0078,ok,1567555200,800
130,23.3619,23.3619,23.2009,23.2009,ok,1567641600,700
131,23.391,23.48,23.391,23.48,ok,1567728000,1800
132,23.4425,23.4495,23.4285,23.4495,ok,1567987200,600
133,23.4046,23.5296,23.3346,23.5296,ok,1568073600,3800
134,23.5698,23.5698,23.4748,23.4748,ok,1568160000,100
135,23.7718,23.7718,23.6288,23.6288,ok,1568246400,100
136,23.8476,23.9166,23.8476,23.9166,ok,1568332800,600
137,23.6824,23.7714,23.6824,23.7714,ok,1568592000,600
138,23.6912,23.7412,23.6912,23.7412,ok,1568764800,800
139,23.5921,23.6941,23.5921,23.6941,ok,1568851200,100
140,23.6853,24.0183,23.6853,24.0183,ok,1568937600,3100
141,23.5362,23.6812,23.5362,23.6812,ok,1569283200,1500
