,c,h,l,o,s,t,v
0,38.431,38.75,37.91,37.91,ok,1585785600,129100
1,38.055,38.65,37.705,38.54,ok,1585872000,9400
2,40.75,40.88,38.09,38.09,ok,1586131200,2700
3,40.631,42.05,40.631,41.82,ok,1586217600,26600
4,42.112,42.23,41.01,41.01,ok,1586304000,3700
5,42.556,42.96,42.09,42.85,ok,1586390400,10600
6,42.724,44.69,41.84,44.69,ok,1586736000,18300
7,44.426,44.87,43.73,44.87,ok,1586822400,17700
8,44.14,44.36,43.4,43.4,ok,1586908800,13200
9,44.486,44.77,43.95,44.32,ok,1586995200,10000
10,45.261,46.72,44.75,46.72,ok,1587081600,22100
11,45.439,45.89,45.01,45.34,ok,1587340800,18200
12,43.665,44.7,43.29,44.67,ok,1587427200,25300
13,45.04,45.13,44.31,44.39,ok,1587513600,15400
14,44.94,45.59,44.86,45.05,ok,1587600000,22400
15,45.53,47.52,44.815,45.85,ok,1587686400,7200
16,46.258,46.5,46.01,46.11,ok,1587945600,18100
17,45.551,46.95,45.5,46.95,ok,1588032000,7000
18,46.9,47.01,46.3,46.3,ok,1588118400,92400
19,46.775,47.29,46.62,46.62,ok,1588204800,12000
20,45.34,46.0,45.15,46.0,ok,1588291200,7300
21,46.268,46.3,44.85,44.85,ok,1588550400,15700
22,47.311,47.82,47.08,47.21,ok,1588636800,16900
23,47.788,48.13,47.61,47.71,ok,1588723200,11100
24,48.545,48.9,48.3,48.51,ok,1588809600,12200
25,49.288,49.58,48.93,49.27,ok,1588896000,15500
26,49.795,49.98,49.18,49.18,ok,1589155200,22500
27,49.081,50.2,49.081,50.09,ok,1589241600,11800
28,48.43,49.32,47.62,49.0,ok,1589328000,33200
29,48.92,48.92,47.63,48.07,ok,1589414400,12200
30,49.639,49.66,48.72,48.72,ok,1589500800,9800
31,50.22,50.78,50.22,50.34,ok,1589760000,8200
32,50.32,51.01,50.32,50.46,ok,1589846400,7900
33,51.269,51.49,50.95,50.98,ok,1589932800,36000
34,51.054,51.605,50.67,51.46,ok,1590019200,3500
35,51.41,51.41,50.96,50.96,ok,1590105600,6300
36,51.409,52.255,51.409,52.255,ok,1590451200,4500
37,51.48,51.48,49.99,51.17,ok,1590537600,15800
38,51.75,52.56,51.52,51.52,ok,1590624000,8600
39,52.35,52.35,51.43,51.6,ok,1590710400,4400
