,c,h,l,o,s,t,v
0,19.5331,19.6131,19.4431,19.5431,ok,1420156800,482800
1,19.24,19.55,19.2,19.55,ok,1420416000,317900
2,19.2156,19.4956,19.1656,19.2956,ok,1420502400,324600
3,19.354,19.394,19.194,19.314,ok,1420588800,211400
4,19.6471,19.6971,19.4571,19.5571,ok,1420675200,365800
5,19.5331,19.7431,19.4431,19.7431,ok,1420761600,279100
6,19.468,19.568,19.368,19.568,ok,1421020800,280800
7,19.4191,19.7691,19.2691,19.5791,ok,1421107200,218900
8,19.3947,19.4247,19.1447,19.2847,ok,1421193600,303300
9,19.3865,19.5465,19.3265,19.4865,ok,1421280000,215100
10,19.6389,19.6489,19.3289,19.3289,ok,1421366400,251200
11,19.7285,19.7485,19.5185,19.7385,ok,1421712000,167100
12,19.8669,19.8969,19.5569,19.6169,ok,1421798400,204200
13,19.9239,19.9839,19.6939,19.9239,ok,1421884800,207800
14,19.7448,19.9948,19.7348,19.9948,ok,1421971200,194000
15,19.7855,19.8055,19.5455,19.6955,ok,1422230400,261500
16,19.6227,19.7427,19.5927,19.5927,ok,1422316800,208600
17,19.3377,19.8077,19.2977,19.7577,ok,1422403200,273100
18,19.4598,19.5098,19.0598,19.3098,ok,1422489600,221000
19,19.1993,19.5093,19.1493,19.3393,ok,1422576000,318100
20,19.5005,19.5105,19.0605,19.2905,ok,1422835200,330600
21,19.7774,19.7974,19.5574,19.5574,ok,1422921600,317700
22,19.6389,19.8089,19.5889,19.7889,ok,1423008000,362200
23,19.8588,19.8688,19.6788,19.7388,ok,1423094400,283000
24,19.7041,19.9641,19.6441,19.9641,ok,1423180800,204300
25,19.6308,19.7908,19.5908,19.6808,ok,1423440000,467800
26,19.8262,19.8562,19.5962,19.6862,ok,1423526400,195600
27,19.7529,19.8229,19.6229,19.8229,ok,1423612800,203400
28,19.8832,19.9132,19.8032,19.8732,ok,1423699200,190900
29,19.8751,19.9051,19.7351,19.8851,ok,1423785600,181400
30,19.9076,19.9076,19.7476,19.8276,ok,1424131200,280000
31,19.9239,19.9339,19.7939,19.8739,ok,1424217600,169700
32,19.7937,19.8937,19.7637,19.8637,ok,1424304000,223700
33,19.8506,19.8506,19.6206,19.7306,ok,1424390400,257000
34,19.7774,19.8074,19.6774,19.7674,ok,1424649600,3832200
35,19.8914,19.9014,19.6914,19.7714,ok,1424736000,138000
36,19.8099,19.9099,19.7899,19.9099,ok,1424822400,171400
37,19.7285,19.8485,19.6785,19.8485,ok,1424908800,108200
38,19.7041,19.7541,19.6541,19.7041,ok,1424995200,99500
39,19.6471,19.6871,19.5371,19.6671,ok,1425254400,170600
40,19.6389,19.6789,19.5689,19.6789,ok,1425340800,217200
41,19.525,19.655,19.445,19.655,ok,1425427200,184200
42,19.4842,19.5842,19.4542,19.5442,ok,1425513600,287400
43,19.1016,19.4316,19.0416,19.4316,ok,1425600000,230900
44,19.1016,19.1916,19.0616,19.0616,ok,1425859200,284700
45,18.898,19.078,18.898,19.078,ok,1425945600,152200
46,18.8247,18.9747,18.8147,18.9247,ok,1426032000,162500
47,19.012,19.022,18.882,18.882,ok,1426118400,188800
48,18.8736,19.0036,18.6736,19.0036,ok,1426204800,141800
49,19.0609,19.0809,18.8509,18.8509,ok,1426464000,135400
50,18.9794,19.0394,18.9094,18.9794,ok,1426550400,120100
51,19.3051,19.4151,18.8051,18.8451,ok,1426636800,125200
52,19.1748,19.2848,19.1348,19.2848,ok,1426723200,128500
53,19.3703,19.4303,19.1703,19.2003,ok,1426809600,93000
54,19.4354,19.5454,19.3354,19.3354,ok,1427068800,124800
55,19.2318,19.4918,19.2218,19.4418,ok,1427155200,132200
56,19.0577,19.3577,19.0377,19.2777,ok,1427241600,122700
57,19.0002,19.1302,18.9402,19.0202,ok,1427328000,115100
58,19.0906,19.1006,18.8906,18.9406,ok,1427414400,63100
59,19.2713,19.3013,19.1313,19.1613,ok,1427673600,149000
60,19.1234,19.2434,19.0734,19.2034,ok,1427760000,566200
61,19.0988,19.1388,19.0088,19.0688,ok,1427846400,534100
62,19.2302,19.2602,19.0602,19.0602,ok,1427932800,144400
63,19.4191,19.5191,19.1791,19.1791,ok,1428278400,298500
64,19.3699,19.4899,19.3599,19.4799,ok,1428364800,308500
65,19.3123,19.4323,19.2623,19.3923,ok,1428451200,202800
66,19.3945,19.4345,19.2145,19.3045,ok,1428537600,464700
67,19.4848,19.5548,19.3848,19.3848,ok,1428624000,157900
68,19.3863,19.5463,19.3863,19.4963,ok,1428883200,184800
69,19.5095,19.5395,19.3695,19.3795,ok,1428969600,209000
70,19.6656,19.7356,19.5756,19.5756,ok,1429056000,136000
71,19.7313,19.8313,19.6213,19.6913,ok,1429142400,129600
72,19.5916,19.6816,19.5116,19.6616,ok,1429228800,170500
73,19.7641,19.8641,19.6641,19.6641,ok,1429488000,68700
74,19.6327,19.8227,19.5827,19.8227,ok,1429574400,389300
75,19.682,19.692,19.542,19.682,ok,1429660800,149900
76,19.8463,19.9263,19.6363,19.6363,ok,1429747200,158100
77,19.8299,19.9099,19.8099,19.8599,ok,1429833600,121800
78,19.7231,19.9231,19.7031,19.8931,ok,1430092800,125200
79,19.9038,19.9038,19.6738,19.7438,ok,1430179200,164900
80,19.8463,19.8963,19.7363,19.8163,ok,1430265600,115500
81,19.7395,19.8395,19.6395,19.8395,ok,1430352000,88700
82,19.7888,19.7988,19.6588,19.7688,ok,1430438400,105200
83,19.8052,19.8852,19.7952,19.8052,ok,1430697600,100800
84,19.5834,19.8934,19.5634,19.8734,ok,1430784000,113000
85,19.5095,19.7295,19.3795,19.7295,ok,1430870400,153300
86,19.5259,19.6259,19.4359,19.4759,ok,1430956800,134300
87,19.7231,19.7731,19.6431,19.6431,ok,1431043200,76100
88,19.5752,19.7552,19.5652,19.7052,ok,1431302400,180700
89,19.5423,19.6023,19.3823,19.4523,ok,1431388800,246100
90,19.5341,19.6641,19.4941,19.5841,ok,1431475200,186700
91,19.7231,19.7331,19.5931,19.5931,ok,1431561600,86900
92,19.7888,19.7988,19.6888,19.7088,ok,1431648000,93900
93,19.7888,19.7988,19.6988,19.7488,ok,1431907200,106500
94,19.7231,19.7431,19.6431,19.7431,ok,1431993600,128400
95,19.7641,19.8441,19.6941,19.6941,ok,1432080000,100000
96,19.8299,19.8499,19.7299,19.7499,ok,1432166400,97200
97,19.7313,19.7813,19.7113,19.7613,ok,1432252800,91800
98,19.5752,19.6852,19.5052,19.6652,ok,1432598400,124700
99,19.7066,19.7266,19.5466,19.5666,ok,1432684800,87800
100,19.7149,19.7249,19.6149,19.6649,ok,1432771200,127300
101,19.682,19.772,19.622,19.702,ok,1432857600,157500
102,19.6163,19.7263,19.5763,19.7263,ok,1433116800,91900
103,19.5506,19.6006,19.4806,19.5906,ok,1433203200,165000
104,19.4602,19.6102,19.4302,19.6102,ok,1433289600,112000
105,19.3288,19.4988,19.3188,19.4288,ok,1433376000,101000
106,19.1316,19.3016,19.1216,19.3016,ok,1433462400,129500
107,19.0988,19.1688,19.0588,19.1088,ok,1433721600,120800
108,19.1152,19.2052,19.0752,19.1152,ok,1433808000,120500
109,19.2959,19.3459,19.2159,19.2159,ok,1433894400,184000
110,19.3452,19.3752,19.2952,19.3152,ok,1433980800,218900
111,19.1809,19.3009,19.1409,19.3009,ok,1434067200,107700
112,19.0823,19.1623,19.0423,19.0923,ok,1434326400,212500
113,19.1973,19.2073,19.0173,19.0473,ok,1434412800,297800
114,19.2466,19.2866,19.0866,19.2166,ok,1434499200,226600
115,19.4109,19.4709,19.2709,19.2709,ok,1434585600,110200
116,19.3041,19.4241,19.2941,19.3841,ok,1434672000,69600
117,19.3288,19.4188,19.3188,19.3788,ok,1434931200,178700
118,19.3206,19.3906,19.2906,19.3806,ok,1435017600,146200
119,19.2119,19.3219,19.2019,19.2919,ok,1435104000,96700
120,19.1456,19.2756,19.1356,19.2656,ok,1435190400,103800
121,19.1954,19.1954,19.1154,19.1254,ok,1435276800,130900
122,18.9217,19.2117,18.9217,19.0817,ok,1435536000,219500
123,18.9051,19.1051,18.8451,19.1051,ok,1435622400,166100
124,18.9798,18.9998,18.9198,18.9998,ok,1435708800,209800
125,19.0627,19.1227,19.0027,19.0227,ok,1435795200,159100
126,18.9881,19.0581,18.9181,18.9281,ok,1436140800,173800
127,19.2617,19.3117,18.9217,18.9717,ok,1436227200,93100
