,c,h,l,o,s,t,v
0,21.6235,21.6335,21.3385,21.4135,ok,1473897600,8800
1,21.4902,21.5352,21.3652,21.5352,ok,1473984000,5700
2,21.5977,21.7077,21.5577,21.5677,ok,1474243200,15700
3,21.5461,21.6861,21.5461,21.6861,ok,1474329600,8600
4,21.7353,21.7653,21.5253,21.7053,ok,1474416000,6000
5,21.9674,21.9974,21.8874,21.9974,ok,1474502400,12400
6,21.8814,21.9814,21.8564,21.9514,ok,1474588800,18700
7,21.7267,21.9067,21.7067,21.9067,ok,1474848000,13700
8,21.755,21.802,21.652,21.712,ok,1474934400,7400
9,21.9244,21.9344,21.6094,21.8344,ok,1475020800,12300
10,21.933,21.983,21.877,21.983,ok,1475107200,12300
11,21.9158,21.9708,21.8758,21.9258,ok,1475193600,10900
12,21.8169,22.0769,21.8019,21.9919,ok,1475452800,20500
13,21.5977,21.9977,21.5277,21.9977,ok,1475539200,22600
14,21.6665,21.7165,21.6385,21.7065,ok,1475625600,7400
15,21.6321,21.6721,21.5621,21.5661,ok,1475712000,5500
16,21.6493,21.6893,21.5093,21.6893,ok,1475798400,9200
17,21.7353,21.8153,21.7353,21.7453,ok,1476057600,4100
18,21.4859,21.7959,21.4109,21.7959,ok,1476144000,25700
19,21.5281,21.5491,21.4391,21.5191,ok,1476230400,2700
20,21.4472,21.4472,21.2522,21.4422,ok,1476316800,6500
21,21.4601,21.6251,21.4601,21.6001,ok,1476403200,1900
22,21.3011,21.4561,21.2761,21.4561,ok,1476662400,3900
23,21.4326,21.5246,21.3396,21.5246,ok,1476748800,7100
24,21.5375,21.5775,21.4425,21.5275,ok,1476835200,5200
25,21.4945,21.5445,21.4175,21.5445,ok,1476921600,4900
26,21.4902,21.4952,21.4042,21.4652,ok,1477008000,4400
27,21.5633,21.6633,21.4383,21.6633,ok,1477267200,23900
28,21.4687,21.6187,21.4487,21.6187,ok,1477353600,8000
29,21.4386,21.4786,21.3286,21.4136,ok,1477440000,59100
30,21.3845,21.5125,21.3825,21.4225,ok,1477526400,10900
31,21.3398,21.4498,21.2838,21.3528,ok,1477612800,17100
32,21.3312,21.3812,21.2712,21.3812,ok,1477872000,10000
33,20.9958,21.4258,20.9958,21.4258,ok,1477958400,14100
34,20.9572,21.1222,20.8622,21.1222,ok,1478044800,13900
35,20.872,20.946,20.836,20.946,ok,1478131200,4800
36,20.8669,21.0319,20.8669,20.9469,ok,1478217600,7500
37,21.2538,21.2538,21.0788,21.0788,ok,1478476800,7400
38,21.3656,21.4056,21.2156,21.2556,ok,1478563200,6200
39,21.6063,21.6963,20.8983,21.2263,ok,1478649600,18400
40,21.6106,21.7556,21.4656,21.7556,ok,1478736000,9400
41,21.6149,21.6949,21.4099,21.6949,ok,1478822400,10100
42,21.6923,21.7323,21.6003,21.7323,ok,1479081600,74100
43,21.9072,21.9272,21.6922,21.7172,ok,1479168000,68300
44,21.8548,21.9558,21.7858,21.9558,ok,1479254400,8000
45,21.9674,22.0874,21.8844,21.9274,ok,1479340800,32900
46,21.9932,23.0132,21.8832,23.0132,ok,1479427200,233800
47,22.2511,22.2511,22.0651,22.1511,ok,1479686400,67600
48,22.3371,22.3371,22.2111,22.3271,ok,1479772800,33600
49,22.3715,22.3915,22.2575,22.3915,ok,1479859200,16500
50,22.4403,22.4903,22.3403,22.4903,ok,1480032000,11900
51,22.3113,22.5313,22.3113,22.5313,ok,1480291200,17700
52,22.3629,22.3829,22.2329,22.2929,ok,1480377600,37600
53,22.4231,22.6731,22.4041,22.6731,ok,1480464000,26700
54,22.2683,22.6583,22.2183,22.6083,ok,1480550400,11900
55,22.3199,22.3699,22.2349,22.3699,ok,1480636800,28600
