,c,h,l,o,s,t,v
0,18.7344,18.8244,18.4344,18.6944,ok,1420156800,102600
1,18.0144,18.7444,17.8844,18.6744,ok,1420416000,292300
2,17.7526,18.2026,17.5726,18.0926,ok,1420502400,1424300
3,17.769,18.079,17.629,18.069,ok,1420588800,176900
4,18.1862,18.1862,17.7762,17.9162,ok,1420675200,171700
5,18.0553,18.3153,17.8153,18.3153,ok,1420761600,251000
6,17.5318,18.0118,17.3918,18.0118,ok,1421020800,390900
7,17.409,17.729,17.179,17.659,ok,1421107200,421200
8,17.4499,17.4799,16.8299,17.2099,ok,1421193600,288300
9,17.2209,17.8109,17.1909,17.8109,ok,1421280000,138500
10,17.7854,17.7854,17.2854,17.3554,ok,1421366400,153900
11,17.7772,17.7872,17.3872,17.7072,ok,1421712000,304000
12,18.1044,18.1344,17.7444,17.7844,ok,1421798400,132800
13,18.219,18.399,17.809,18.399,ok,1421884800,218200
14,18.0553,18.3653,18.0353,18.2753,ok,1421971200,115700
15,18.3253,18.3453,17.8753,18.1353,ok,1422230400,155900
16,18.3089,18.3989,18.0989,18.2189,ok,1422316800,152100
17,17.5972,18.4472,17.5272,18.4472,ok,1422403200,317500
18,17.6218,17.8318,17.1418,17.7518,ok,1422489600,358400
19,17.7772,18.0272,17.2772,17.5472,ok,1422576000,181800
20,18.3008,18.3308,17.8008,17.9208,ok,1422835200,188700
21,18.8407,18.9607,18.3907,18.5407,ok,1422921600,362600
22,18.5298,18.7398,18.3498,18.7398,ok,1423008000,209000
23,18.8325,18.9325,18.5925,18.6825,ok,1423094400,176900
24,18.808,19.148,18.738,19.048,ok,1423180800,146600
25,18.8571,19.1271,18.8171,18.8871,ok,1423440000,233200
26,18.7916,19.0616,18.4116,19.0516,ok,1423526400,212900
27,18.6689,18.7589,18.4289,18.6089,ok,1423612800,108500
28,18.9552,19.0553,18.8053,18.9252,ok,1423699200,100000
29,19.3561,19.3561,18.9561,19.2361,ok,1423785600,277900
30,19.397,19.427,19.087,19.427,ok,1424131200,324200
31,19.1352,19.3452,19.1052,19.3152,ok,1424217600,150400
32,19.0207,19.1607,18.5707,18.6907,ok,1424304000,185600
33,18.9389,19.0989,18.7689,19.0789,ok,1424390400,109900
34,18.8571,19.0271,18.6771,18.8371,ok,1424649600,130200
35,18.898,19.058,18.768,19.058,ok,1424736000,94300
36,18.9961,19.0462,18.7962,18.9261,ok,1424822400,107900
37,18.6771,20.1871,18.5571,20.1871,ok,1424908800,209900
38,18.6198,18.8498,18.5998,18.8498,ok,1424995200,108500
39,18.4808,18.6508,18.2708,18.6508,ok,1425254400,266300
40,18.5462,18.6562,18.3562,18.4962,ok,1425340800,86500
41,18.5053,18.6653,18.2653,18.5953,ok,1425427200,97000
42,18.4071,18.5471,18.3571,18.5471,ok,1425513600,70500
43,18.0962,18.4262,18.0362,18.3762,ok,1425600000,142800
44,17.9817,18.3417,17.9817,18.1717,ok,1425859200,184900
45,17.7117,17.9617,17.7117,17.9117,ok,1425945600,104600
46,17.769,17.849,17.599,17.819,ok,1426032000,141800
47,17.6708,17.8708,17.6608,17.8708,ok,1426118400,161800
48,17.589,17.619,17.339,17.619,ok,1426204800,211200
49,17.7772,17.7972,17.3472,17.4972,ok,1426464000,126700
50,17.7036,17.7836,17.5636,17.7036,ok,1426550400,84300
51,18.2108,18.3208,17.4008,17.5408,ok,1426636800,204800
52,17.9163,18.0863,17.8663,18.0463,ok,1426723200,94200
53,18.1508,18.2708,18.0108,18.1308,ok,1426809600,80900
54,18.1096,18.3596,18.1096,18.2296,ok,1427068800,95200
55,17.9862,18.3762,17.9762,18.3762,ok,1427155200,98600
56,18.2001,18.3501,18.0601,18.1001,ok,1427241600,122400
57,18.1919,18.5219,18.1019,18.5119,ok,1427328000,105900
58,18.0438,18.2038,17.9738,18.2038,ok,1427414400,528200
59,18.3976,18.4476,18.1776,18.2476,ok,1427673600,4117700
60,18.2577,18.4077,18.0977,18.2777,ok,1427760000,547800
61,18.3071,18.4771,18.2571,18.4071,ok,1427846400,392400
62,18.3894,18.4794,18.1294,18.2994,ok,1427932800,103500
63,18.702,18.832,18.352,18.382,ok,1428278400,193700
64,18.7596,18.8896,18.6396,18.8096,ok,1428364800,136500
65,18.5868,18.9468,18.5468,18.9468,ok,1428451200,183500
66,18.8419,18.8819,18.5419,18.5419,ok,1428537600,120300
67,18.9324,18.9624,18.7924,18.9224,ok,1428624000,86500
68,18.7925,19.1025,18.7625,19.1025,ok,1428883200,115000
69,19.097,19.177,18.867,18.867,ok,1428969600,127200
70,19.566,19.636,19.126,19.226,ok,1429056000,492200
71,19.5166,20.7866,19.3366,20.7866,ok,1429142400,145400
72,19.3438,19.5438,19.1638,19.5438,ok,1429228800,150600
73,19.4261,19.6661,19.4161,19.4761,ok,1429488000,114500
74,19.2039,19.5339,19.1239,19.5339,ok,1429574400,154000
75,19.3273,19.4173,19.0673,19.2273,ok,1429660800,79400
76,19.4755,19.6255,19.3455,19.4455,ok,1429747200,125300
77,19.3356,19.6656,19.2156,19.6656,ok,1429833600,75700
78,19.3109,19.5009,19.2909,19.4709,ok,1430092800,122100
79,19.4096,19.4296,19.2596,19.3096,ok,1430179200,115500
80,19.5989,19.6189,19.2389,19.3489,ok,1430265600,85900
81,19.5577,19.7277,19.3977,19.7277,ok,1430352000,1093800
82,19.5989,19.6289,19.3989,19.6289,ok,1430438400,251500
83,19.5495,19.7295,19.4295,19.6295,ok,1430697600,265900
84,19.3438,19.9038,19.3038,19.7438,ok,1430784000,249300
85,19.2533,19.6633,19.1333,19.5433,ok,1430870400,151500
86,19.0311,19.2111,18.8611,19.2111,ok,1430956800,193300
