,c,h,l,o,s,t,v
0,40.2936,41.4436,39.6336,41.1836,ok,1420156800,41000
1,39.7436,40.4736,39.2036,40.3036,ok,1420416000,43000
2,38.58,40.25,38.48,40.07,ok,1420502400,32600
3,38.7634,40.0934,38.1934,38.9934,ok,1420588800,41300
4,38.8551,39.6951,38.6851,39.1951,ok,1420675200,41800
5,38.0935,39.3535,38.0235,39.3535,ok,1420761600,29100
6,37.6915,38.6315,36.9415,38.0015,ok,1421020800,62900
7,37.5011,38.7811,36.8211,37.8811,ok,1421107200,55400
8,37.1908,37.3008,36.4908,36.8708,ok,1421193600,29900
9,37.1133,37.4833,36.4733,37.4833,ok,1421280000,38200
10,37.8326,38.0726,36.5126,36.5126,ok,1421366400,30000
11,37.9031,38.5031,36.7631,37.8031,ok,1421712000,45900
12,37.8678,38.1478,36.9378,37.9978,ok,1421798400,39700
13,38.6506,38.9406,37.2306,38.0206,ok,1421884800,35700
14,38.1992,39.2093,38.1193,39.0493,ok,1421971200,39100
15,37.9948,38.3848,37.7547,38.3348,ok,1422230400,43200
16,37.8044,38.3544,37.2644,37.6044,ok,1422316800,22100
17,37.1203,38.5303,36.6403,38.5203,ok,1422403200,24600
18,37.8608,37.8908,36.5408,36.6308,ok,1422489600,33700
19,36.803,38.043,36.583,37.803,ok,1422576000,28300
20,38.0935,38.2835,36.0935,36.7035,ok,1422835200,35700
21,38.8057,39.0157,38.0357,38.2957,ok,1422921600,37400
22,38.4037,39.2937,37.9338,38.9737,ok,1423008000,28900
23,37.7268,38.9568,37.4168,38.6868,ok,1423094400,95900
24,41.3514,41.8914,35.6614,36.6714,ok,1423180800,134200
25,40.8013,41.7713,40.4913,41.2813,ok,1423440000,48000
26,41.2244,41.7944,40.2544,41.1544,ok,1423526400,52300
27,40.9212,41.6212,40.9012,41.5912,ok,1423612800,34400
28,40.9988,41.9588,40.9088,41.4488,ok,1423699200,39600
29,41.1751,41.6451,41.0151,41.0751,ok,1423785600,43600
30,41.168,41.548,40.758,41.358,ok,1424131200,24200
