,c,h,l,o,s,t,v
0,24.1038,24.1059,24.0799,24.0799,ok,1509580800,5500
1,24.1106,24.1206,24.1106,24.1206,ok,1509667200,2100
2,24.298,24.298,24.258,24.298,ok,1509926400,3600
3,24.2759,24.2889,24.2529,24.2559,ok,1510012800,7900
4,24.3403,24.3663,24.0763,24.0763,ok,1510099200,3100
5,24.3172,24.3172,24.2472,24.3072,ok,1510185600,3100
6,24.3172,24.3272,24.2372,24.2972,ok,1510272000,6800
7,24.3461,24.3761,24.2531,24.2961,ok,1510531200,1700
8,24.2326,24.2346,24.2196,24.2346,ok,1510617600,2600
9,24.1529,24.1739,24.0939,24.1739,ok,1510704000,4100
10,24.2903,24.3143,24.2183,24.2403,ok,1510790400,5800
11,24.2519,24.2599,24.2309,24.2599,ok,1510876800,4400
12,24.2692,24.2762,24.2692,24.2762,ok,1511136000,1900
13,24.4354,24.4724,24.3825,24.4424,ok,1511222400,6200
14,24.4806,24.4906,24.4476,24.4806,ok,1511308800,5900
15,24.5479,24.5679,24.5079,24.5679,ok,1511481600,2200
16,24.496,24.51,24.38,24.51,ok,1511740800,3500
17,24.495,24.76,24.43,24.76,ok,1511827200,4600
18,24.471,24.481,24.417,24.461,ok,1511913600,5500
19,24.5575,24.5975,24.4945,24.5075,ok,1512000000,7300
20,24.472,24.551,24.432,24.551,ok,1512086400,36900
21,24.4364,24.5424,24.4304,24.4724,ok,1512345600,21700
22,24.3211,24.4061,24.2951,24.3871,ok,1512432000,7600
23,24.2365,24.2705,24.2365,24.2605,ok,1512518400,4200
24,24.3182,24.3182,24.1172,24.1172,ok,1512604800,2600
25,24.423,24.503,24.413,24.483,ok,1512691200,5700
26,24.4576,24.5116,24.4576,24.4776,ok,1512950400,4000
27,24.5373,24.5783,24.5183,24.5283,ok,1513036800,6900
28,24.6037,24.6657,24.6037,24.6067,ok,1513123200,2800
29,24.5287,24.5287,24.4927,24.4927,ok,1513209600,2600
30,24.6729,24.6729,24.6139,24.6139,ok,1513296000,6000
31,24.7882,24.8282,24.7792,24.8182,ok,1513555200,10300
32,24.5969,24.7359,24.5259,24.7359,ok,1513641600,11800
33,24.4941,24.5401,24.4601,24.4951,ok,1513728000,6600
34,24.5037,24.5797,24.5037,24.5697,ok,1513814400,7700
35,24.5958,24.5958,24.5338,24.5338,ok,1513900800,6200
36,24.6219,24.6399,24.6219,24.6399,ok,1514246400,2500
37,24.6587,24.7037,24.6587,24.7037,ok,1514332800,4300
38,24.746,24.801,24.739,24.801,ok,1514419200,8100
39,24.7857,24.8297,24.7837,24.7937,ok,1514505600,5000
40,24.8865,24.8865,24.8355,24.8765,ok,1514851200,8200
41,24.9379,24.9849,24.9199,24.9749,ok,1514937600,10700
42,24.9543,24.9943,24.9313,24.9743,ok,1515024000,17500
43,25.0609,25.2009,24.9809,25.2009,ok,1515110400,6200
44,25.0958,25.1398,25.0788,25.1398,ok,1515369600,4100
45,25.0726,25.0806,25.0106,25.0346,ok,1515456000,9800
46,24.871,24.875,24.868,24.875,ok,1515542400,1600
47,24.9514,24.9774,24.9374,24.9374,ok,1515628800,3700
48,25.0512,25.0512,25.0162,25.0312,ok,1515715200,2100
49,25.0609,25.1299,25.0609,25.0689,ok,1516060800,6300
50,25.2053,25.2083,25.1663,25.1713,ok,1516147200,5300
51,25.0852,25.1482,25.0852,25.1322,ok,1516233600,2400
52,25.1966,25.2566,25.1966,25.2156,ok,1516320000,6000
53,25.3953,25.4013,25.3403,25.3403,ok,1516579200,5200
54,25.5697,25.5697,25.5297,25.5397,ok,1516665600,3900
55,25.5891,25.6241,25.5341,25.5891,ok,1516752000,6000
56,25.5077,25.5767,25.4867,25.4867,ok,1516838400,4000
57,25.687,25.731,25.591,25.591,ok,1516924800,5100
58,25.497,25.562,25.467,25.525,ok,1517184000,6100
