,c,h,l,o,s,t,v
0,4.2964,4.3164,4.1964,4.1964,ok,1420156800,16900
1,4.2188,4.3888,4.1188,4.2288,ok,1420416000,26200
2,4.2243,4.2643,4.1443,4.1543,ok,1420502400,10700
3,4.2853,4.4653,4.1553,4.1553,ok,1420588800,52300
4,4.4017,4.4017,4.0817,4.2417,ok,1420675200,45000
5,4.3241,4.6141,4.1541,4.5641,ok,1420761600,42500
6,4.0857,4.5357,3.9757,4.5257,ok,1421020800,40400
7,4.1522,4.4122,3.9922,3.9922,ok,1421107200,58400
8,4.0303,4.3403,4.0203,4.1803,ok,1421193600,78500
9,4.0136,4.2136,3.9736,4.0336,ok,1421280000,62400
10,4.1301,4.1301,3.8901,3.8901,ok,1421366400,27900
11,4.0469,4.2269,3.9869,4.2269,ok,1421712000,39300
12,4.0635,4.1035,3.9735,4.0335,ok,1421798400,48000
13,4.0857,4.1257,3.9657,4.0457,ok,1421884800,52900
14,4.0857,4.1357,4.0457,4.0557,ok,1421971200,12700
15,4.1079,4.1679,4.0179,4.0279,ok,1422230400,67500
16,4.1023,4.1523,4.0023,4.0723,ok,1422316800,18300
17,4.0746,4.1446,4.0746,4.1446,ok,1422403200,26300
18,4.1966,4.2866,4.0066,4.0066,ok,1422489600,95900
19,4.1411,4.2211,4.0811,4.2211,ok,1422576000,18500
20,4.0857,4.1957,4.0457,4.1757,ok,1422835200,13400
21,4.1356,4.1956,4.0256,4.0756,ok,1422921600,32400
22,4.2132,4.2432,4.0332,4.0332,ok,1423008000,14500
23,4.191,4.321,4.161,4.231,ok,1423094400,19900
24,4.2354,4.2754,4.1554,4.1554,ok,1423180800,38200
25,4.1633,4.3233,4.1133,4.1933,ok,1423440000,31600
26,4.1356,4.3156,4.0056,4.2756,ok,1423526400,54100
27,4.2021,4.2121,4.0821,4.0821,ok,1423612800,18800
28,4.1522,4.2722,4.0622,4.2722,ok,1423699200,30100
29,4.191,4.301,4.071,4.191,ok,1423785600,56200
30,4.2077,4.2477,4.1277,4.1277,ok,1424131200,79700
31,4.2188,4.2788,4.0088,4.1988,ok,1424217600,32700
32,4.1079,4.3679,4.0479,4.3279,ok,1424304000,125800
33,4.2458,4.2458,4.0258,4.0258,ok,1424390400,45500
34,4.2458,4.2658,4.1658,4.2458,ok,1424649600,34800
35,4.2685,4.2785,4.1985,4.2385,ok,1424736000,49200
36,4.2969,4.3069,4.2269,4.2669,ok,1424822400,45600
37,4.3423,4.3423,4.2023,4.2823,ok,1424908800,87800
38,4.4047,4.4447,4.2647,4.3647,ok,1424995200,74700
39,4.331,4.501,4.271,4.501,ok,1425254400,57600
40,4.3253,4.3553,4.2853,4.2953,ok,1425340800,24000
41,4.3082,4.3582,4.2382,4.2882,ok,1425427200,27000
42,4.3707,4.3907,4.1907,4.2307,ok,1425513600,25300
43,4.365,4.395,4.315,4.375,ok,1425600000,31000
44,4.3082,4.3882,4.2682,4.3682,ok,1425859200,31600
45,4.2572,4.3672,4.2472,4.3472,ok,1425945600,40900
46,4.3253,4.3253,4.2153,4.2153,ok,1426032000,10400
