,c,h,l,o,s,t,v
0,11.5679,11.8579,11.4179,11.7979,ok,1420156800,2476500
1,11.2833,11.5233,11.2433,11.4833,ok,1420416000,2345300
2,11.0676,11.3776,10.9576,11.3376,ok,1420502400,4766600
3,11.1366,11.1866,10.9366,11.0066,ok,1420588800,3269800
4,11.404,11.444,11.134,11.194,ok,1420675200,2696800
5,11.1194,11.4994,11.0894,11.4994,ok,1420761600,2927900
6,10.9814,11.2314,10.9114,11.1514,ok,1421020800,1897300
7,10.9382,11.2682,10.8482,11.1382,ok,1421107200,2486500
8,10.8261,10.8861,10.5961,10.7661,ok,1421193600,2235400
9,10.619,10.889,10.569,10.809,ok,1421280000,3118100
10,10.7916,10.7916,10.4516,10.5516,ok,1421366400,5185900
11,10.8088,10.8788,10.6588,10.7788,ok,1421712000,5445100
12,10.7657,10.8957,10.6857,10.7757,ok,1421798400,3459200
13,11.2833,11.3333,10.7633,10.8033,ok,1421884800,4523200
14,11.2143,11.5243,11.2043,11.2643,ok,1421971200,3119500
15,11.4817,11.5317,11.1917,11.3017,ok,1422230400,3281300
16,11.404,11.544,11.244,11.344,ok,1422316800,2840100
17,11.1194,11.5594,11.0994,11.5194,ok,1422403200,3463900
18,11.2746,11.3046,10.9746,11.1246,ok,1422489600,2986200
19,11.2056,11.3556,11.0856,11.1056,ok,1422576000,3201800
20,11.4472,11.4672,11.1372,11.2372,ok,1422835200,2954800
21,11.6542,11.6842,11.5242,11.5242,ok,1422921600,2179300
22,11.6628,11.7928,11.5728,11.6128,ok,1423008000,2176100
23,11.8612,11.8712,11.6312,11.7112,ok,1423094400,1465600
24,11.9389,12.1389,11.8989,11.9789,ok,1423180800,2939000
25,11.8267,11.9567,11.7867,11.8267,ok,1423440000,1849100
26,11.9303,11.9803,11.7903,11.9503,ok,1423526400,2333100
27,11.982,12.042,11.842,11.902,ok,1423612800,1983400
28,12.3184,12.3284,11.9684,12.0384,ok,1423699200,2135100
29,12.4651,12.4751,12.2751,12.3351,ok,1423785600,2918100
