,c,h,l,o,s,t,v
0,29.68,31.9,29.5,30.4,ok,1434585600,52076000
1,32.5,33.95,30.33,31.16,ok,1434672000,25871400
2,37.06,40.45,35.0,35.65,ok,1434931200,33816800
3,37.88,40.38,37.1,39.84,ok,1435017600,20986400
4,36.01,36.75,35.25,36.52,ok,1435104000,13661800
5,36.59,37.55,36.11,37.52,ok,1435190400,7786800
6,34.75,36.93,33.65,36.9,ok,1435276800,7374600
7,33.28,34.4,32.5,33.1,ok,1435536000,5568200
8,38.23,38.23,34.5,35.05,ok,1435622400,12506600
9,42.38,42.38,38.38,39.29,ok,1435708800,27215100
10,42.24,44.38,41.49,41.82,ok,1435795200,17679300
11,40.19,43.0,39.75,41.15,ok,1436140800,9343300
12,42.15,42.98,39.0,42.36,ok,1436227200,20890700
13,41.74,42.93,40.61,41.37,ok,1436313600,10754800
14,42.25,44.0,42.2,43.23,ok,1436400000,10483800
15,42.1,43.6,41.88,43.26,ok,1436486400,7193700
16,43.48,44.59,42.75,43.29,ok,1436745600,14892500
17,46.0,46.0,43.76,44.7,ok,1436832000,14656800
18,47.29,48.978,45.26,46.87,ok,1436918400,18440300
19,47.78,48.0,46.01,47.85,ok,1437004800,9294600
20,47.17,47.4,46.25,47.24,ok,1437091200,6670400
21,44.47,47.2,43.07,45.9,ok,1437350400,13186100
22,46.87,47.03,43.51,43.95,ok,1437436800,7239500
23,45.53,47.43,45.02,46.1,ok,1437523200,5160300
24,46.2,47.25,45.83,46.71,ok,1437609600,4668700
25,45.54,46.7,45.18,46.7,ok,1437696000,3305800
26,43.93,45.23,41.7,45.0,ok,1437955200,7137200
27,45.47,45.82,43.4,44.31,ok,1438041600,3738800
28,44.07,45.65,43.78,45.4,ok,1438128000,2711100
29,45.19,45.42,42.64,44.29,ok,1438214400,2980900
30,47.6,47.84,44.45,45.0,ok,1438300800,5661000
31,48.96,50.99,48.05,49.14,ok,1438560000,15411200
32,49.69,50.637,48.25,50.0,ok,1438646400,7803700
33,51.64,51.9,49.47,50.35,ok,1438732800,20018400
34,44.6,47.9,43.56,46.64,ok,1438819200,22572800
35,42.68,45.51,41.5,45.08,ok,1438905600,9449900
36,43.15,44.4,42.51,43.21,ok,1439164800,6029000
37,42.93,44.1,42.25,42.9,ok,1439251200,3392800
38,41.18,42.41,39.2,41.76,ok,1439337600,7352500
39,42.25,42.99,41.51,42.25,ok,1439424000,3396900
40,44.65,44.98,42.82,43.09,ok,1439510400,5351500
41,44.93,45.25,43.71,44.64,ok,1439769600,3287800
42,43.77,44.89,42.66,44.55,ok,1439856000,3472400
43,43.1,43.72,42.79,43.13,ok,1439942400,1954800
44,41.41,42.5,41.0,41.88,ok,1440028800,3656000
45,38.65,40.4,37.69,38.55,ok,1440115200,6946900
46,37.36,37.36,30.51,32.29,ok,1440374400,8051100
47,36.77,40.08,36.53,40.08,ok,1440460800,3220700
48,38.4,38.5,36.25,38.16,ok,1440547200,2905200
49,34.97,40.0,33.54,39.79,ok,1440633600,8588700
50,33.8,35.0,33.26,34.32,ok,1440720000,4249200
51,34.49,35.5,33.75,34.24,ok,1440979200,4630800
52,32.89,34.09,32.4,33.1,ok,1441065600,2785100
53,33.57,33.6,32.68,33.41,ok,1441152000,1774600
54,33.05,34.25,32.522,33.6,ok,1441238400,2058300
55,31.88,32.7,31.25,32.25,ok,1441324800,1795900
56,35.46,35.89,34.1,34.73,ok,1441670400,6704000
57,35.95,37.39,35.31,36.69,ok,1441756800,4585200
58,34.23,35.99,33.8,35.56,ok,1441843200,3044600
59,32.4,34.0,31.28,33.8,ok,1441929600,4948300
60,32.0,33.2,31.71,33.13,ok,1442188800,2215100
61,33.04,33.99,32.41,33.25,ok,1442275200,5245900
62,37.1,38.45,33.85,34.61,ok,1442361600,10125400
63,39.88,40.899,36.1,36.46,ok,1442448000,18266700
64,40.72,42.04,38.6,39.25,ok,1442534400,13693400
65,38.09,41.92,37.75,41.75,ok,1442793600,8257800
66,39.49,39.89,36.73,36.99,ok,1442880000,5301100
67,39.11,40.367,38.65,39.93,ok,1442966400,3037100
68,38.79,38.95,37.0,38.3,ok,1443052800,2766400
69,37.6,40.24,37.3,39.7,ok,1443139200,3207400
70,36.05,37.16,35.26,36.92,ok,1443398400,2802100
71,35.3,36.27,34.26,36.04,ok,1443484800,2651300
72,37.69,37.69,34.71,35.59,ok,1443571200,5896100
73,38.05,38.53,36.31,37.24,ok,1443657600,2506500
74,37.3,38.4,37.0,37.15,ok,1443744000,2106900
75,38.1,38.97,37.32,37.85,ok,1444003200,3231600
76,36.4,38.1,35.83,38.01,ok,1444089600,2675900
77,35.25,36.88,33.66,36.7,ok,1444176000,3506200
78,34.67,35.77,33.43,34.79,ok,1444262400,2678700
79,35.36,36.1,34.65,35.1,ok,1444348800,1829100
80,36.1,36.48,35.75,36.02,ok,1444608000,1284300
81,36.17,37.88,34.76,36.32,ok,1444694400,3128400
82,35.6,36.313,34.95,36.25,ok,1444780800,1241000
83,37.1,37.11,35.44,35.5,ok,1444867200,1357300
84,36.9,37.6,36.53,37.26,ok,1444953600,1215700
85,37.41,38.98,36.55,36.75,ok,1445212800,2893800
86,38.5,41.11,38.1,39.21,ok,1445299200,6884500
87,36.82,39.5,35.42,39.19,ok,1445385600,3102800
88,37.09,38.06,35.82,37.6,ok,1445472000,2095100
89,38.47,38.6,37.5,37.82,ok,1445558400,2055700
90,37.37,38.78,37.25,38.18,ok,1445817600,1688400
91,37.67,37.9,36.89,37.25,ok,1445904000,1042000
92,39.09,39.41,37.82,38.3,ok,1445990400,2262700
93,37.57,38.7,37.0,38.21,ok,1446076800,3482800
94,40.54,40.78,37.66,38.2,ok,1446163200,5732200
95,40.8,41.97,39.93,41.53,ok,1446422400,12417100
96,37.31,39.13,37.17,38.0,ok,1446508800,14193400
97,37.82,38.44,37.5,37.98,ok,1446595200,4835400
98,36.86,37.74,36.6,37.55,ok,1446681600,3092100
99,37.92,37.95,36.02,36.86,ok,1446768000,4283900
100,37.46,38.15,36.6,37.8,ok,1447027200,2460200
101,35.92,38.14,35.56,37.08,ok,1447113600,4465100
102,34.31,36.34,34.21,36.04,ok,1447200000,2691800
103,31.68,34.0,31.5,33.73,ok,1447286400,7115800
104,27.86,29.4,26.8,29.02,ok,1447372800,30545600
105,28.76,28.85,27.55,28.0,ok,1447632000,6350900
106,28.73,30.02,28.26,29.41,ok,1447718400,10054100
107,28.67,28.9,27.5,28.82,ok,1447804800,6065200
108,29.01,29.4,28.71,29.14,ok,1447891200,5388600
109,27.59,29.25,27.57,29.23,ok,1447977600,7429900
110,27.03,27.98,26.462,27.89,ok,1448236800,8393100
111,26.87,27.48,26.61,26.82,ok,1448323200,3886300
112,27.99,28.56,26.66,26.96,ok,1448409600,4834900
113,27.84,28.55,27.63,28.26,ok,1448582400,2070000
114,28.72,29.22,28.45,29.09,ok,1448841600,6908800
115,29.22,29.85,27.93,29.19,ok,1448928000,7264100
116,29.37,29.81,28.57,29.3,ok,1449014400,4883200
117,30.14,30.84,29.45,29.98,ok,1449100800,6884200
118,33.37,33.37,30.33,30.5,ok,1449187200,9524600
119,34.1,34.68,32.61,33.99,ok,1449446400,9306100
120,32.34,33.99,32.28,33.19,ok,1449532800,5084200
121,31.25,33.35,30.77,32.4,ok,1449619200,4645000
122,30.77,31.85,30.6,31.31,ok,1449705600,3487600
123,29.5,30.88,29.23,30.69,ok,1449792000,4438500
124,29.15,29.75,27.67,29.23,ok,1450051200,3690400
125,29.84,30.79,28.24,29.05,ok,1450137600,6587100
126,29.47,30.54,29.05,30.3,ok,1450224000,3868600
127,27.81,29.75,27.64,29.7,ok,1450310400,5676200
128,27.73,28.21,27.07,28.13,ok,1450396800,4677900
129,29.1,29.45,28.02,29.09,ok,1450656000,7395500
130,28.66,29.2,28.26,29.1,ok,1450742400,3503200
131,28.63,28.92,28.26,28.92,ok,1450828800,3628200
132,28.91,29.2,28.36,28.38,ok,1450915200,1603600
133,29.86,30.65,29.56,30.22,ok,1451260800,8024900
134,29.35,30.75,29.1,30.5,ok,1451347200,5978400
135,29.63,29.74,28.74,29.0,ok,1451433600,3414300
136,29.59,30.0,29.0,29.09,ok,1451520000,3725700
137,29.76,29.99,28.12,28.65,ok,1451865600,4567000
138,24.3,30.96,24.03,30.21,ok,1451952000,30670400
139,22.9,24.18,22.64,23.73,ok,1452038400,13673000
140,21.5,23.28,20.25,22.16,ok,1452124800,17043600
141,21.52,22.59,21.36,22.2,ok,1452211200,6441900
142,18.85,21.62,18.35,21.43,ok,1452470400,13868000
143,19.63,19.75,18.9,19.36,ok,1452556800,5176900
144,19.85,20.48,19.17,19.65,ok,1452643200,5863000
145,18.87,19.417,17.77,19.2,ok,1452729600,7268000
146,17.97,18.34,17.3,17.57,ok,1452816000,5383800
147,17.66,18.79,17.25,18.32,ok,1453161600,4529300
148,17.79,18.28,15.524,16.85,ok,1453248000,7861800
149,18.19,18.62,17.297,18.58,ok,1453334400,5743200
150,18.81,19.345,18.21,18.5,ok,1453420800,3433700
151,17.29,18.724,17.15,18.58,ok,1453680000,4026100
152,16.77,17.669,16.67,17.33,ok,1453766400,4297000
153,16.05,17.29,16.01,17.29,ok,1453852800,5306700
154,15.69,16.645,15.6,16.26,ok,1453939200,4196600
155,16.6,16.68,15.71,15.79,ok,1454025600,4443400
156,16.71,17.05,16.02,16.5,ok,1454284800,4275800
157,16.09,17.04,16.0,16.92,ok,1454371200,3806700
158,16.04,16.573,15.6,16.45,ok,1454457600,4454500
159,16.93,17.25,15.98,16.03,ok,1454544000,5713000
160,15.73,16.965,15.68,16.95,ok,1454630400,6141400
161,14.38,15.42,14.16,15.42,ok,1454889600,5787600
162,14.3,15.58,13.99,14.03,ok,1454976000,6984300
163,14.68,15.88,14.31,14.82,ok,1455062400,6349500
164,13.78,14.184,12.9,14.0,ok,1455148800,13818900
165,13.94,14.49,13.8,14.18,ok,1455235200,4665400
166,14.9,15.09,13.81,14.39,ok,1455580800,5082500
167,15.89,16.44,14.8,15.2,ok,1455667200,7753800
