,c,h,l,o,s,t,v
0,23.3135,24.0135,23.2435,23.8785,ok,1568332800,3478800
1,23.2848,23.6648,22.9648,23.4948,ok,1568592000,403800
2,23.438,23.608,23.238,23.608,ok,1568678400,469200
3,23.5146,23.5746,23.3846,23.5546,ok,1568764800,515800
4,23.6773,23.7473,23.4973,23.5473,ok,1568851200,368900
5,23.7731,23.7731,23.5931,23.6931,ok,1568937600,156000
6,23.7922,23.8022,23.7022,23.7922,ok,1569196800,213300
7,23.7348,23.7948,23.7248,23.7948,ok,1569283200,134000
8,23.7252,23.7952,23.6852,23.7852,ok,1569369600,69400
9,23.6965,23.7465,23.4465,23.7465,ok,1569456000,35500
10,23.8305,23.8405,23.7305,23.7405,ok,1569542400,37400
11,23.7635,23.8435,23.7435,23.8435,ok,1569801600,34700
12,23.6965,23.7865,23.5965,23.7465,ok,1569888000,55100
13,23.8334,23.8404,23.7104,23.7904,ok,1570060800,122700
14,23.8564,23.8794,23.7394,23.8394,ok,1570147200,116800
15,23.8851,23.9081,23.7481,23.8681,ok,1570406400,118700
16,23.9263,23.9663,23.8093,23.8863,ok,1570492800,387900
17,24.022,24.022,23.902,23.902,ok,1570579200,248800
18,24.0507,24.0827,23.9807,24.0207,ok,1570665600,114200
19,24.0507,24.2407,23.9807,24.0507,ok,1570752000,98000
20,24.156,24.266,24.046,24.056,ok,1571011200,102700
21,24.1369,24.3169,24.1169,24.2269,ok,1571097600,200600
22,24.1848,24.1948,24.0448,24.1448,ok,1571184000,127300
23,24.4337,24.5037,24.1637,24.1837,ok,1571270400,126200
24,24.3667,24.4367,24.3467,24.4367,ok,1571356800,32800
25,24.3188,24.4188,24.2968,24.3688,ok,1571616000,75400
26,24.3954,24.4054,24.2754,24.4054,ok,1571702400,82300
27,24.4098,24.5248,24.3448,24.4048,ok,1571788800,106300
28,24.4241,24.4341,24.3341,24.4341,ok,1571875200,190500
29,24.4624,24.4824,24.3974,24.4624,ok,1571961600,378400
30,24.4816,24.4816,24.4146,24.4716,ok,1572220800,301900
31,24.5582,24.5982,24.4582,24.4982,ok,1572307200,107600
32,24.8263,24.8363,24.5263,24.5463,ok,1572393600,248600
33,24.9794,25.1294,24.8594,24.8594,ok,1572480000,1250400
34,24.7114,25.0214,24.7114,24.9514,ok,1572566400,133400
35,24.7114,24.8554,24.6614,24.8014,ok,1572825600,58900
36,24.5486,24.6986,24.4186,24.6986,ok,1572912000,168800
37,24.6252,24.7142,24.4552,24.5652,ok,1572998400,51500
38,24.4433,24.6063,24.4133,24.5533,ok,1573084800,409700
39,24.4624,24.5924,24.4124,24.4924,ok,1573171200,40700
40,24.5486,24.5786,24.4086,24.4586,ok,1573430400,22900
