,c,h,l,o,s,t,v
0,29.0062,29.0662,29.0062,29.0662,ok,1514332800,300
1,29.0352,29.0352,28.9852,28.9952,ok,1514419200,900
2,28.9048,29.0388,28.9048,29.0388,ok,1514505600,21100
3,29.0255,29.1055,29.0065,29.1055,ok,1514851200,78800
4,29.2959,29.2959,29.1359,29.1399,ok,1514937600,3600
5,29.4803,29.5093,29.4173,29.4393,ok,1515024000,15100
6,29.6531,29.7931,29.5231,29.7931,ok,1515110400,8700
7,29.7787,31.1286,29.5287,31.1286,ok,1515369600,9100
8,29.7304,29.7504,29.6904,29.7504,ok,1515456000,2700
9,29.5469,29.5469,29.4469,29.4769,ok,1515542400,3000
10,29.8366,29.8366,29.3466,29.3466,ok,1515628800,3100
11,30.1552,30.5202,29.9492,30.0352,ok,1515715200,11500
12,29.9187,31.7137,29.9187,31.7137,ok,1516060800,5200
13,29.9331,29.9331,29.8731,29.8741,ok,1516147200,1300
14,29.9187,29.9637,29.8737,29.9637,ok,1516233600,8500
15,30.1243,30.1243,30.1063,30.1063,ok,1516320000,400
16,29.9235,29.9435,29.8535,29.9435,ok,1516579200,4100
17,29.9331,29.9451,29.8831,29.9331,ok,1516665600,3900
18,29.9225,29.9535,29.5135,29.8335,ok,1516752000,2800
19,29.9235,29.9735,29.8835,29.9635,ok,1516838400,17500
20,30.2779,30.2779,30.1009,30.2109,ok,1516924800,900
21,30.0007,30.0007,29.8727,29.9707,ok,1517270400,6300
22,29.9621,29.9621,29.9621,29.9621,ok,1517356800,400
23,29.9331,30.0531,29.9331,30.0531,ok,1517443200,900
24,29.3721,29.4831,29.3721,29.4831,ok,1517529600,400
25,28.6296,29.2746,28.6296,29.2746,ok,1517788800,900
26,28.2434,28.2434,28.1134,28.1134,ok,1517875200,500
27,28.5997,28.7187,28.5997,28.7187,ok,1517961600,1200
28,28.2714,29.2424,28.2214,29.1624,ok,1518048000,6300
29,28.3979,28.5779,27.7089,27.8079,ok,1518134400,4400
30,29.0226,29.0456,29.0226,29.0456,ok,1518480000,1200
31,29.0255,29.0255,29.0255,29.0255,ok,1518566400,200
32,30.0007,30.0007,30.0007,30.0007,ok,1518652800,400
33,30.2614,30.2704,30.2614,30.2704,ok,1518739200,1400
34,30.2904,30.2904,30.2904,30.2904,ok,1519084800,300
35,30.0403,30.1793,30.0403,30.1793,ok,1519257600,2000
36,30.3773,30.3773,30.3773,30.3773,ok,1519344000,1000
37,30.7442,30.7442,30.7142,30.7442,ok,1519603200,3500
38,30.696,31.116,30.696,31.116,ok,1519689600,1200
39,30.5173,30.7763,30.5173,30.6023,ok,1519776000,1700
40,30.107,30.332,29.9699,30.332,ok,1519862400,1300
41,30.4449,30.4449,30.4449,30.4449,ok,1519948800,300
42,30.6863,30.6863,30.2363,30.2363,ok,1520208000,1700
43,30.8186,30.8716,30.8186,30.8716,ok,1520294400,700
44,30.9953,30.9953,30.8653,30.8653,ok,1520380800,900
45,31.2463,31.2463,31.2083,31.2083,ok,1520467200,400
46,31.6123,31.6123,31.4533,31.4533,ok,1520553600,1800
47,31.3352,31.5232,31.2642,31.4732,ok,1520899200,24600
48,31.2174,31.4074,31.1034,31.4074,ok,1520985600,4400
49,31.0156,31.2106,31.0156,31.2106,ok,1521158400,1700
50,30.889,30.929,30.764,30.909,ok,1521504000,900
51,31.0629,31.0729,31.0229,31.0729,ok,1521590400,1100
52,30.29,31.04,30.29,31.04,ok,1521676800,1600
53,30.4059,30.4059,30.4059,30.4059,ok,1521763200,200
54,30.5895,30.5895,30.0715,30.0715,ok,1522022400,800
55,30.5895,30.6105,30.5895,30.6105,ok,1522108800,200
56,29.8359,29.8459,29.8359,29.8459,ok,1522195200,500
57,30.2542,30.4202,29.9412,29.9412,ok,1522281600,2900
58,29.7972,30.3172,29.7972,30.3172,ok,1522627200,1900
59,29.9518,29.9518,29.9518,29.9518,ok,1522713600,300
60,30.0967,30.0967,30.0967,30.0967,ok,1522800000,700
61,30.8407,30.9407,30.8407,30.9007,ok,1522886400,500
62,29.9759,30.4009,29.9759,30.4009,ok,1522972800,900
63,30.3383,30.5783,30.3383,30.5783,ok,1523232000,700
64,30.7537,30.7537,30.5437,30.5437,ok,1523318400,4500
