,c,h,l,o,s,t,v
0,24.4152,24.4342,24.2652,24.3152,ok,1509926400,2400
1,24.4728,24.5828,24.4728,24.5828,ok,1510012800,4600
2,24.5381,24.5401,24.4801,24.5001,ok,1510099200,5400
3,24.4152,24.5052,24.4152,24.5052,ok,1510185600,1200
4,24.6024,24.6024,24.5364,24.5364,ok,1510272000,400
5,24.6264,24.6764,24.5464,24.5464,ok,1510531200,3400
6,24.252,24.369,24.242,24.369,ok,1510617600,202300
7,24.108,24.158,24.108,24.158,ok,1510704000,1600
8,24.6072,24.6572,24.5372,24.5372,ok,1510790400,400
9,24.6648,24.6848,24.6248,24.6248,ok,1510876800,7900
10,24.9145,24.9145,24.7645,24.7645,ok,1511136000,1600
11,25.4233,25.4833,25.3933,25.4223,ok,1511222400,7100
12,25.3657,25.3957,25.3057,25.3657,ok,1511308800,1500
13,25.2217,25.2217,25.1517,25.1517,ok,1511481600,1300
14,24.8089,24.9489,24.7889,24.9489,ok,1511740800,5100
15,24.9241,24.9241,24.8201,24.9241,ok,1511827200,3500
16,24.3614,24.7074,24.3614,24.7074,ok,1511913600,3300
17,24.1464,24.2664,24.1464,24.2664,ok,1512000000,7500
18,23.8776,24.0076,23.6326,24.0076,ok,1512086400,6700
19,23.8392,24.1192,23.8342,24.1192,ok,1512345600,1900
20,23.6663,23.7353,23.6663,23.7353,ok,1512432000,1500
21,23.2842,23.3272,23.1822,23.2122,ok,1512518400,3700
22,23.3783,23.4583,23.3583,23.3983,ok,1512604800,5200
23,23.7624,23.9023,23.7073,23.9023,ok,1512691200,13000
24,24.0888,24.1388,24.0138,24.1088,ok,1512950400,17300
25,23.7431,23.8431,23.6931,23.8131,ok,1513036800,12500
26,24.1944,24.1944,24.1944,24.1944,ok,1513123200,1000
27,23.8104,24.0504,23.8104,24.0504,ok,1513209600,62200
28,23.818,23.91,23.815,23.87,ok,1513296000,13700
29,24.012,24.012,23.922,24.002,ok,1513555200,13000
30,24.035,24.051,24.001,24.001,ok,1513641600,1600
31,23.9544,24.0044,23.9544,24.0044,ok,1513728000,300
