,c,h,l,o,s,t,v
0,98.64,100.73,98.64,100.7,ok,1478822400,3200
1,98.45,98.53,98.073,98.2,ok,1479081600,2300
2,99.71,99.71,98.55,98.86,ok,1479168000,3000
3,97.65,98.04,97.329,97.62,ok,1479254400,2700
4,98.18,98.34,98.0,98.34,ok,1479340800,10600
5,96.13,96.5,95.9,96.5,ok,1479427200,3100
6,97.08,97.4,96.9,97.37,ok,1479686400,3700
7,96.771,97.1,96.771,97.1,ok,1479772800,3900
8,95.47,95.48,94.13,94.14,ok,1479859200,3500
9,96.985,97.54,96.985,97.31,ok,1480032000,11500
10,95.0,95.66,95.0,95.66,ok,1480291200,1700
11,96.39,96.39,95.21,95.21,ok,1480377600,1300
12,97.03,97.35,96.8,97.35,ok,1480464000,3300
13,95.76,96.38,95.76,96.38,ok,1480550400,4000
14,96.91,97.31,95.75,95.75,ok,1480636800,12500
15,99.48,99.48,98.143,98.4,ok,1480896000,5000
16,101.81,101.81,100.11,100.11,ok,1480982400,2500
17,104.32,104.32,102.22,102.5,ok,1481068800,3500
18,103.28,103.46,102.743,102.94,ok,1481155200,2700
19,104.78,104.86,103.99,104.02,ok,1481241600,15500
20,104.74,104.84,104.529,104.75,ok,1481500800,5400
21,107.53,107.53,106.846,107.24,ok,1481587200,3700
22,106.25,107.73,106.25,107.53,ok,1481673600,2400
23,104.18,104.26,103.89,103.89,ok,1481760000,2600
24,105.36,105.95,104.844,105.95,ok,1481846400,12400
25,105.53,105.92,105.52,105.92,ok,1482105600,1900
26,105.5,105.5,105.5,105.5,ok,1482192000,200
27,105.13,105.77,105.13,105.75,ok,1482278400,9000
28,105.155,105.82,105.155,105.45,ok,1482364800,4800
29,105.75,105.75,105.31,105.31,ok,1482451200,14000
30,105.78,105.94,105.651,105.85,ok,1482796800,3700
31,104.73,104.93,104.73,104.92,ok,1482883200,3200
32,105.89,106.163,105.445,105.445,ok,1482969600,3900
33,107.04,108.13,106.79,107.75,ok,1483056000,17400
34,107.551,107.68,107.38,107.38,ok,1483401600,5800
35,109.41,109.41,108.21,108.67,ok,1483488000,1800
36,111.81,111.81,110.8,110.8,ok,1483574400,2300
37,110.81,111.24,110.81,110.81,ok,1483660800,2200
38,110.28,110.31,108.9,108.9,ok,1483920000,15300
39,110.34,110.864,110.34,110.36,ok,1484006400,2500
40,110.93,110.93,109.65,109.71,ok,1484092800,3500
41,111.17,111.19,111.0,111.0,ok,1484179200,3400
42,111.61,111.77,111.4,111.69,ok,1484265600,1900
43,111.276,111.52,111.18,111.48,ok,1484611200,17700
44,110.669,111.179,110.41,111.0,ok,1484697600,3800
45,109.93,110.46,109.32,110.46,ok,1484784000,4700
46,110.86,110.889,110.05,110.42,ok,1484870400,3800
47,111.27,111.27,110.05,110.72,ok,1485129600,3100
48,111.285,111.285,110.45,110.66,ok,1485216000,12700
