,c,h,l,o,s,t,v
0,11.1,11.24,10.96,11.22,ok,1420156800,3145100
1,10.82,11.02,10.75,11.01,ok,1420416000,4109400
2,10.47,10.84,10.35,10.82,ok,1420502400,9527500
3,10.89,10.91,10.5,10.55,ok,1420588800,7791000
4,11.09,11.11,10.92,10.94,ok,1420675200,3509500
5,11.09,11.17,11.02,11.09,ok,1420761600,2579600
6,10.81,11.12,10.71,11.06,ok,1421020800,3303800
7,10.8,11.06,10.65,10.87,ok,1421107200,4620400
8,10.82,10.91,10.62,10.7,ok,1421193600,4791100
9,10.68,10.93,10.66,10.89,ok,1421280000,3408700
10,10.87,10.89,10.62,10.69,ok,1421366400,2543200
11,10.74,10.97,10.72,10.97,ok,1421712000,3169600
12,10.86,10.9,10.61,10.75,ok,1421798400,4410400
13,10.87,10.95,10.75,10.9,ok,1421884800,3758600
14,11.0,11.05,10.89,10.95,ok,1421971200,3689000
15,11.04,11.1,10.99,11.04,ok,1422230400,2795300
16,10.65,10.99,10.62,10.9,ok,1422316800,4202500
17,10.57,10.93,10.56,10.92,ok,1422403200,5022000
18,11.35,11.35,10.95,11.09,ok,1422489600,12199700
19,11.12,11.26,11.0,11.14,ok,1422576000,6647500
20,11.2,11.25,10.93,11.09,ok,1422835200,4865800
21,11.68,11.71,11.27,11.3,ok,1422921600,6329900
22,11.62,11.87,11.56,11.68,ok,1423008000,4586000
23,11.88,11.94,11.67,11.7,ok,1423094400,3934200
24,11.74,11.91,11.69,11.89,ok,1423180800,3705700
25,11.63,11.85,11.61,11.7,ok,1423440000,3276500
26,11.86,11.9,11.6,11.74,ok,1423526400,3165600
27,11.93,11.95,11.76,11.81,ok,1423612800,3953900
28,12.14,12.16,11.94,12.0,ok,1423699200,4229500
29,12.05,12.16,11.89,12.15,ok,1423785600,5749800
30,12.15,12.25,12.0,12.05,ok,1424131200,4155600
31,12.03,12.25,11.98,12.2,ok,1424217600,5717200
32,12.07,12.21,11.97,12.04,ok,1424304000,3090500
33,12.23,12.23,12.0,12.07,ok,1424390400,2781400
34,12.21,12.26,12.06,12.25,ok,1424649600,2483300
35,12.4,12.44,12.22,12.23,ok,1424736000,4604500
36,12.29,12.44,12.25,12.39,ok,1424822400,2589400
37,12.28,12.48,12.25,12.3,ok,1424908800,4554100
38,12.18,12.35,12.12,12.29,ok,1424995200,7612500
39,12.23,12.36,12.15,12.15,ok,1425254400,4081600
40,11.92,12.21,11.89,12.19,ok,1425340800,6133500
41,11.95,12.07,11.8,11.92,ok,1425427200,6790300
42,11.96,12.03,11.9,11.96,ok,1425513600,3122000
43,11.76,11.94,11.7,11.93,ok,1425600000,3471100
44,11.65,11.82,11.62,11.76,ok,1425859200,3565700
45,11.41,11.65,11.35,11.53,ok,1425945600,3274500
46,11.48,11.55,11.34,11.41,ok,1426032000,2338100
47,11.55,11.59,11.41,11.41,ok,1426118400,1765400
48,11.69,11.79,11.57,11.67,ok,1426204800,2938800
49,11.9,11.93,11.69,11.73,ok,1426464000,3435100
50,11.95,12.0,11.8,11.82,ok,1426550400,3957800
51,12.08,12.24,11.91,11.95,ok,1426636800,4936700
52,12.12,12.23,12.03,12.06,ok,1426723200,4422300
53,12.28,12.35,12.18,12.25,ok,1426809600,3328900
54,12.36,12.4,12.22,12.39,ok,1427068800,2692300
55,12.45,12.5,12.31,12.34,ok,1427155200,4287400
56,12.21,12.61,12.21,12.46,ok,1427241600,7488700
57,12.34,12.41,12.12,12.18,ok,1427328000,5464000
58,12.38,12.45,12.25,12.25,ok,1427414400,2939200
59,12.65,12.74,12.4,12.42,ok,1427673600,4233400
60,12.68,12.78,12.6,12.63,ok,1427760000,6396800
61,12.57,12.63,12.44,12.61,ok,1427846400,4864400
62,12.52,12.65,12.47,12.6,ok,1427932800,3543800
63,12.59,12.63,12.4,12.4,ok,1428278400,2723100
64,12.57,12.74,12.53,12.6,ok,1428364800,2550300
65,12.79,12.79,12.55,12.6,ok,1428451200,3188300
66,12.78,12.86,12.65,12.72,ok,1428537600,2441600
67,12.84,12.84,12.66,12.71,ok,1428624000,1940600
68,12.61,12.83,12.59,12.83,ok,1428883200,2402100
69,12.55,12.61,12.42,12.58,ok,1428969600,3951300
70,12.76,12.79,12.6,12.64,ok,1429056000,3105700
71,12.61,12.72,12.59,12.67,ok,1429142400,1898100
72,12.35,12.55,12.2,12.48,ok,1429228800,2675700
73,12.46,12.52,12.33,12.36,ok,1429488000,2004200
74,12.45,12.54,12.38,12.5,ok,1429574400,2053800
75,12.59,12.61,12.18,12.45,ok,1429660800,2652000
76,12.53,12.64,12.38,12.52,ok,1429747200,2784500
77,12.35,12.54,12.29,12.5,ok,1429833600,2592100
78,12.27,12.46,12.2,12.36,ok,1430092800,2383000
79,12.17,12.32,12.05,12.22,ok,1430179200,3193400
80,12.22,12.32,12.05,12.11,ok,1430265600,3685500
81,11.53,11.86,11.31,11.65,ok,1430352000,6682800
82,11.89,11.89,11.48,11.52,ok,1430438400,8430400
83,12.03,12.1,11.92,12.0,ok,1430697600,7079300
84,11.89,12.07,11.75,12.01,ok,1430784000,5738600
85,11.81,11.96,11.63,11.92,ok,1430870400,7158700
86,11.87,11.94,11.78,11.85,ok,1430956800,4384500
87,11.96,12.02,11.9,11.98,ok,1431043200,5223200
88,12.05,12.06,11.91,11.93,ok,1431302400,3230700
89,12.08,12.13,11.92,11.96,ok,1431388800,3309300
90,12.11,12.22,12.05,12.13,ok,1431475200,2965900
91,12.52,12.53,12.13,12.2,ok,1431561600,3097300
92,12.54,12.56,12.42,12.53,ok,1431648000,2996300
93,12.57,12.6,12.43,12.49,ok,1431907200,2241000
94,12.5,12.6,12.47,12.57,ok,1431993600,2706500
95,12.51,12.63,12.47,12.47,ok,1432080000,3114300
96,12.26,12.48,12.17,12.44,ok,1432166400,4693300
97,12.26,12.29,12.09,12.12,ok,1432252800,2527000
98,12.14,12.35,12.07,12.07,ok,1432598400,2935700
99,12.22,12.27,12.11,12.14,ok,1432684800,2484500
100,12.21,12.27,12.14,12.14,ok,1432771200,3138400
101,12.15,12.24,12.08,12.21,ok,1432857600,3575800
102,12.05,12.23,12.0,12.23,ok,1433116800,2930900
103,12.1,12.12,11.94,11.96,ok,1433203200,4323000
104,12.16,12.22,12.03,12.1,ok,1433289600,3173700
105,12.08,12.15,11.93,11.99,ok,1433376000,5910700
106,12.14,12.14,12.0,12.09,ok,1433462400,1902200
107,12.02,12.15,12.01,12.07,ok,1433721600,3636700
108,12.01,12.06,11.93,11.98,ok,1433808000,4637300
109,12.1,12.18,12.03,12.09,ok,1433894400,2623100
110,12.11,12.21,12.09,12.11,ok,1433980800,1274400
111,12.05,12.11,11.95,12.01,ok,1434067200,1906300
112,12.05,12.07,11.89,12.02,ok,1434326400,2216700
113,12.05,12.11,11.95,11.98,ok,1434412800,4212500
114,12.06,12.16,12.01,12.02,ok,1434499200,2612500
115,12.06,12.1,11.91,11.93,ok,1434585600,4135400
116,12.06,12.08,11.95,11.95,ok,1434672000,3676400
117,12.15,12.15,12.01,12.05,ok,1434931200,2072000
118,12.08,12.22,12.06,12.14,ok,1435017600,2707200
119,11.89,12.12,11.8,12.0,ok,1435104000,5731300
120,11.85,11.94,11.83,11.93,ok,1435190400,4174300
121,11.84,11.9,11.77,11.85,ok,1435276800,3755400
122,11.56,11.77,11.54,11.75,ok,1435536000,6210400
123,11.31,11.72,11.29,11.6,ok,1435622400,3919600
124,11.31,11.47,11.28,11.35,ok,1435708800,2716300
125,11.31,11.4,11.22,11.37,ok,1435795200,1966500
126,11.09,11.2,11.02,11.2,ok,1436140800,2453600
127,11.19,11.21,10.93,11.08,ok,1436227200,3967800
128,10.85,11.17,10.85,11.05,ok,1436313600,3537600
129,10.86,10.99,10.78,10.99,ok,1436400000,5190300
130,11.09,11.11,10.9,10.99,ok,1436486400,4096500
131,10.76,11.17,10.72,11.13,ok,1436745600,4828200
132,10.88,10.92,10.74,10.78,ok,1436832000,4989300
133,10.75,10.96,10.74,10.85,ok,1436918400,3951500
134,10.85,10.93,10.72,10.76,ok,1437004800,6871500
135,10.79,10.93,10.76,10.86,ok,1437091200,2475100
136,10.68,10.82,10.63,10.8,ok,1437350400,3110200
137,10.89,10.98,10.61,10.64,ok,1437436800,4752700
138,10.77,10.83,10.71,10.75,ok,1437523200,4265800
139,10.89,11.03,10.75,10.89,ok,1437609600,4650600
140,10.75,11.49,10.73,11.02,ok,1437696000,7949300
141,10.63,10.84,10.53,10.62,ok,1437955200,4051100
142,10.76,10.81,10.64,10.7,ok,1438041600,3749600
143,10.94,10.95,10.68,10.73,ok,1438128000,5060900
144,11.0,11.02,10.81,10.95,ok,1438214400,2992800
145,11.01,11.07,10.91,11.0,ok,1438300800,3569400
146,10.89,11.0,10.75,10.99,ok,1438560000,4501000
147,10.9,11.01,10.81,10.84,ok,1438646400,3362100
148,11.23,11.29,10.97,11.0,ok,1438732800,4020800
149,11.0,11.31,10.97,11.27,ok,1438819200,2355800
150,11.04,11.06,10.92,10.97,ok,1438905600,5168900
