,c,h,l,o,s,t,v
0,22.1558,22.1558,22.1558,22.1558,ok,1528934400,200
1,22.1646,22.1646,22.1646,22.1646,ok,1530144000,200
2,22.1646,22.1646,22.1646,22.1646,ok,1531353600,100
3,22.4132,22.4132,22.4132,22.4132,ok,1532044800,100000
4,22.5146,22.5456,22.5146,22.5456,ok,1533081600,800
5,22.6488,22.6488,22.6188,22.6188,ok,1533600000,600
6,22.6488,22.6488,22.6488,22.6488,ok,1533686400,100
7,22.5777,22.5777,22.5777,22.5777,ok,1533859200,100000
8,22.5786,22.5786,22.5786,22.5786,ok,1536883200,100
9,22.7438,22.7438,22.7138,22.7138,ok,1538092800,84800
10,22.7438,22.7438,22.7438,22.7438,ok,1538352000,100
11,22.7357,22.7707,22.7357,22.7707,ok,1538611200,500
12,22.7357,22.7357,22.7357,22.7357,ok,1538956800,100
13,22.6271,22.6671,22.6271,22.6671,ok,1539043200,1100
14,22.5642,22.5642,22.5642,22.5642,ok,1539216000,900
15,22.5642,22.5642,22.5642,22.5642,ok,1539302400,100
16,22.6091,22.6091,22.5851,22.5851,ok,1539561600,700
17,22.6091,22.6091,22.6091,22.6091,ok,1539648000,85000
18,22.6271,22.6271,22.6271,22.6271,ok,1539734400,200
19,22.6271,22.6271,22.6271,22.6271,ok,1539820800,100
20,22.6091,22.6091,22.5921,22.6091,ok,1539907200,1900
21,22.5553,22.6053,22.5483,22.6053,ok,1540166400,2400
22,22.5553,22.5553,22.5553,22.5553,ok,1540425600,100
23,22.3622,22.3672,22.3622,22.3672,ok,1540512000,500
24,22.3622,22.3622,22.3622,22.3622,ok,1540771200,100
25,22.3622,22.3622,22.3622,22.3622,ok,1540857600,100
26,22.4823,22.4823,22.4823,22.4823,ok,1541030400,300
27,22.4823,22.4823,22.4823,22.4823,ok,1541116800,100
28,22.4697,22.4697,22.4697,22.4697,ok,1541376000,200
29,22.5274,22.5474,22.5274,22.5474,ok,1541462400,400
30,22.5906,22.5906,22.5906,22.5906,ok,1541548800,100
31,22.5726,22.5726,22.5726,22.5726,ok,1541721600,100
32,22.5726,22.5726,22.5726,22.5726,ok,1541980800,100
33,22.2033,22.2033,22.2033,22.2033,ok,1542240000,400
34,22.2566,22.2666,22.2566,22.2666,ok,1542326400,600
35,22.2566,22.2566,22.2566,22.2566,ok,1542672000,100
36,22.1482,22.1482,22.0672,22.0672,ok,1542931200,1200
37,22.1482,22.1482,22.1482,22.1482,ok,1543190400,100
38,22.1302,22.1302,22.1302,22.1302,ok,1543276800,800
39,22.2566,22.2566,22.2566,22.2566,ok,1543449600,200
40,22.3664,22.4264,22.3364,22.4264,ok,1543795200,1600
41,22.3146,22.3146,22.2816,22.2816,ok,1543881600,400
42,22.2575,22.3365,22.1675,22.1675,ok,1544054400,2200
43,22.1894,22.2244,22.1894,22.2244,ok,1544140800,2100
44,22.194,22.194,22.084,22.084,ok,1544400000,300
45,22.2212,22.2212,22.2212,22.2212,ok,1544486400,100
46,22.3101,22.3101,22.3101,22.3101,ok,1544572800,100
47,22.3618,22.3618,22.3268,22.3268,ok,1544659200,100
48,22.3001,22.3331,22.2631,22.3331,ok,1544745600,1600
49,22.1749,22.1749,22.1749,22.1749,ok,1545004800,100
50,21.9227,22.1157,21.9227,22.1157,ok,1545177600,500
51,21.7639,21.7639,21.7639,21.7639,ok,1545264000,100
52,21.508,21.594,21.508,21.594,ok,1545609600,500
53,21.8029,21.8029,21.4179,21.4179,ok,1545782400,1000
54,21.8083,21.8083,21.6533,21.6633,ok,1545868800,1600
