,c,h,l,o,s,t,v
0,8.3177,8.3177,8.2977,8.2977,ok,1509321600,7900
1,8.3177,8.3177,8.3177,8.3177,ok,1509580800,9500
2,8.3177,8.3177,8.3177,8.3177,ok,1510012800,148900
3,8.3351,8.3351,8.2951,8.2951,ok,1510531200,3100
4,8.3351,8.3351,8.3351,8.3351,ok,1510876800,1100
5,8.3351,8.3351,8.3351,8.3351,ok,1511740800,1000
6,8.3351,8.3351,8.2951,8.2951,ok,1511827200,8000
7,8.3351,8.3351,8.2951,8.2951,ok,1512000000,1000
8,8.3351,8.3351,8.3351,8.3351,ok,1512345600,200
9,8.3351,8.3351,8.3351,8.3351,ok,1512518400,100
10,8.3351,8.3351,8.3151,8.3351,ok,1512950400,9700
11,8.3351,8.3351,8.3351,8.3351,ok,1513209600,353200
12,8.3785,8.3785,8.3785,8.3785,ok,1515110400,101200
13,8.4219,8.4219,8.4219,8.4219,ok,1515456000,400
14,8.3785,8.3785,8.3785,8.3785,ok,1515628800,4500
15,8.4219,8.4219,8.4219,8.4219,ok,1516320000,400
16,8.3611,8.3611,8.3511,8.3611,ok,1516752000,252100
17,8.3611,8.4811,8.3511,8.4811,ok,1516924800,50800
18,8.3611,8.3611,8.3511,8.3511,ok,1517184000,500400
19,8.3524,8.3524,8.3524,8.3524,ok,1517356800,2300
20,8.4653,8.4653,8.3253,8.3253,ok,1517443200,1000
21,8.5,8.5,8.5,8.5,ok,1517529600,200
22,8.5087,8.5087,8.3087,8.5087,ok,1517875200,1300
23,8.3351,8.3451,8.3351,8.3451,ok,1517961600,900
24,8.3524,8.5324,8.3524,8.5324,ok,1518048000,1000
25,8.3524,8.3524,8.3324,8.3324,ok,1518134400,150200
26,8.3611,8.3611,8.3511,8.3511,ok,1518393600,454500
27,8.4219,8.4219,8.3419,8.4219,ok,1518566400,602400
28,8.3524,8.3824,8.3524,8.3824,ok,1518652800,300900
29,8.355,8.355,8.355,8.355,ok,1518739200,500
30,8.3524,8.3624,8.3524,8.3624,ok,1519084800,1200
31,8.3524,8.3524,8.3524,8.3524,ok,1519603200,8400
32,8.3524,8.3524,8.3524,8.3524,ok,1519689600,2160700
33,8.3524,8.3524,8.3524,8.3524,ok,1519776000,8900
34,8.3819,8.3819,8.3479,8.3579,ok,1519862400,1400
35,8.3611,8.4011,8.3611,8.4011,ok,1519948800,900
36,8.3611,8.3611,8.3511,8.3611,ok,1520294400,1200
