,c,h,l,o,s,t,v
0,15.1258,15.1758,15.0858,15.1758,ok,1420156800,900
1,14.7095,14.7895,14.5695,14.7895,ok,1420416000,4200
2,14.6769,14.6769,14.6769,14.6769,ok,1420502400,200
3,15.0605,15.0605,15.0405,15.0505,ok,1420588800,3200
4,15.1013,15.1013,15.1013,15.1013,ok,1420675200,200
5,15.0523,15.1323,15.0423,15.0423,ok,1420761600,2000
6,14.7177,14.8477,14.7177,14.8477,ok,1421020800,600
7,14.9299,14.9299,14.9299,14.9299,ok,1421107200,300
8,14.8891,14.8891,14.8891,14.8891,ok,1421280000,300
9,14.8156,14.9756,14.7356,14.9756,ok,1421712000,1000
10,15.0768,15.0768,15.0768,15.0768,ok,1421798400,200
11,15.036,15.196,15.036,15.196,ok,1421971200,19600
12,15.2238,15.2238,14.9638,14.9638,ok,1422230400,139600
13,15.3217,15.3317,14.9717,14.9717,ok,1422316800,30200
14,15.0279,15.0279,15.0279,15.0279,ok,1422403200,100
15,14.9217,15.0417,14.9217,15.0417,ok,1422489600,700
16,14.6769,14.6769,14.6569,14.6569,ok,1422835200,4500
17,14.8075,15.0575,14.7975,14.9375,ok,1422921600,22300
18,14.7177,14.8677,14.5077,14.7077,ok,1423008000,8100
19,14.7993,14.7993,14.7093,14.7793,ok,1423094400,1100
20,14.5707,14.5707,14.5707,14.5707,ok,1423180800,300
21,14.6442,14.7842,14.6242,14.6242,ok,1423440000,1500
22,14.2034,14.2434,14.1734,14.2434,ok,1423612800,800
23,14.5462,14.5462,14.4662,14.4662,ok,1423699200,2200
24,14.7993,14.7993,14.7693,14.7693,ok,1423785600,1000
25,14.8156,14.9156,14.8156,14.9156,ok,1424131200,400
26,14.8238,14.8238,14.8238,14.8238,ok,1424217600,200
27,14.8319,14.8319,14.7419,14.7419,ok,1424304000,300
28,14.7258,14.7758,14.6258,14.6958,ok,1424390400,6200
29,14.8564,14.9464,14.8364,14.8964,ok,1424736000,2400
30,14.8728,14.8728,14.8728,14.8728,ok,1424822400,300
31,14.9381,15.0781,14.9081,14.9081,ok,1424995200,900
32,14.6524,14.7324,14.5724,14.6824,ok,1425340800,1300
33,14.2932,14.3432,14.2232,14.2532,ok,1425513600,1400
34,14.0891,14.0891,14.0291,14.0291,ok,1425600000,800
35,13.7218,13.7218,13.7218,13.7218,ok,1425945600,200
36,13.7136,13.7136,13.7136,13.7136,ok,1426118400,200
37,13.5096,13.6896,13.4996,13.6896,ok,1426464000,2300
38,13.7055,13.7055,13.6655,13.6655,ok,1426636800,700
39,13.7218,13.8218,13.7218,13.8118,ok,1426723200,6100
40,14.0973,14.1873,14.0973,14.1873,ok,1426809600,110200
41,14.5299,14.5299,14.5299,14.5299,ok,1427155200,300
42,13.9289,13.9789,13.9089,13.9789,ok,1427414400,1300
43,14.1254,14.1254,13.9854,14.0454,ok,1427673600,3500
44,14.1418,14.2918,14.1418,14.2918,ok,1427760000,4300
45,14.5758,14.5758,14.5758,14.5758,ok,1427846400,200
46,14.7477,14.8577,14.6477,14.6477,ok,1427932800,900
47,15.1408,15.1508,15.1408,15.1508,ok,1428278400,1700
48,14.9606,14.9806,14.9506,14.9806,ok,1428364800,600
49,15.108,15.258,15.108,15.258,ok,1428451200,600
50,15.1244,15.1244,15.0544,15.0544,ok,1428537600,84700
51,15.0262,15.0262,15.0262,15.0262,ok,1428624000,200
52,15.411,15.411,15.221,15.221,ok,1429142400,400
53,15.1408,15.1408,15.0608,15.0608,ok,1429228800,500
54,15.0343,15.0343,15.0343,15.0343,ok,1429488000,900
55,15.2063,15.2063,15.2063,15.2063,ok,1429574400,100
56,15.2554,15.2554,15.2554,15.2554,ok,1429660800,25400
57,15.5748,15.5948,15.1948,15.1948,ok,1429747200,22600
58,15.6812,15.6812,15.6812,15.6812,ok,1429833600,300
59,15.7959,15.7959,15.7959,15.7959,ok,1430092800,900
60,15.7304,15.7504,15.7004,15.7504,ok,1430179200,600
61,15.542,15.762,15.542,15.762,ok,1430265600,7100
62,15.6239,15.6839,15.6239,15.6839,ok,1430352000,500
63,15.7304,15.7304,15.7304,15.7304,ok,1430784000,500
64,15.7631,15.7631,15.7631,15.7631,ok,1430870400,300
