,c,h,l,o,s,t,v
0,15.8906,16.2006,15.8106,16.0706,ok,1420156800,686300
1,15.6997,15.8997,15.5897,15.8797,ok,1420416000,1124300
2,15.6498,15.8498,15.4598,15.7498,ok,1420502400,973900
3,15.9985,16.0285,15.5485,15.7485,ok,1420588800,725900
4,16.4053,16.4253,16.0653,16.0653,ok,1420675200,980900
5,16.148,16.468,16.098,16.438,ok,1420761600,1701500
6,16.1812,16.3012,15.9712,16.1312,ok,1421020800,630400
7,16.2891,16.5191,16.1491,16.3191,ok,1421107200,815300
8,16.3555,16.3855,16.0155,16.1155,ok,1421193600,743200
9,16.2725,16.5025,16.2025,16.4225,ok,1421280000,613700
10,16.3638,16.3838,16.1838,16.2638,ok,1421366400,557400
11,16.6793,16.6793,16.2593,16.3093,ok,1421712000,639100
12,16.6876,16.7376,16.4976,16.6676,ok,1421798400,472500
13,16.8454,16.8854,16.5154,16.7254,ok,1421884800,923300
14,16.6046,16.6346,16.2946,16.5846,ok,1421971200,927700
15,16.754,16.754,16.374,16.584,ok,1422230400,807300
16,16.671,16.691,16.511,16.571,ok,1422316800,495700
17,16.6129,16.7929,16.5929,16.7529,ok,1422403200,850200
18,16.5714,16.6414,16.2814,16.6214,ok,1422489600,736000
19,16.2393,16.6293,16.2193,16.4993,ok,1422576000,559100
20,16.3721,16.4021,15.9521,16.2121,ok,1422835200,566100
21,16.5216,16.5616,16.2916,16.4316,ok,1422921600,662100
22,16.5299,16.6399,16.4699,16.4699,ok,1423008000,534800
23,16.6461,16.7561,16.4661,16.5861,ok,1423094400,538600
24,16.5299,16.7899,16.4399,16.7199,ok,1423180800,600800
25,16.4469,16.6069,16.3169,16.4869,ok,1423440000,826600
26,16.5216,16.6016,15.9716,16.5716,ok,1423526400,1496400
27,16.2476,16.5976,16.1676,16.5276,ok,1423612800,947300
28,17.6839,18.0939,16.1239,16.1839,ok,1423699200,3039700
29,17.9994,18.0794,17.5294,17.5294,ok,1423785600,1456200
30,17.9413,18.0713,17.8213,17.9913,ok,1424131200,1149400
31,18.1322,18.1422,17.8522,17.8522,ok,1424217600,1043600
32,18.1654,18.2254,17.9754,18.1354,ok,1424304000,782700
33,18.3315,18.3415,17.9415,18.0415,ok,1424390400,755600
34,18.2568,18.3468,18.0368,18.3368,ok,1424649600,753300
35,18.0409,18.2809,17.9909,18.2809,ok,1424736000,898300
36,17.8832,18.0432,17.7732,18.0232,ok,1424822400,1043200
37,17.7918,17.9618,17.7318,17.9618,ok,1424908800,1442500
38,17.9662,18.0362,17.7162,17.7962,ok,1424995200,738900
39,17.9994,18.0994,17.8794,17.9594,ok,1425254400,577000
40,18.0492,18.0692,17.8592,17.8992,ok,1425340800,473800
41,18.0095,18.1695,17.9095,18.0595,ok,1425427200,547800
42,17.9343,18.1643,17.9243,18.0943,ok,1425513600,664200
43,17.4164,17.9364,17.3764,17.8964,ok,1425600000,741900
44,17.6002,17.6702,17.3902,17.4402,ok,1425859200,852700
45,17.2243,17.5743,17.2143,17.5143,ok,1425945600,542400
46,17.2828,17.3528,17.0328,17.2428,ok,1426032000,623000
47,17.667,17.717,17.237,17.297,ok,1426118400,586300
48,17.6086,17.6486,17.3886,17.5786,ok,1426204800,645000
