,c,h,l,o,s,t,v
0,22.9973,22.9973,22.8433,22.8973,ok,1464912000,4700
1,23.1726,23.2026,23.1326,23.2026,ok,1465171200,1200
2,22.7782,22.7782,22.7782,22.7782,ok,1465516800,700
3,22.6292,22.6292,22.6192,22.6192,ok,1465776000,200
4,22.6993,22.6993,22.6993,22.6993,ok,1465948800,300
5,23.1288,23.1288,23.0988,23.0988,ok,1466467200,3900
6,23.1796,23.2316,23.1796,23.2316,ok,1466553600,109400
7,22.8106,22.8106,22.7136,22.7136,ok,1467072000,300
8,23.4531,23.4531,23.4531,23.4531,ok,1467244800,200
9,23.2252,23.2252,23.2252,23.2252,ok,1467676800,400
10,23.0411,23.0411,23.0411,23.0411,ok,1467763200,300
11,23.0411,23.0411,23.0411,23.0411,ok,1467936000,100
12,23.0411,23.0411,23.0411,23.0411,ok,1468368000,100
13,23.0411,23.0411,23.0411,23.0411,ok,1468454400,100
14,24.2331,24.2331,24.2331,24.2331,ok,1468540800,500
15,24.2462,24.2912,24.2462,24.2912,ok,1468972800,2500
16,24.2304,24.2304,24.2304,24.2304,ok,1469059200,200
17,24.3207,24.3207,24.3207,24.3207,ok,1469145600,400
18,24.163,24.163,24.163,24.163,ok,1469404800,100
19,24.4346,24.4446,24.2746,24.3996,ok,1469577600,2400
20,24.4513,24.4523,24.3693,24.3813,ok,1469664000,1100
21,24.5311,24.5311,24.5311,24.5311,ok,1469750400,200
22,24.6362,24.6362,24.4862,24.4862,ok,1470268800,1600
23,25.1007,25.1007,25.0777,25.0777,ok,1470787200,400
24,25.2935,25.2935,25.1925,25.1935,ok,1470873600,1200
25,25.3523,25.3523,25.3523,25.3523,ok,1471219200,200
26,25.2375,25.2375,25.1615,25.1965,ok,1471305600,1100
27,25.0043,25.0543,24.8043,24.9143,ok,1471392000,2900
28,25.1358,25.1358,25.0558,25.0558,ok,1471478400,1300
29,24.9211,24.9211,24.9061,24.9061,ok,1471564800,2400
30,24.6099,24.6099,24.5999,24.5999,ok,1471824000,1800
31,24.6538,24.8538,24.6538,24.8538,ok,1471910400,83700
32,24.5442,24.6992,24.5342,24.6992,ok,1471996800,700
33,24.3382,24.5282,24.3182,24.5282,ok,1472169600,600
34,24.5135,24.5315,24.5135,24.5315,ok,1472515200,1000
35,24.3032,24.3032,24.2332,24.2522,ok,1472601600,1300
36,24.3032,24.3032,24.2432,24.2432,ok,1472688000,1000
37,24.6362,24.6362,24.5862,24.5862,ok,1472774400,300
38,25.2112,25.2342,24.9152,24.9352,ok,1473120000,6000
39,25.0937,25.1817,25.0417,25.1817,ok,1473206400,2700
40,25.0394,25.1494,25.0294,25.1494,ok,1473292800,1500
41,24.3996,24.6396,24.3396,24.6396,ok,1473379200,600
42,24.3295,24.3695,24.3295,24.3695,ok,1473638400,400
43,23.9088,24.3588,23.9088,24.2188,ok,1473724800,1900
44,24.0315,24.2115,24.0315,24.1015,ok,1473811200,1700
45,24.347,24.347,24.277,24.277,ok,1473897600,200
46,24.2594,24.2594,24.1594,24.1694,ok,1473984000,2000
47,24.4697,24.5497,24.4697,24.5497,ok,1474329600,1600
48,24.7169,24.7169,24.6049,24.6049,ok,1474416000,800
49,25.0569,25.0569,25.0369,25.0569,ok,1474502400,300
50,24.829,24.869,24.819,24.869,ok,1474588800,1200
51,24.6012,24.6312,24.6012,24.6312,ok,1474848000,400
52,24.7414,24.7614,24.7414,24.7614,ok,1474934400,400
53,25.0043,25.0043,24.7243,24.8743,ok,1475020800,3100
54,24.7239,24.9539,24.5639,24.9539,ok,1475107200,1400
55,24.7677,24.7677,24.6777,24.6777,ok,1475193600,800
56,24.6538,24.6538,24.5738,24.6038,ok,1475539200,900
57,24.9605,24.9605,24.7705,24.8805,ok,1475625600,2500
58,24.8027,24.8027,24.6127,24.6427,ok,1475712000,1400
59,24.6187,24.8287,24.5987,24.8287,ok,1475798400,800
60,24.9342,24.9342,24.9332,24.9332,ok,1476057600,200
61,24.4171,24.7071,24.4171,24.7071,ok,1476144000,900
62,24.4697,24.4697,24.4097,24.4097,ok,1476230400,500
63,24.2269,24.2269,24.2269,24.2269,ok,1476316800,200
64,24.3382,24.3682,24.3382,24.3682,ok,1476403200,800
65,24.2857,24.2857,24.2837,24.2837,ok,1476662400,700
66,24.7852,24.7852,24.6552,24.6552,ok,1476835200,600
67,24.7063,24.7363,24.7063,24.7363,ok,1476921600,1200
68,24.6275,24.6275,24.4775,24.4775,ok,1477008000,700
69,24.6879,24.7789,24.6879,24.7789,ok,1477267200,300
70,24.7502,24.7502,24.7502,24.7502,ok,1477353600,800
71,24.5223,24.5223,24.5223,24.5223,ok,1477440000,10800
72,24.3996,24.3996,24.3996,24.3996,ok,1477612800,100
73,24.0928,24.0928,24.0828,24.0828,ok,1478044800,1200
74,23.6897,23.6897,23.6697,23.6697,ok,1478217600,7034900
75,24.2155,24.2255,24.1715,24.1715,ok,1478476800,2001800
76,24.4241,24.4241,24.1661,24.1661,ok,1478563200,19900
77,23.9097,23.9287,23.7987,23.8087,ok,1478649600,1400
78,23.085,23.295,23.085,23.255,ok,1478736000,1300
79,22.6467,22.7767,22.6467,22.7767,ok,1478822400,600
80,22.7432,22.7432,22.6232,22.6232,ok,1479168000,1000
81,22.6555,22.6705,22.6555,22.6705,ok,1479254400,2400
82,22.6888,22.6888,22.6888,22.6888,ok,1479427200,200
83,22.7782,22.8082,22.7782,22.8082,ok,1479686400,1600
84,22.9973,22.9973,22.9273,22.9773,ok,1479772800,500
85,22.8396,22.8786,22.7496,22.8196,ok,1479859200,35200
86,22.9272,22.9272,22.9272,22.9272,ok,1480032000,100
87,23.0674,23.1174,22.9374,23.0274,ok,1480291200,2800
88,22.8764,23.0344,22.8764,23.0204,ok,1480550400,7200
89,22.9605,22.9605,22.9435,22.9525,ok,1480636800,2100
90,23.0587,23.0687,23.0587,23.0687,ok,1480896000,300
91,23.2497,23.2517,23.2417,23.2417,ok,1480982400,800
92,23.567,23.587,23.397,23.397,ok,1481068800,28100
93,23.6546,23.6546,23.5046,23.5446,ok,1481155200,84000
94,23.5495,23.5495,23.5295,23.5295,ok,1481241600,200
95,23.4793,23.5293,23.4393,23.5293,ok,1481500800,18600
96,23.6415,23.7065,23.6365,23.7065,ok,1481587200,900
97,23.1375,23.6375,23.1375,23.5975,ok,1481673600,164100
98,23.2515,23.2515,23.2215,23.2415,ok,1481760000,32900
99,23.2953,23.2953,23.2753,23.2753,ok,1481846400,3300
100,23.1726,23.2526,23.1726,23.2526,ok,1482105600,300
101,23.1489,23.1989,23.1489,23.1989,ok,1482192000,56400
102,23.1137,23.1637,23.1137,23.1537,ok,1482278400,4800
103,22.8868,23.0548,22.8348,23.0548,ok,1482364800,4500
104,22.9554,22.9554,22.8954,22.8954,ok,1482451200,200
105,23.0961,23.1761,23.0061,23.0861,ok,1482796800,138900
106,23.1365,23.2205,23.0355,23.2205,ok,1482883200,3100
107,23.4039,23.4139,23.2539,23.4139,ok,1482969600,1600
108,23.5183,23.5883,23.3983,23.5883,ok,1483401600,13500
109,23.8789,24.0189,23.8789,23.9389,ok,1483574400,46300
110,23.8085,23.8085,23.8085,23.8085,ok,1483660800,200
111,23.7381,23.7381,23.7381,23.7381,ok,1483920000,2500
112,23.834,23.903,23.834,23.875,ok,1484006400,1900
113,23.9404,23.9404,23.7304,23.8104,ok,1484092800,6300
114,24.2087,24.2087,24.1227,24.1227,ok,1484179200,6900
115,24.1339,24.1439,24.0939,24.0939,ok,1484265600,3700
116,24.1884,24.1884,24.1884,24.1884,ok,1484611200,300
117,24.1779,24.1779,24.1779,24.1779,ok,1484697600,200
118,24.0196,24.0596,23.9596,24.0596,ok,1484784000,900
119,24.0284,24.0804,23.9384,24.0804,ok,1484870400,1400
120,24.3274,24.3274,24.2274,24.2274,ok,1485129600,40000
121,24.4321,24.4331,24.4241,24.4321,ok,1485216000,700
122,24.5913,24.6013,24.5613,24.5613,ok,1485302400,1000
123,24.5297,24.5297,24.4397,24.5097,ok,1485388800,28600
124,24.557,24.626,24.534,24.576,ok,1485475200,2800
125,24.4505,24.4705,24.4105,24.4705,ok,1485734400,26700
