,c,h,l,o,s,t,v
0,22.3344,22.3344,22.3344,22.3344,ok,1518048000,100
1,22.1373,22.1373,22.1373,22.1373,ok,1518480000,100
2,22.7851,22.7851,22.7851,22.7851,ok,1518652800,25000
3,22.771,22.771,22.771,22.771,ok,1518739200,200
4,22.541,22.541,22.541,22.541,ok,1519344000,200
5,21.8707,21.8747,21.8707,21.8737,ok,1519862400,10100
6,21.7993,21.7993,21.7993,21.7993,ok,1519948800,100
7,21.9777,21.9777,21.9777,21.9777,ok,1520380800,3500
8,21.9129,21.9219,21.9129,21.9219,ok,1521504000,2400
9,21.912,21.912,21.882,21.882,ok,1521590400,400
10,21.5928,21.5928,21.5928,21.5928,ok,1521676800,200
11,21.6585,21.6585,21.6585,21.6585,ok,1522195200,200
12,21.7054,21.7054,21.7054,21.7054,ok,1524441600,58600
13,21.6397,21.6797,21.6397,21.6797,ok,1524528000,34700
14,21.574,21.574,21.574,21.574,ok,1525046400,200
15,21.5364,21.5364,21.5364,21.5364,ok,1525219200,100
16,21.3956,21.4056,21.3956,21.4056,ok,1525392000,500
17,21.7148,21.7148,21.7148,21.7148,ok,1525910400,100
18,21.8265,21.8375,21.8175,21.8375,ok,1526342400,2800
19,21.8556,21.8556,21.8556,21.8556,ok,1526428800,300
20,21.8171,21.8171,21.8171,21.8171,ok,1526515200,1700
21,21.8171,21.8171,21.8171,21.8171,ok,1527033600,100
22,21.3862,21.3862,21.3862,21.3862,ok,1528070400,100
23,21.283,21.283,21.283,21.283,ok,1528416000,1900
24,21.4989,21.5109,21.4989,21.5089,ok,1528848000,2900
25,21.0051,21.0161,20.9931,21.0161,ok,1529884800,2300
26,20.7794,20.7794,20.7794,20.7794,ok,1530144000,200
27,21.1796,21.1796,21.1796,21.1796,ok,1530230400,1100
28,20.9289,20.9289,20.9289,20.9289,ok,1530489600,100
29,21.2279,21.2279,21.2279,21.2279,ok,1530576000,100
30,21.2954,21.2954,21.2954,21.2954,ok,1530748800,100
31,21.4815,21.4815,21.3985,21.3985,ok,1530835200,500
32,21.5847,21.5977,21.5847,21.5977,ok,1531094400,29100
33,21.6204,21.6204,21.5934,21.5934,ok,1531180800,800
34,21.4593,21.4593,21.4593,21.4593,ok,1531267200,100
